<h>
Recommended	JJ	recommended
<h>
Judge	NP	Judge
scolds	VBZ	scold
Cooper	NP	Cooper
Union	NP	Union
for	IN	for
legal	JJ	legal
defense	NN	defense
that	IN	that
students	NNS	student
under	IN	under
siege	NN	siege
by	IN	by
protesters	NNS	protester
should	MD	should
have	VB	have
hidden	VBN	hide
:	:	:
'	''	'
2023	CD	@card@
--	:	--
not	RB	not
1943	NP	@card@
'	POS	'
<p>
A	NP	A
Manhattan	NP	Manhattan
judge	NN	judge
scolded	VBD	scold
Cooper	NP	Cooper
Union	NP	Union
Wednesday	NP	Wednesday
for	IN	for
claiming	VBG	claim
in	IN	in
court	NN	court
that	IN	that
Jewish	JJ	Jewish
students	NNS	student
should	MD	should
have	VB	have
hidden	VBN	hide
from	IN	from
protesters	NNS	protester
during	IN	during
the	DT	the
campus	NN	campus
unrest	NN	unrest
after	IN	after
Hamas	NP	<unknown>
'	POS	'
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
terror	NN	terror
attack	NN	attack
--	:	--
noting	VBG	note
the	DT	the
standoff	NN	standoff
unfolded	VBD	unfold
in	IN	in
"	``	"
2023	CD	@card@
--	:	--
not	RB	not
1943	CD	@card@
.	SENT	.
"	``	"
<p>
The	DT	the
East	NP	East
Village	NP	Village
college	NN	college
argued	VBD	argue
the	DT	the
students	NNS	student
should	MD	should
have	VB	have
hid	VBN	hide
in	IN	in
a	DT	a
windowless	JJ	windowless
attic	NN	attic
or	CC	or
escaped	VBD	escape
through	IN	through
a	DT	a
back	JJ	back
exit	NN	exit
as	IN	as
pro-Palestinian	NP	pro-Palestinian
protesters	NNS	protester
were	VBD	be
cornering	VBG	corner
them	PP	them
in	IN	in
the	DT	the
school	NN	school
library	NN	library
.	SENT	.
<p>
The	DT	the
school	NN	school
also	RB	also
noted	VBD	note
that	IN	that
one	CD	one
of	IN	of
its	PP$	its
administrators	NNS	administrator
had	VBD	have
locked	VBN	lock
the	DT	the
door	NN	door
to	TO	to
the	DT	the
library	NN	library
to	TO	to
keep	VB	keep
the	DT	the
protesters	NNS	protester
out	RP	out
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
ruling	NN	ruling
by	IN	by
Judge	NP	Judge
John	NP	John
Cronon	NP	Cronon
.	SENT	.
<p>
The	DT	the
college	NN	college
'	POS	'
s	NN	S
claims	NNS	claim
came	VBD	come
in	IN	in
a	DT	a
bid	NN	bid
to	TO	to
toss	VB	toss
an	DT	an
April	NP	April
2024	CD	@card@
suit	NN	suit
from	IN	from
10	CD	@card@
Jewish	JJ	Jewish
student	NN	student
that	WDT	that
accused	VBD	accuse
the	DT	the
school	NN	school
of	IN	of
breaching	VBG	breach
Title	NP	Title
VI	NP	VI
of	IN	of
the	DT	the
Civil	NP	Civil
Rights	NPS	Rights
Act	NP	Act
by	IN	by
failing	VBG	fail
to	TO	to
protect	VB	protect
them	PP	them
after	IN	after
the	DT	the
attack	NN	attack
.	SENT	.
<p>
Judge	NP	Judge
John	NP	John
Cronan	NP	Cronan
wrote	VBD	write
that	IN	that
he	PP	he
was	VBD	be
"	``	"
dismayed	JJ	dismayed
"	''	"
