<p>
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
said	VBN	say
that	IN	that
his	PP$	his
plan	NN	plan
to	TO	to
"	``	"
take	VB	take
over	IN	over
Gaza	NP	Gaza
"	``	"
would	MD	would
not	RB	not
include	VB	include
a	DT	a
right	NN	right
of	IN	of
return	NN	return
for	IN	for
the	DT	the
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
Palestinians	NNS	Palestinian
that	IN	that
he	PP	he
has	VBZ	have
said	VBN	say
have	VBP	have
"	``	"
no	DT	no
alternative	NN	alternative
"	''	"
but	CC	but
to	TO	to
leave	VB	leave
because	IN	because
of	IN	of
the	DT	the
destruction	NN	destruction
left	VBN	leave
by	IN	by
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
campaign	NN	campaign
.	SENT	.
<p>
The	DT	the
remarks	NNS	remark
are	VBP	be
the	DT	the
latest	JJS	late
effective	JJ	effective
endorsement	NN	endorsement
of	IN	of
ethnic	JJ	ethnic
cleansing	NN	cleansing
by	IN	by
the	DT	the
US	NP	US
president	NN	president
,	,	,
who	WP	who
announced	VBD	announce
his	PP$	his
plan	NN	plan
last	JJ	last
week	NN	week
during	IN	during
a	DT	a
summit	NN	summit
with	IN	with
the	DT	the
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
,	,	,
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
to	TO	to
the	DT	the
outrage	NN	outrage
of	IN	of
the	DT	the
Arab	JJ	Arab
world	NN	world
and	CC	and
the	DT	the
surprise	NN	surprise
of	IN	of
even	RB	even
his	PP$	his
closest	JJS	close
aides	NNS	aide
.	SENT	.
<p>
In	IN	in
the	DT	the
interview	NN	interview
with	IN	with
Fox	NP	Fox
'	POS	'
s	NN	S
Bret	NP	Bret
Baier	NP	Baier
,	,	,
Trump	NP	Trump
said	VBD	say
that	IN	that
he	PP	he
would	MD	would
"	``	"
own	VB	own
"	''	"
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
declared	VBD	declare
it	PP	it
would	MD	would
be	VB	be
a	DT	a
"	``	"
real	JJ	real
estate	NN	estate
development	NN	development
for	IN	for
the	DT	the
future	NN	future
"	''	"
.	SENT	.
<p>
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
he	PP	he
continued	VBD	continue
to	TO	to
endorse	VB	endorse
a	DT	a
plan	NN	plan
for	IN	for
the	DT	the
Palestinians	NPS	Palestinians
to	TO	to
be	VB	be
resettled	VBN	resettle
in	IN	in
Egypt	NP	Egypt
and	CC	and
Jordan	NP	Jordan
,	,	,
a	DT	a
plan	NN	plan
that	IN	that
both	DT	both
countries	NNS	country
have	VBP	have
rejected	VBN	reject
and	CC	and
the	DT	the
region	NN	region
'	POS	'
s	JJ	<unknown>
largest	JJS	large
Arab	JJ	Arab
states	NNS	state
have	VBP	have
declared	VBN	declare
is	VBZ	be
a	DT	a
non-starter	NN	non-starter
.	SENT	.
<p>
Trump	NP	Trump
said	VBD	say
he	PP	he
would	MD	would
build	VB	build
up	RP	up
to	TO	to
six	CD	six
new	NN	new
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
permanent	JJ	permanent
refugee	NN	refugee
camps	NNS	camp
underwritten	VBN	underwrite
by	IN	by
the	DT	the
US	NP	US
president	NN	president
.	SENT	.
<p>
Asked	VBN	ask
if	IN	if
Palestinians	NPS	Palestinians
would	MD	would
have	VB	have
the	DT	the
right	NN	right
to	TO	to
return	VB	return
to	TO	to
Gaza	NP	Gaza
,	,	,
Trump	NP	Trump
told	VBD	tell
Baier	NP	Baier
:	:	:
"	``	"
No	UH	no
,	,	,
they	PP	they
would	MD	would
n't	RB	n't
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
much	RB	much
better	JJR	good
housing	NN	housing
.	SENT	.
<p>
"	''	"
Could	MD	could
be	VB	be
five	CD	five
,	,	,
six	CD	six
,	,	,
could	MD	could
be	VB	be
two	CD	two
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
But	CC	but
we	PP	we
'	POS	'
ll	NNS	<unknown>
build	VBP	build
safe	JJ	safe
communities	NNS	community
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
away	RB	away
from	IN	from
where	WRB	where
they	PP	they
are	VBP	be
,	,	,
where	WRB	where
all	DT	all
of	IN	of
this	DT	this
danger	NN	danger
is	VBZ	be
.	SENT	.
<p>
"	''	"
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
building	VBG	build
a	DT	a
permanent	JJ	permanent
place	NN	place
for	IN	for
them	PP	them
because	IN	because
if	IN	if
they	PP	they
have	VBP	have
to	TO	to
return	VB	return
now	RB	now
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
be	VB	be
years	NNS	year
before	IN	before
you	PP	you
could	MD	could
ever	RB	ever
--	:	--
it	PP	it
'	POS	'
s	NN	S
not	RB	not
habitable	JJ	habitable
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
No	DT	no
serious	JJ	serious
discussions	NNS	discussion
have	VBP	have
so	RB	so
