<h>
Breaking	VBG	break
News	NP	News
<p>
The	DT	the
photo	NN	photo
exhibit	NN	exhibit
"	``	"
Gaza	NP	Gaza
,	,	,
Palestine	NP	Palestine
:	:	:
A	DT	a
Crisis	NN	crisis
of	IN	of
Humanity	NN	humanity
,	,	,
a	DT	a
Cry	NN	cry
for	IN	for
Justice	NP	Justice
"	''	"
in	IN	in
the	DT	the
lobby	NN	lobby
of	IN	of
United	NP	United
Nations	NPS	Nations
headquarters	NN	headquarters
in	IN	in
Manhattan	NP	Manhattan
includes	VBZ	include
images	NNS	image
of	IN	of
demolished	VBN	demolish
buildings	NNS	building
,	,	,
displaced	VBN	displace
civilians	NNS	civilian
,	,	,
maimed	VBN	maim
children	NNS	child
and	CC	and
corpses	NNS	corpse
.	SENT	.
It	PP	it
mentions	VBZ	mention
neither	DT	neither
Hamas	NN	<unknown>
nor	CC	nor
the	DT	the
terror	NN	terror
group	NN	group
'	POS	'
s	JJ	<unknown>
Oct.	NP	Oct.
7	CD	@card@
terrorist	JJ	terrorist
attacks	NNS	attack
in	IN	in
southern	JJ	southern
Israel	NP	Israel
that	WDT	that
launched	VBD	launch
the	DT	the
war	NN	war
upon	IN	upon
which	WDT	which
the	DT	the
exhibit	NN	exhibit
focuses	VBZ	focus
.	SENT	.
<p>
"	``	"
This	DT	this
was	VBD	be
written	VBN	write
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
mission	NN	mission
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
in	IN	in
this	DT	this
long	JJ	long
,	,	,
long	JJ	long
text	NN	text
,	,	,
you	PP	you
wo	MD	wo
n't	RB	n't
find	VB	find
the	DT	the
word	NN	word
'	POS	'
Hamas	NN	<unknown>
'	''	'
in	IN	in
it	PP	it
,	,	,
"	''	"
Jonathan	NP	Jonathan
Harounoff	NP	<unknown>
,	,	,
international	JJ	international
spokesman	NN	spokesman
for	IN	for
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
mission	NN	mission
to	TO	to
the	DT	the
global	JJ	global
body	NN	body
,	,	,
told	VBD	tell
JNS	NP	JNS
.	SENT	.
"	``	"
You	PP	you
wo	MD	wo
n't	RB	n't
find	VB	find
any	DT	any
mention	NN	mention
of	IN	of
the	DT	the
perpetrators	NNS	perpetrator
