<p>
Palestinians	NPS	Palestinians
inspect	VBP	inspect
the	DT	the
site	NN	site
of	IN	of
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
house	NN	house
in	IN	in
Gaza	NP	Gaza
City	NP	City
(	(	(
MAHMOUD	NP	Mahmoud
ISSA	NP	Issa
)	)	)
<p>
By	IN	by
Roberto	NP	Roberto
CeteraPacifism	NP	<unknown>
is	VBZ	be
not	RB	not
utopian	JJ	utopian
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
simply	RB	simply
the	DT	the
waving	VBG	wave
of	IN	of
flags	NNS	flag
,	,	,
but	CC	but
a	DT	a
constant	JJ	constant
effort	NN	effort
to	TO	to
engage	VB	engage
in	IN	in
dialogue	NN	dialogue
--	:	--
a	DT	a
persuasive	JJ	persuasive
confrontation	NN	confrontation
with	IN	with
the	DT	the
horror	NN	horror
of	IN	of
war	NN	war
.	SENT	.
Building	NN	building
peace	NN	peace
instead	RB	instead
requires	VBZ	require
commitment	NN	commitment
,	,	,
courage	NN	courage
,	,	,
and	CC	and
a	DT	a
dose	NN	dose
of	IN	of
creativity	NN	creativity
.	SENT	.
<p>
That	DT	that
is	VBZ	be
the	DT	the
path	NN	path
being	VBG	be
taken	VBN	take
by	IN	by
a	DT	a
network	NN	network
of	IN	of
Israeli	JJ	Israeli
pacifists	NNS	pacifist
who	WP	who
have	VBP	have
launched	VBN	launch
an	DT	an
initiative	NN	initiative
as	IN	as
original	JJ	original
as	IN	as
it	PP	it
is	VBZ	be
challenging	JJ	challenging
:	:	:
engaging	VBG	engage
directly	RB	directly
with	IN	with
pilots	NNS	pilot
of	IN	of
the	DT	the
Israeli	NP	Israeli
Air	NP	Air
Force	NP	Force
(	(	(
IAF	NP	IAF
)	)	)
,	,	,
who	WP	who
have	VBP	have
been	VBN	be
carrying	VBG	carry
out	RP	out
daily	JJ	daily
bombings	NNS	bombing
over	IN	over
Gaza	NP	Gaza
for	IN	for
more	JJR	more
than	IN	than
20	CD	@card@
months	NNS	month
,	,	,
leaving	VBG	leave
death	NN	death
,	,	,
devastation	NN	devastation
and	CC	and
despair	NN	despair
in	IN	in
their	PP$	their
wake	NN	wake
.	SENT	.
<p>
60,000	CD	@card@
deadDana	NN	<unknown>
,	,	,
a	DT	a
peace	NN	peace
activist	NN	activist
,	,	,
shared	VBD	share
her	PP$	her
story	NN	story
with	IN	with
L'Osservatore	NP	<unknown>
Romano	NP	Romano
:	:	:
"	``	"
For	IN	for
weeks	NNS	week
,	,	,
a	DT	a
large	JJ	large
group	NN	group
of	IN	of
us	PP	us
has	VBZ	have
been	VBN	be
going	VBG	go
to	TO	to
the	DT	the
air	NN	air
force	NN	force
bases	NNS	base
across	IN	across
Israel	NP	Israel
.	SENT	.
We	PP	we
stage	VBP	stage
peaceful	JJ	peaceful
demonstrations	NNS	demonstration
,	,	,
showing	VBG	show
soldiers	NNS	soldier
who	WP	who
are	VBP	be
entering	VBG	enter
or	CC	or
exiting	VBG	exit
the	DT	the
base	NN	base
,	,	,
photographs	NNS	photograph
of	IN	of
children	NNS	child
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
.	SENT	.
We	PP	we
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
remind	VB	remind
them	PP	them
that	IN	that
their	PP$	their
bombs	NNS	bomb
might	MD	might
also	RB	also
kill	VB	kill
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Since	IN	since
October	NP	October
8	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
nearly	RB	nearly
60,000	CD	@card@
people	NNS	people
