<p>
(	(	(
1st	JJ	1st
UPDATE	NN	update
)	)	)
The	DT	the
move	NN	move
comes	VBZ	come
after	IN	after
ICC	NP	ICC
prosecutor	NN	prosecutor
Karim	NP	Karim
Khan	NP	Khan
announced	VBD	announce
in	IN	in
May	NP	May
that	IN	that
he	PP	he
was	VBD	be
seeking	VBG	seek
arrest	NN	arrest
warrants	NNS	warrant
for	IN	for
alleged	JJ	alleged
crimes	NNS	crime
connected	VBN	connect
to	TO	to
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
by	IN	by
Hamas	NP	<unknown>
and	CC	and
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
response	NN	response
in	IN	in
Gaza	NP	Gaza
<p>
THE	NP	THE
HAGUE	NP	Hague
--	:	--
The	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
issued	VBD	issue
arrest	NN	arrest
warrants	NNS	warrant
on	IN	on
Thursday	NP	Thursday
,	,	,
November	NP	November
21	CD	@card@
,	,	,
for	IN	for
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
his	PP$	his
former	JJ	former
defense	NN	defense
chief	NN	chief
,	,	,
as	RB	as
well	RB	well
as	IN	as
a	DT	a
Hamas	JJ	<unknown>
leader	NN	leader
,	,	,
Ibrahim	NP	Ibrahim
Al-Masri	NP	Al-Masri
,	,	,
for	IN	for
alleged	JJ	alleged
war	NN	war
crimes	NNS	crime
and	CC	and
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
in	IN	in
the	DT	the
Gaza	NP	Gaza
conflict	NN	conflict
.	SENT	.
<p>
In	IN	in
their	PP$	their
decision	NN	decision
,	,	,
the	DT	the
ICC	NP	ICC
judges	NNS	judge
said	VBD	say
there	EX	there
were	VBD	be
reasonable	JJ	reasonable
grounds	NNS	ground
to	TO	to
believe	VB	believe
Netanyahu	NP	<unknown>
and	CC	and
Yoav	NP	<unknown>
Gallant	NN	gallant
were	VBD	be
criminally	RB	criminally
responsible	JJ	responsible
for	IN	for
acts	NNS	act
including	VBG	include
murder	NN	murder
,	,	,
persecution	NN	persecution
and	CC	and
starvation	NN	starvation
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
as	IN	as
part	NN	part
of	IN	of
a	DT	a
"	``	"
widespread	JJ	widespread
and	CC	and
systematic	JJ	systematic
attack	NN	attack
against	IN	against
the	DT	the
civilian	JJ	civilian
population	NN	population
of	IN	of
Gaza	NP	Gaza
.	SENT	.
"	''	"
<p>
Judges	NNS	judge
said	VBD	say
there	EX	there
were	VBD	be
also	RB	also
reasonable	JJ	reasonable
grounds	NNS	ground
to	TO	to
believe	VB	believe
the	DT	the
blockade	NN	blockade
on	IN	on
Gaza	NP	Gaza
and	CC	and
lack	NN	lack
of	IN	of
food	NN	food
,	,	,
water	NN	water
,	,	,
electricity	NN	electricity
,	,	,
fuel	NN	fuel
and	CC	and
medical	JJ	medical
supplies	NNS	supply
"	''	"
created	VBN	create
conditions	NNS	condition
of	IN	of
life	NN	life
calculated	VBN	calculate
to	TO	to
bring	VB	bring
about	IN	about
the	DT	the
destruction	NN	destruction
of	IN	of
part	NN	part
of	IN	of
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
civilians	NNS	civilian
,	,	,
including	VBG	include
children	NNS	child
,	,	,
due	JJ	due
to	TO	to
malnutrition	NN	malnutrition
and	CC	and
dehydration	NN	dehydration
.	SENT	.
"	''	"
<p>
The	DT	the
decision	NN	decision
was	VBD	be
met	VBN	meet
with	IN	with
outrage	NN	outrage
in	IN	in
Israel	NP	Israel
,	,	,
which	WDT	which
called	VBD	call
it	PP	it
shameful	JJ	shameful
and	CC	and
absurd	JJ	absurd
.	SENT	.
Gaza	NP	Gaza
residents	NNS	resident
expressed	VBN	express
hope	VBP	hope
it	PP	it
would	MD	would
help	VB	help
end	VB	end
the	DT	the
violence	NN	violence
and	CC	and
bring	VB	bring
those	DT	those
responsible	JJ	responsible
for	IN	for
war	NN	war
crimes	NNS	crime
to	TO	to
justice	NN	justice
.	SENT	.
Hamas	NP	<unknown>
welcomed	VBD	welcome
the	DT	the
warrants	NNS	warrant
against	IN	against
the	DT	the
Israelis	NPS	Israelis
,	,	,
and	CC	and
a	DT	a
senior	JJ	senior
official	NN	official
told	VBD	tell
Reuters	NP	Reuters
it	PP	it
was	VBD	be
a	DT	a
first	JJ	first
step	NN	step
towards	IN	towards
justice	NN	justice
.	SENT	.
<p>
The	DT	the
warrant	NN	warrant
for	IN	for
Masri	NP	Masri
lists	VBZ	list
charges	NNS	charge
of	IN	of
mass	JJ	mass
killings	NNS	killing
during	IN	during
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attacks	NNS	attack
on	IN	on
Israel	NP	Israel
that	WDT	that
triggered	VBD	trigger
the	DT	the
Gaza	NP	Gaza
war	NN	war
,	,	,
and	CC	and
also	RB	also
charges	NNS	charge
of	IN	of
rape	NN	rape
and	CC	and
the	DT	the
taking	NN	taking
of	IN	of
hostages	NNS	hostage
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
said	VBN	say
it	PP	it
killed	VBD	kill
Masri	NP	Masri
,	,	,
also	RB	also
known	VBN	know
as	IN	as
Mohammed	NP	Mohammed
Deif	NP	<unknown>
,	,	,
in	IN	in
an	DT	an
airstrike	NN	airstrike
in	IN	in
July	NP	July
but	CC	but
Hamas	NP	<unknown>
has	VBZ	have
neither	RB	neither
confirmed	VBN	confirm
nor	CC	nor
denied	VBN	deny
this	DT	this
.	SENT	.
The	DT	the
prosecution	NN	prosecution
indicated	VBD	indicate
it	PP	it
would	MD	would
continue	VB	continue
to	TO	to
gather	VB	gather
information	NN	information
with	IN	with
respect	NN	respect
to	TO	to
his	PP$	his
reported	VBN	report
death	NN	death
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
rejected	VBN	reject
the	DT	the
jurisdiction	NN	jurisdiction
of	IN	of
the	DT	the
Hague-based	JJ	<unknown>
court	NN	court
and	CC	and
denies	VBZ	deny
war	NN	war
crimes	NNS	crime
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
United	NP	United
States	NPS	States
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
main	JJ	main
diplomatic	JJ	diplomatic
supporter	NN	supporter
,	,	,
is	VBZ	be
also	RB	also
not	RB	not
a	DT	a
member	NN	member
of	IN	of
the	DT	the
ICC	NP	ICC
.	SENT	.
It	PP	it
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
We	PP	we
remain	VBP	remain
deeply	RB	deeply
concerned	JJ	concerned
by	IN	by
the	DT	the
prosecutor	NN	prosecutor
'	POS	'
s	NNS	<unknown>
rush	VBP	rush
to	TO	to
seek	VB	seek
arrest	NN	arrest
warrants	NNS	warrant
and	CC	and
the	DT	the
troubling	JJ	troubling
process	NN	process
errors	NNS	error
that	WDT	that
led	VBD	lead
to	TO	to
this	DT	this
decision	NN	decision
,	,	,
"	''	"
a	DT	a
White	NP	White
House	NP	House
National	NP	National
Security	NP	Security
Council	NP	Council
spokesperson	NN	spokesperson
said	VBD	say
,	,	,
adding	VBG	add
that	IN	that
the	DT	the
US	NP	US
is	VBZ	be
discussing	VBG	discuss
next	JJ	next
steps	NNS	step
with	IN	with
its	PP$	its
partners	NNS	partner
.	SENT	.
<p>
Global	JJ	global
powers	NNS	power
Russia	NP	Russia
,	,	,
China	NP	China
,	,	,
and	CC	and
India	NP	India
have	VBP	have
also	RB	also
not	RB	not
signed	VBN	sign
onto	IN	onto
the	DT	the
ICC	NP	ICC
,	,	,
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
permanent	JJ	permanent
war	NN	war
crimes	NNS	crime
court	NN	court
,	,	,
which	WDT	which
is	VBZ	be
backed	VBN	back
by	IN	by
all	DT	all
of	IN	of
