<h>
Why	WRB	why
Nigeria	NP	Nigeria
is	VBZ	be
participating	VBG	participate
in	IN	in
Joint	NP	Joint
Arab-Islamic	NP	Arab-Islamic
Summit	NP	Summit
--	:	--
Official	NP	Official
<h>
Mr	NP	Mr
Idris	NP	Idris
said	VBD	say
Nigeria	NP	Nigeria
'	POS	'
s	NN	S
position	NN	position
is	VBZ	be
to	TO	to
call	VB	call
for	IN	for
peaceful	JJ	peaceful
resolution	NN	resolution
because	IN	because
the	DT	the
conflict	NN	conflict
can	MD	can
never	RB	never
end	VB	end
on	IN	on
the	DT	the
war	NN	war
front	NN	front
.	SENT	.
<p>
The	DT	the
Minister	NP	Minister
of	IN	of
Information	NP	Information
and	CC	and
National	NP	National
Orientation	NN	orientation
,	,	,
Mohammed	NP	Mohammed
Idris	NP	Idris
,	,	,
said	VBD	say
Nigeria	NP	Nigeria
is	VBZ	be
participating	VBG	participate
in	IN	in
the	DT	the
joint	JJ	joint
Arab-Islamic	NP	Arab-Islamic
Summit	NP	Summit
because	IN	because
of	IN	of
its	PP$	its
proximity	NN	proximity
and	CC	and
longstanding	JJ	longstanding
relationship	NN	relationship
with	IN	with
the	DT	the
Middle	NP	Middle
East	NP	East
.	SENT	.
<p>
The	DT	the
summit	NN	summit
will	MD	will
commence	VB	commence
on	IN	on
Monday	NP	Monday
,	,	,
11	CD	@card@
November	NP	November
2024	CD	@card@
,	,	,
in	IN	in
Riyadh	NP	Riyadh
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
.	SENT	.
<p>
During	IN	during
the	DT	the
summit	NN	summit
,	,	,
President	NP	President
Tinubu	NP	<unknown>
is	VBZ	be
expected	VBN	expect
to	TO	to
address	VB	address
the	DT	the
ongoing	JJ	ongoing
Israel-Palestinian	JJ	Israel-Palestinian
conflict	NN	conflict
,	,	,
and	CC	and
emphasise	VB	emphasise
Nigeria	NP	Nigeria
'	POS	'
s	JJ	<unknown>
call	NN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
and	CC	and
the	DT	the
urgent	JJ	urgent
need	NN	need
for	IN	for
a	DT	a
peaceful	JJ	peaceful
resolution	NN	resolution
.	SENT	.
<p>
Mr	NP	Mr
Idris	NP	Idris
said	VBD	say
Nigeria	NP	Nigeria
'	POS	'
s	NN	S
position	NN	position
is	VBZ	be
to	TO	to
call	VB	call
for	IN	for
peaceful	JJ	peaceful
resolution	NN	resolution
because	IN	because
the	DT	the
conflict	NN	conflict
can	MD	can
never	RB	never
end	VB	end
on	IN	on
the	DT	the
war	NN	war
front	NN	front
.	SENT	.
"	``	"
We	PP	we
must	MD	must
come	VB	come
to	TO	to
find	VB	find
a	DT	a
diplomatic	JJ	diplomatic
solution	NN	solution
and	CC	and
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
we	PP	we
are	VBP	be
seeking	VBG	seek
here	RB	here
,	,	,
"	''	"
the	DT	the
minister	NN	minister
told	VBD	tell
journalists	NNS	journalist
in	IN	in
Riyadh	NP	Riyadh
.	SENT	.
<p>
He	PP	he
said	VBD	say
Nigeria	NP	Nigeria
is	VBZ	be
seizing	VBG	seize
the	DT	the
moment	NN	moment
again	RB	again
to	TO	to
participate	VB	participate
in	IN	in
the	DT	the
summit	NN	summit
and	CC	and
to	TO	to
lend	VB	lend
its	PP$	its
voice	NN	voice
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
that	IN	that
all	DT	all
countries	NNS	country
of	IN	of
the	DT	the
world	NN	world
have	VB	have
a	DT	a
peaceful	JJ	peaceful
resolution	NN	resolution
on	IN	on
the	DT	the
Israel-Palestine	NP	Israel-Palestine
conflict	NN	conflict
.	SENT	.
<p>
Many	JJ	many
experts	NNS	expert
have	VBP	have
said	VBN	say
a	DT	a
lasting	JJ	lasting
end	NN	end
to	TO	to
the	DT	the
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
can	MD	can
only	RB	only
come	VB	come
through	IN	through
a	DT	a
two-state	NN	two-state
solution	NN	solution
.	SENT	.
<p>
Mr	NP	Mr
Idris	NP	Idris
said	VBD	say
Nigeria	NP	Nigeria
has	VBZ	have
been	VBN	be
consistent	JJ	consistent
on	IN	on
its	PP$	its
call	NN	call
for	IN	for
a	DT	a
"	``	"
two-state	NN	two-state
solution	NN	solution
,	,	,
Israel	NP	Israel
and	CC	and
Palestine	NP	Palestine
living	NN	living
side	NN	side
by	IN	by
side	NN	side
in	IN	in
peace	NN	peace
and	CC	and
security	NN	security
within	IN	within
very	RB	very
secure	JJ	secure
borders	NNS	border
for	IN	for
both	DT	both
countries	NNS	country
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
Nigeria	NP	Nigeria
"	``	"
feels	VBZ	feel
like	IN	like
that	WDT	that
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
forward	RB	forward
;	:	;
