<h>
UN	NP	UN
,	,	,
world	NN	world
need	NN	need
to	TO	to
play	VB	play
role	NN	role
in	IN	in
ending	VBG	end
Israel-Palestine	NP	Israel-Palestine
conflict	NN	conflict
:	:	:
Omar	NP	Omar
<p>
Srinagar	NP	Srinagar
,	,	,
Oct	NP	Oct
24	CD	@card@
:	:	:
National	NP	National
Conference	NP	Conference
Vice	NP	Vice
President	NP	President
Omar	NP	Omar
Abdullah	NP	Abdullah
said	VBD	say
today	NN	today
that	IN	that
the	DT	the
United	NP	United
Nations	NPS	Nations
and	CC	and
the	DT	the
world	NN	world
need	VBP	need
to	TO	to
play	VB	play
a	DT	a
more	RBR	more
active	JJ	active
role	NN	role
in	IN	in
ending	VBG	end
the	DT	the
Israel-Palestine	NP	Israel-Palestine
conflict	NN	conflict
,	,	,
as	IN	as
countless	JJ	countless
innocent	JJ	innocent
lives	NNS	life
are	VBP	be
lost	VBN	lose
daily	RB	daily
in	IN	in
relentless	JJ	relentless
Gaza	NP	Gaza
bombing	NN	bombing
.	SENT	.
Speaking	VBG	speak
to	TO	to
the	DT	the
media	NNS	medium
here	RB	here
over	IN	over
the	DT	the
ongoing	JJ	ongoing
Israel-Palestine	NP	Israel-Palestine
conflict	NN	conflict
,	,	,
Abdullah	NP	Abdullah
said	VBD	say
every	DT	every
day	NN	day
they	PP	they
hear	VBP	hear
about	IN	about
the	DT	the
bombing	NN	bombing
on	IN	on
Gaza	NP	Gaza
through	IN	through
the	DT	the
media	NNS	medium
or	CC	or
TV	NN	TV
,	,	,
in	IN	in
which	WDT	which
innocent	JJ	innocent
civilians	NNS	civilian
,	,	,
including	VBG	include
children	NNS	child
and	CC	and
women	NNS	woman
who	WP	who
have	VBP	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
the	DT	the
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
are	VBP	be
being	VBG	be
killed	VBN	kill
.	SENT	.
"	``	"
We	PP	we
have	VBP	have
been	VBN	be
opposing	VBG	oppose
whatever	WDT	whatever
has	VBZ	have
been	VBN	be
happening	VBG	happen
in	IN	in
Gaza	NP	Gaza
right	NN	right
from	IN	from
day	NN	day
one	CD	one
.	SENT	.
Killing	VBG	kill
innocent	JJ	innocent
people	NNS	people
like	IN	like
this	DT	this
is	VBZ	be
beyond	IN	beyond
comprehension	NN	comprehension
.	SENT	.
They	PP	they
are	VBP	be
mercilessly	RB	mercilessly
being	VBG	be
targeted	VBN	target
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
Click	NN	click
here	RB	here
to	TO	to
watch	VB	watch
video	NN	video
He	PP	he
said	VBD	say
that	IN	that
it	PP	it
seems	VBZ	seem
that	IN	that
Israel	NP	Israel
is	VBZ	be
having	VBG	have
a	DT	a
free	JJ	free
hand	NN	hand
on	IN	on
this	DT	this
matter	NN	matter
,	,	,
and	CC	and
the	DT	the
world	NN	world
has	VBZ	have
proved	VBN	prove
that	IN	that
there	EX	there
are	VBP	be
different	JJ	different
laws	NNS	law
for	IN	for
Israel	NP	Israel
and	CC	and
Russia	NP	Russia
.	SENT	.
"	``	"
When	WRB	when
Russia	NP	Russia
blocked	VBD	block
the	DT	the
gas	NN	gas
in	IN	in
Ukraine	NP	Ukraine
and	CC	and
tried	VBD	try
to	TO	to
block	VB	block
water	NN	water
and	CC	and
food	NN	food
