<p>
Jerusalem	NP	Jerusalem
,	,	,
March	NP	March
18	CD	@card@
(	(	(
IANS	NPS	Ian
)	)	)
Israel	NP	Israel
launched	VBD	launch
a	DT	a
series	NN	series
of	IN	of
heavy	JJ	heavy
airstrikes	NNS	airstrike
on	IN	on
Hamas	JJ	<unknown>
targets	NNS	target
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
Tuesday	NP	Tuesday
,	,	,
marking	VBG	mark
the	DT	the
first	JJ	first
major	JJ	major
military	JJ	military
operation	NN	operation
since	IN	since
the	DT	the
ceasefire	NN	ceasefire
began	VBD	begin
on	IN	on
January	NP	January
19	CD	@card@
.	SENT	.
<p>
The	DT	the
renewed	JJ	renewed
offensive	NN	offensive
follows	VBZ	follow
the	DT	the
collapse	NN	collapse
of	IN	of
truce	NN	truce
negotiations	NNS	negotiation
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
.	SENT	.
<p>
According	VBG	accord
to	TO	to
medical	JJ	medical
officials	NNS	official
in	IN	in
Gaza	NP	Gaza
,	,	,
at	IN	at
least	JJS	least
66	CD	@card@
people	NNS	people
were	VBD	be
killed	VBN	kill
and	CC	and
more	JJR	more
than	IN	than
150	CD	@card@
others	NNS	other
injured	VBN	injure
in	IN	in
multiple	JJ	multiple
strikes	NNS	strike
across	IN	across
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
Deir	NP	Deir
al-Balah	NP	<unknown>
,	,	,
Khan	NP	Khan
Younis	NP	Younis
,	,	,
Rafah	NP	<unknown>
,	,	,
and	CC	and
Gaza	NP	Gaza
City	NP	City
.	SENT	.
<p>
The	DT	the
Israeli	NP	Israeli
Defense	NP	Defense
Forces	NPS	Forces
(	(	(
IDF	NP	IDF
)	)	)
confirmed	VBD	confirm
the	DT	the
attacks	NNS	attack
,	,	,
stating	VBG	state
that	IN	that
they	PP	they
were	VBD	be
carried	VBN	carry
out	RP	out
in	IN	in
coordination	NN	coordination
with	IN	with
the	DT	the
Israeli	NP	Israeli
Security	NP	Security
Agency	NP	Agency
(	(	(
ISA	NP	Isa
)	)	)
.	SENT	.
<p>
"	''	"
In	IN	in
accordance	NN	accordance
with	IN	with
the	DT	the
political	JJ	political
echelon	NN	echelon
,	,	,
the	DT	the
IDF	NP	IDF
and	CC	and
ISA	NP	Isa
are	VBP	be
currently	RB	currently
conducting	VBG	conduct
extensive	JJ	extensive
strikes	NNS	strike
on	IN	on
terror	NN	terror
targets	NNS	target
belonging	VBG	belong
to	TO	to
the	DT	the
Hamas	JJ	<unknown>
terrorist	JJ	terrorist
organisation	NN	organisation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
the	DT	the
Israeli	JJ	Israeli
military	NN	military
announced	VBN	announce
on	IN	on
X.	NP	X.
<p>
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
office	NN	office
later	RBR	later
justified	JJ	justified
the	DT	the
military	JJ	military
action	NN	action
,	,	,
attributing	VBG	attribute
it	PP	it
to	TO	to
"	``	"
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
repeated	JJ	repeated
refusal	NN	refusal
to	TO	to
release	VB	release
our	PP$	our
hostages	NNS	hostage
,	,	,
as	RB	as
well	RB	well
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
from	IN	from
US	NP	US
Presidential	JJ	presidential
Envoy	NP	Envoy
Steve	NP	Steve
Witkoff	NP	<unknown>
and	CC	and
from	IN	from
the	DT	the
mediators	NNS	mediator
.	SENT	.
"	''	"
<p>
"	``	"
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
Defense	NP	Defense
Minister	NP	Minister
Israel	NP	Israel
Katz	NP	Katz
have	VBP	have
instructed	VBN	instruct
the	DT	the
IDF	NP	IDF
to	TO	to
take	VB	take
strong	JJ	strong
action	NN	action
against	IN	against
the	DT	the
Hamas	JJ	<unknown>
terrorist	JJ	terrorist
organisation	NN	organisation
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
the	DT	the
statement	NN	statement
read	VBD	read
.	SENT	.
<p>
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
office	NN	office
further	RBR	further
stated	VBD	state
that	IN	that
the	DT	the
IDF	NP	IDF
is	VBZ	be
attacking	VBG	attack
targets	NNS	target
of	IN	of
the	DT	the
Hamas	JJ	<unknown>
terrorist	JJ	terrorist
organisation	NN	organisation
throughout	IN	throughout
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
"	''	"
in	IN	in
order	NN	order
to	TO	to
achieve	VB	achieve
the	DT	the
objectives	NNS	objective
of	IN	of
the	DT	the
war	NN	war
as	IN	as
they	PP	they
have	VBP	have
been	VBN	be
determined	VBN	determine
by	IN	by
the	DT	the
political	JJ	political
echelon	NN	echelon
including	VBG	include
the	DT	the
release	NN	release
of	IN	of
all	DT	all
of	IN	of
our	PP$	our
hostages	NNS	hostage
,	,	,
the	DT	the
living	NN	living
and	CC	and
the	DT	the
deceased	NN	deceased
.	SENT	.
"	''	"
<p>
"	``	"
Israel	NP	Israel
will	MD	will
,	,	,
from	IN	from
now	RB	now
on	RB	on
,	,	,
act	NN	act
against	IN	against
Hamas	NNS	<unknown>
with	IN	with
increasing	VBG	increase
military	JJ	military
strength	NN	strength
.	SENT	.
The	DT	the
operational	JJ	operational
plan	NN	plan
was	VBD	be
presented	VBN	present
by	IN	by
the	DT	the
IDF	NP	IDF
over	IN	over
the	DT	the
weekend	NN	weekend
and	CC	and
approved	VBN	approve
by	IN	by
the	DT	the
political	JJ	political
leadership	NN	leadership
,	,	,
"	''	"
the	DT	the
statement	NN	statement
added	VBD	add
.	SENT	.
<p>
The	DT	the
latest	JJS	late
escalation	NN	escalation
comes	VBZ	come
as	IN	as
truce	NN	truce
talks	NNS	talk
faltered	VBN	falter
over	IN	over
disagreements	NNS	disagreement
on	IN	on
the	DT	the
terms	NNS	term
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
'	POS	'
s	JJ	<unknown>
next	JJ	next
phase	NN	phase
.	SENT	.
<p>
Israel	NP	Israel
had	VBD	have
sought	VBN	seek
to	TO	to
extend	VB	extend
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
three-stage	NN	three-stage
agreement	NN	agreement
,	,	,
while	IN	while
Hamas	NNS	<unknown>
insisted	VBN	insist
on	IN	on
progressing	VBG	progress
to	TO	to
the	DT	the
second	JJ	second
phase	NN	phase
,	,	,
which	WDT	which
was	VBD	be
supposed	VBN	suppose
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
During	IN	during
the	DT	the
initial	JJ	initial
phase	NN	phase
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
,	,	,
Hamas	NP	<unknown>
released	VBD	release
33	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
and	CC	and
five	CD	five
Thai	JJ	Thai
nationals	NNS	national
in	IN	in
exchange	NN	exchange
for	IN	for
approximately	RB	approximately
2,000	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
.	SENT	.
However	RB	however
,	,	,
Hamas	NP	<unknown>
still	RB	still
holds	VBZ	hold
around	RB	around
59	CD	@card@
hostages	NNS	hostage
.	SENT	.
<p>
Last	JJ	last
week	NN	week
,	,	,
Hamas	NP	<unknown>
suggested	VBD	suggest
that	IN	that
they	PP	they
would	MD	would
free	VB	free
American-Israeli	JJ	American-Israeli
soldier	NN	soldier
Edan	NP	Edan
Alexander	NP	Alexander
along	IN	along
with	IN	with
the	DT	the
remains	VBZ	remain
of	IN	of
four	CD	four
hostages	NNS	hostage
on	IN	on
the	DT	the
condition	NN	condition
that	IN	that
Israel	NP	Israel
promptly	RB	promptly
agrees	VBZ	agree
to	TO	to
discuss	VB	discuss
the	DT	the
next	JJ	next
phase	NN	phase
of	IN	of
the	DT	the
deal	NN	deal
.	SENT	.
Israel	NP	Israel
rejected	VBD	reject
the	DT	the
proposal	NN	proposal
,	,	,
accusing	VBG	accuse
Hamas	NNS	<unknown>
of	IN	of
conducting	VBG	conduct
"	``	"
psychological	JJ	psychological
warfare	NN	warfare
"	''	"
against	IN	against
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
held	JJ	held
captive	NN	captive
.	SENT	.
<p>
The	DT	the
conflict	NN	conflict
in	IN	in
Gaza	NP	Gaza
erupted	VBD	erupt
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
after	IN	after
Hamas	NP	<unknown>
launched	VBD	launch
a	DT	a
