<h>
What	WP	what
is	VBZ	be
Hezbollah	NP	Hezbollah
why	WRB	why
are	VBP	be
they	PP	they
important	JJ	important
in	IN	in
Israel-Gaza	NP	<unknown>
war	NN	war
<p>
Hezbollah	NP	Hezbollah
,	,	,
is	VBZ	be
an	DT	an
armed	JJ	armed
resistance	NN	resistance
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
which	WDT	which
defines	VBZ	define
itself	PP	itself
as	IN	as
a	DT	a
movement	NN	movement
fighting	VBG	fight
against	IN	against
Israel	NP	Israel
,	,	,
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
its	PP$	its
allies	NNS	ally
'	POS	'
influence	NN	influence
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
The	DT	the
group	NN	group
is	VBZ	be
deeply	RB	deeply
involved	VBN	involve
in	IN	in
the	DT	the
Lebanese	JJ	Lebanese
government	NN	government
,	,	,
society	NN	society
and	CC	and
military	JJ	military
.	SENT	.
The	DT	the
group	NN	group
wields	VBZ	wield
high	JJ	high
level	NN	level
of	IN	of
power	NN	power
,	,	,
control	NN	control
over	IN	over
the	DT	the
Lebanese	JJ	Lebanese
government	NN	government
,	,	,
including	VBG	include
vast	JJ	vast
political	JJ	political
and	CC	and
military	JJ	military
network	NN	network
.	SENT	.
Thus	RB	thus
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
described	VBN	describe
as	IN	as
"	``	"
a	DT	a
state	NN	state
within	IN	within
a	DT	a
state	NN	state
"	''	"
.	SENT	.
<p>
The	DT	the
group	NN	group
popularity	NN	popularity
is	VBZ	be
based	VBN	base
on	IN	on
the	DT	the
perception	NN	perception
of	IN	of
people	NNS	people
that	IN	that
they	PP	they
are	VBP	be
the	DT	the
most	RBS	most
effective	JJ	effective
force	NN	force
that	WDT	that
can	MD	can
stand	VB	stand
up	RP	up
to	TO	to
Israel	NP	Israel
aggression	NN	aggression
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
<p>
Its	PP$	its
influence	NN	influence
spread	NN	spread
across	IN	across
the	DT	the
region	NN	region
,	,	,
including	VBG	include
militias	NNS	militia
in	IN	in
Iraq	NP	Iraq
and	CC	and
Syria	NP	Syria
,	,	,
Hamas	NN	<unknown>
in	IN	in
Gaza	NP	Gaza
and	CC	and
the	DT	the
Houtis	NP	<unknown>
in	IN	in
Yemen	NP	Yemen
.	SENT	.
<p>
But	CC	but
how	WRB	how
did	VBD	do
they	PP	they
become	VB	become
this	DT	this
powerful	JJ	powerful
to	TO	to
the	DT	the
extent	NN	extent
of	IN	of
having	VBG	have
their	PP$	their
own	JJ	own
soldiers	NNS	soldier
,	,	,
military	JJ	military
weapons	NNS	weapon
and	CC	and
sponsorship	NN	sponsorship
from	IN	from
a	DT	a
government	NN	government
.	SENT	.
<h>
The	DT	the
Beginning	NN	beginning
<p>
The	DT	the
name	NN	name
Hezbollah	NP	Hezbollah
means	VBZ	mean
party	NN	party
of	IN	of
God	NP	God
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
religious	JJ	religious
movement	NN	movement
and	CC	and
a	DT	a
secret	JJ	secret
organisation	NN	organisation
.	SENT	.
Its	PP$	its
members	NNS	member
are	VBP	be
mainly	RB	mainly
from	IN	from
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
political	JJ	political
party	NN	party
with	IN	with
members	NNS	member
in	IN	in
Lebanon	NP	Lebanon
'	POS	'
s	NN	S
parliament	NN	parliament
and	CC	and
ministers	NNS	minister
in	IN	in
the	DT	the
cabinet	NN	cabinet
.	SENT	.
<p>
The	DT	the
group	NN	group
started	VBD	start
in	IN	in
1982	CD	@card@
when	WRB	when
a	DT	a
group	NN	group
of	IN	of
Shia	NP	Shia
Muslims	NPS	Muslims
who	WP	who
felt	VBD	feel
marginalised	VBN	<unknown>
in	IN	in
the	DT	the
society	NN	society
by	IN	by
the	DT	the
Lebanese	JJ	Lebanese
government	NN	government
aligned	VBN	align
with	IN	with
Iran	NP	Iran
'	POS	'
s	JJ	<unknown>
revolutionary	JJ	revolutionary
ideology	NN	ideology
came	VBD	come
together	RB	together
to	TO	to
fight	VB	fight
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
.	SENT	.
Iran	NP	Iran
capitalised	VBD	capitalise
on	IN	on
it	PP	it
,	,	,
providing	VBG	provide
food	NN	food
,	,	,
training	NN	training
and	CC	and
weapons	NNS	weapon
to	TO	to
the	DT	the
group	NN	group
.	SENT	.
The	DT	the
group	NN	group
then	RB	then
adopted	VBD	adopt
a	DT	a
name	NN	name
now	RB	now
known	VBN	know
as	IN	as
Hezbollah	NP	Hezbollah
.	SENT	.
<p>
In	IN	in
a	DT	a
1985	CD	@card@
document	NN	document
shown	VBN	show
by	IN	by
Al	NP	Al
Jazeera	NP	<unknown>
the	DT	the
group	NN	group
defined	VBD	define
itself	PP	itself
as	IN	as
a	DT	a
resistance	NN	resistance
force	NN	force
against	IN	against
Israeli	JJ	Israeli
occupation	NN	occupation
with	IN	with
the	DT	the
"	``	"
final	JJ	final
obliteration	NN	obliteration
of	IN	of
Israel	NP	Israel
and	CC	and
the	DT	the
liberation	NN	liberation
of	IN	of
vulnerable	JJ	vulnerable
Jerusalem	NP	Jerusalem
from	IN	from
the	DT	the
talons	NNS	talon
of	IN	of
occupation	NN	occupation
"	''	"
as	IN	as
their	PP$	their
ultimate	JJ	ultimate
goal	NN	goal
.	SENT	.
<p>
And	CC	and
also	RB	also
'	''	'
the	DT	the
final	JJ	final
departure	NN	departure
of	IN	of
France	NP	France
,	,	,
America	NP	America
