<h>
How	WRB	how
many	JJ	many
children	NNS	child
were	VBD	be
killed	VBN	kill
in	IN	in
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
October	NP	October
7	CD	@card@
attack	NN	attack
?	SENT	?
<p>
Agence	NP	Agence
France-Presse	NP	France-Presse
<p>
October	NP	October
12	CD	@card@
,	,	,
2024	CD	@card@
9:25am	NN	<unknown>
<p>
Baby	NP	Baby
Yasine	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
reportedly	RB	reportedly
delivered	VBN	deliver
by	IN	by
Cesarean	JJ	Cesarean
section	NN	section
after	IN	after
his	PP$	his
9-months	NNS	9-month
pregnant	JJ	pregnant
mother	NN	mother
succumbed	VBN	succumb
to	TO	to
her	PP$	her
injuries	NNS	injury
sustained	VBN	sustain
during	IN	during
an	DT	an
overnight	JJ	overnight
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
Nusseirat	NP	<unknown>
in	IN	in
the	DT	the
central	JJ	central
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
is	VBZ	be
caressed	VBN	caress
by	IN	by
his	PP$	his
grandfather	NN	grandfather
as	IN	as
he	PP	he
lies	VBZ	lie
in	IN	in
an	DT	an
incubator	NN	incubator
at	IN	at
the	DT	the
Al-Aqsa	NP	<unknown>
Martyr	NP	Martyr
'	POS	'
s	JJ	<unknown>
hospital	NN	hospital
in	IN	in
Deir	NP	Deir
el-Balah	NP	<unknown>
on	IN	on
July	NP	July
20	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
The	DT	the
mother	NN	mother
barely	RB	barely
survived	VBD	survive
a	DT	a
night	NN	night
of	IN	of
missile	NN	missile
strikes	VBZ	strike
that	IN	that
rescue	NN	rescue
services	NNS	service
across	IN	across
the	DT	the
Hamas-run	NP	<unknown>
territory	NN	territory
said	VBD	say
killed	VBD	kill
more	JJR	more
than	IN	than
24	CD	@card@
people	NNS	people
,	,	,
including	VBG	include
six	CD	six
members	NNS	member
of	IN	of
the	DT	the
same	JJ	same
family	NN	family
.	SENT	.
Doctors	NNS	doctor
were	VBD	be
unable	JJ	unable
to	TO	to
save	VB	save
the	DT	the
mother	NN	mother
,	,	,
but	CC	but
performed	VBD	perform
an	DT	an
ultrasound	NN	ultrasound
that	WDT	that
detected	VBD	detect
the	DT	the
baby	NN	baby
'	POS	'
s	NN	S
heartbeat	NN	heartbeat
.	SENT	.
They	PP	they
then	RB	then
quickly	RB	quickly
staged	VBD	stage
an	DT	an
emergency	NN	emergency
cesarean	JJ	Cesarean
section	NN	section
"	''	"
and	CC	and
extracted	VBD	extract
the	DT	the
fetus	NN	fetus
,	,	,
"	''	"
the	DT	the
surgeon	NN	surgeon
told	VBD	tell
AFP	NP	AFP
