<p>
Jerusalem	NP	Jerusalem
,	,	,
October	NP	October
21	CD	@card@
(	(	(
IANS	NPS	Ian
)	)	)
:	:	:
Israeli	NP	Israeli
Air	NP	Air
Force	NP	Force
(	(	(
IAF	NP	IAF
)	)	)
on	IN	on
Monday	NP	Monday
said	VBD	say
that	IN	that
it	PP	it
conducted	VBD	conduct
a	DT	a
series	NN	series
of	IN	of
targeted	JJ	targeted
,	,	,
intelligence-based	JJ	<unknown>
strikes	NNS	strike
against	IN	against
dozens	NNS	dozen
of	IN	of
facilities	NNS	facility
and	CC	and
sites	NNS	site
used	VBN	use
by	IN	by
Hezbollah	NP	Hezbollah
'	POS	'
s	JJ	<unknown>
military	JJ	military
arm	NN	arm
to	TO	to
finance	VB	finance
its	PP$	its
terrorist	JJ	terrorist
activities	NNS	activity
against	IN	against
Israel	NP	Israel
.	SENT	.
<p>
The	DT	the
strikes	NNS	strike
were	VBD	be
conducted	VBN	conduct
in	IN	in
the	DT	the
areas	NNS	area
of	IN	of
Beirut	NP	Beirut
,	,	,
southern	JJ	southern
Lebanon	NP	Lebanon
,	,	,
and	CC	and
deep	RB	deep
within	IN	within
Lebanese	JJ	Lebanese
territory	NN	territory
.	SENT	.
<p>
"	``	"
These	DT	these
funds	NNS	fund
,	,	,
which	WDT	which
Hezbollah	NP	Hezbollah
used	VBD	use
for	IN	for
terror	NN	terror
activities	NNS	activity
,	,	,
were	VBD	be
stored	VBN	store
by	IN	by
the	DT	the
Al-Qard	NP	<unknown>
al-Hassan	NP	al-Hassan
Association	NP	Association
,	,	,
which	WDT	which
directly	RB	directly
funds	VBZ	fund
Hezbollah	NP	Hezbollah
'	POS	'
s	JJ	<unknown>
terror	NN	terror
activities	NNS	activity
,	,	,
including	VBG	include
the	DT	the
purchase	NN	purchase
of	IN	of
weapons	NNS	weapon
and	CC	and
payments	NNS	payment
to	TO	to
operatives	NNS	operative
in	IN	in
Hezbollah	NP	Hezbollah
'	POS	'
s	JJ	<unknown>
military	JJ	military
wing	NN	wing
,	,	,
"	''	"
the	DT	the
Israel	NP	Israel
Defence	NN	defence
Forces	NP	Forces
(	(	(
IDF	NP	IDF
)	)	)
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
<p>
"	''	"
Hezbollah	NP	Hezbollah
stores	NNS	store
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
in	IN	in
the	DT	the
association	NN	association
'	POS	'
s	NN	S
branches	NNS	branch
,	,	,
including	VBG	include
money	NN	money
that	WDT	that
was	VBD	be
directly	RB	directly
held	VBN	hold
under	IN	under
the	DT	the
name	NN	name
of	IN	of
the	DT	the
terrorist	JJ	terrorist
organization	NN	organization
,	,	,
"	''	"
it	PP	it
added	VBD	add
.	SENT	.
<p>
The	DT	the
IDF	NP	IDF
mentioned	VBD	mention
that	IN	that
,	,	,
prior	RB	prior
to	TO	to
launching	VBG	launch
strikes	NNS	strike
,	,	,
numerous	JJ	numerous
steps	NNS	step
were	VBD	be
taken	VBN	take
to	TO	to
mitigate	VB	mitigate
the	DT	the
risk	NN	risk
of	IN	of
harming	VBG	harm
civilians	NNS	civilian
,	,	,
including	VBG	include
advance	NN	advance
warnings	NNS	warning
issued	VBN	issue
via	IN	via
different	JJ	different
platforms	NNS	platform
to	TO	to
the	DT	the
civilian	JJ	civilian
population	NN	population
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
<p>
These	DT	these
strikes	NNS	strike
,	,	,
it	PP	it
said	VBD	say
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
degrade	VB	degrade
Hezbollah	NP	Hezbollah
'	POS	'
s	JJ	<unknown>
terror	NN	terror
infrastructure	NN	infrastructure
,	,	,
its	PP$	its
military	JJ	military
capabilities	NNS	capability
and	CC	and
ability	NN	ability
to	TO	to
rebuild	VB	rebuild
.	SENT	.
<p>
Meanwhile	RB	meanwhile
,	,	,
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
destroyed	VBD	destroy
terrorist	JJ	terrorist
infrastructure	NN	infrastructure
and	CC	and
tunnel	NN	tunnel
shafts	NNS	shaft
in	IN	in
the	DT	the
Jabaliya	NP	<unknown>
area	NN	area
and	CC	and
eliminated	VBN	eliminate
dozens	NNS	dozen
of	IN	of
terrorists	NNS	terrorist
in	IN	in
36	CD	@card@
hours	NNS	hour
.	SENT	.
<p>
"	''	"
During	IN	during
the	DT	the
activity	NN	activity
of	IN	of
the	DT	the
forces	NNS	force
,	,	,
the	DT	the
fighters	NNS	fighter
of	IN	of
the	DT	the
401st	NP	<unknown>
TDF	NP	TDF
eliminated	VBD	eliminate
a	DT	a
number	NN	number
of	IN	of
terrorists	NNS	terrorist
who	WP	who
posed	VBD	pose
a	DT	a
threat	NN	threat
to	TO	to
the	DT	the
forces	NNS	force
by	IN	by
firing	NN	firing
tanks	NNS	tank
,	,	,
in	IN	in
skirmishes	NNS	skirmish
and	CC	and
by	IN	by
directing	VBG	direct
air	NN	air
force	NN	force
strikes	VBZ	strike
,	,	,
"	``	"
the	DT	the
IDF	NP	IDF
revealed	VBD	reveal
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
forces	NNS	force
of	IN	of
the	DT	the
Gaza	NP	Gaza
Division	NP	Division
,	,	,
besides	IN	besides
eliminating	VBG	eliminate
a	DT	a
number	NN	number
of	IN	of
terrorists	NNS	terrorist
who	WP	who
posed	VBD	pose
a	DT	a
threat	NN	threat
to	TO	to
them	PP	them
in	IN	in
Rafah	NP	<unknown>
,	,	,
also	RB	also
destroyed	VBN	destroy
terrorist	JJ	terrorist
infrastructure	NN	infrastructure
and	CC	and
a	DT	a
weapons	NNS	weapon
warehouse	NN	warehouse
in	IN	in
the	DT	the
centre	NN	centre
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
In	IN	in
southern	JJ	southern
Lebanon	NP	Lebanon
,	,	,
the	DT	the
IDF	NP	IDF
forces	NNS	force
destroyed	VBD	destroy
many	JJ	many
stockpiles	NNS	stockpile
of	IN	of
weapons	NNS	weapon
used	VBN	use
by	IN	by
Hezbollah	NP	Hezbollah
,	,	,
including	VBG	include
weapons	NNS	weapon
,	,	,
anti-tank	NN	anti-tank
missiles	NNS	missile
and	CC	and
launchers	NNS	launcher
aimed	VBN	aim
at	IN	at
the	DT	the
settlements	NNS	settlement
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
country	NN	country
,	,	,
RPG	NP	RPG
launchers	NNS	launcher
,	,	,
cartridges	NNS	cartridge
,	,	,
charges	NNS	charge
,	,	,
Grenades	NNS	grenade
and	CC	and
other	JJ	other
combat	NN	combat
equipment	NN	equipment
.	SENT	.
<h>
Weekly	NP	Weekly
Poll	NP	Poll
Question	NP	Question
<h>
Connect	VBP	connect
with	IN	with
us	PP	us
<h>
Intro	NN	intro
