<h>
Why	WRB	why
borders	NNS	border
are	VBP	be
closed	VBN	close
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
mercifully	RB	mercifully
advised	VBD	advise
Palestinian	JJ	Palestinian
civilians	NNS	civilian
to	TO	to
move	VB	move
south	RB	south
as	IN	as
the	DT	the
Israeli	NP	Israeli
Defense	NP	Defense
Force	NP	Force
launched	VBD	launch
its	PP$	its
ground	NN	ground
assault	NN	assault
on	IN	on
Hamas	NP	<unknown>
inside	IN	inside
Gaza	NP	Gaza
'	POS	'
s	NN	S
borders	NNS	border
.	SENT	.
Many	DT	many
successfully	RB	successfully
fled	VBN	flee
despite	IN	despite
Hamas	NNS	<unknown>
preventing	VBG	prevent
them	PP	them
from	IN	from
doing	VBG	do
so	RB	so
.	SENT	.
As	IN	as
I	PP	I
write	VBP	write
this	DT	this
,	,	,
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
Palestinians	NPS	Palestinians
have	VBP	have
set	VBN	set
up	RP	up
camp	NN	camp
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
hoping	VBG	hope
that	IN	that
the	DT	the
Egyptian	JJ	Egyptian
government	NN	government
would	MD	would
accept	VB	accept
them	PP	them
as	IN	as
refugees	NNS	refugee
.	SENT	.
<p>
But	CC	but
Egypt	NP	Egypt
refuses	VBZ	refuse
to	TO	to
open	VB	open
its	PP$	its
doors	NNS	door
,	,	,
as	RB	as
do	VBP	do
other	JJ	other
neighbors	NNS	neighbor
including	VBG	include
Jordan	NP	Jordan
,	,	,
Syria	NP	Syria
and	CC	and
Lebanon	NP	Lebanon
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
entire	JJ	entire
Arab	JJ	Arab
world	NN	world
refuses	VBZ	refuse
to	TO	to
accept	VB	accept
Palestinian	JJ	Palestinian
refugees	NNS	refugee
despite	IN	despite
proclaiming	VBG	proclaim
unwavering	VBG	unwaver
support	NN	support
for	IN	for
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
their	PP$	their
plight	NN	plight
.	SENT	.
<p>
Egyptian	NP	Egyptian
President	NP	President
Abdel	NP	Abdel
El-Sisi	NP	<unknown>
justified	VBD	justify
his	PP$	his
refusal	NN	refusal
by	IN	by
