<p>
This	DT	this
is	VBZ	be
AI	NN	ai
generated	VBN	generate
summarization	NN	summarization
,	,	,
which	WDT	which
may	MD	may
have	VB	have
errors	NNS	error
.	SENT	.
For	IN	for
context	NN	context
,	,	,
always	RB	always
refer	VBP	refer
to	TO	to
the	DT	the
full	JJ	full
article	NN	article
.	SENT	.
<p>
SWAP	NN	swap
.	SENT	.
A	DT	a
drone	NN	drone
view	NN	view
shows	VBZ	show
Palestinian	JJ	Palestinian
Hamas	JJ	<unknown>
militants	NNS	militant
standing	VBG	stand
guard	NN	guard
on	IN	on
the	DT	the
day	NN	day
of	IN	of
the	DT	the
handover	NN	handover
of	IN	of
hostages	NNS	hostage
,	,	,
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
since	IN	since
the	DT	the
October	NP	October
7	CD	@card@
2023	CD	@card@
attack	NN	attack
,	,	,
to	TO	to
members	NNS	member
of	IN	of
the	DT	the
International	NP	International
Committee	NP	Committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
as	IN	as
part	NN	part
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
hostages-prisoners	NNS	hostages-prisoner
swap	VBP	swap
deal	NN	deal
in	IN	in
Jabalia	NP	<unknown>
,	,	,
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
January	NP	January
30	CD	@card@
,	,	,
2025	CD	@card@
.	SENT	.
<p>
Mohammed	NP	Mohammed
Salem/Reuters	NP	Salem/Reuters
<p>
Three	NP	Three
Israeli	JJ	Israeli
civilians	NNS	civilian
and	CC	and
four	CD	four
soldiers	NNS	soldier
--	:	--
all	DT	all
women	NNS	woman
--	:	--
have	VBP	have
been	VBN	be
released	VBN	release
so	RB	so
far	RB	far
in	IN	in
the	DT	the
ceasefire	NN	ceasefire
,	,	,
which	WDT	which
began	VBD	begin
on	IN	on
January	NP	January
19	CD	@card@
.	SENT	.
In	IN	in
return	NN	return
,	,	,
Israel	NP	Israel
has	VBZ	have
released	VBN	release
290	CD	@card@
Palestinian	NN	Palestinian
convicts	VBZ	convict
and	CC	and
detainees	NNS	detainee
.	SENT	.
<p>
Palestinian	JJ	Palestinian
militants	NNS	militant
began	VBD	begin
handing	VBG	hand
over	IN	over
three	CD	three
Israeli	JJ	Israeli
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
on	IN	on
Thursday	NP	Thursday
,	,	,
January	NP	January
30	CD	@card@
,	,	,
in	IN	in
return	NN	return
for	IN	for
110	CD	@card@
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
to	TO	to
be	VB	be
freed	VBN	free
in	IN	in
the	DT	the
latest	JJS	late
stage	NN	stage
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
.	SENT	.
<p>
A	DT	a
female	JJ	female
Israeli	JJ	Israeli
soldier	NN	soldier
,	,	,
Agam	NP	Agam
Berger	NP	Berger
,	,	,
waved	VBN	wave
at	IN	at
the	DT	the
crowd	NN	crowd
from	IN	from
a	DT	a
podium	NN	podium
in	IN	in
Jabalia	NP	<unknown>
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
before	IN	before
being	VBG	be
handed	VBN	hand
to	TO	to
the	DT	the
Red	NP	Red
Cross	NP	Cross
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
29	CD	@card@
,	,	,
both	CC	both
abducted	VBD	abduct
from	IN	from
Kibbutz	NN	kibbutz
Nir	NP	Nir
Oz	NP	Oz
in	IN	in
the	DT	the
Hamas-led	JJ	<unknown>
assault	NN	assault
on	IN	on
Israel	NP	Israel
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
hugged	VBD	hug
one	PP	one
another	DT	another
in	IN	in
the	DT	the
presence	NN	presence
of	IN	of
masked	JJ	masked
gunmen	NNS	gunman
in	IN	in
black	JJ	black
uniforms	NNS	uniform
at	IN	at
another	DT	another
exchange	NN	exchange
site	NN	site
,	,	,
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
,	,	,
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
a	DT	a
video	NN	video
released	VBN	release
by	IN	by
Hamas	JJ	<unknown>
ally	NN	ally
Islamic	NP	Islamic
Jihad	NP	Jihad
showed	VBD	show
.	SENT	.
<p>
The	DT	the
spokesman	NN	spokesman
from	IN	from
the	DT	the
group	NN	group
'	POS	'
s	JJ	<unknown>
armed	JJ	armed
wing	NN	wing
said	VBD	say
on	IN	on
Telegram	NN	telegram
it	PP	it
had	VBD	have
"	``	"
completed	VBN	complete
procedures	NNS	procedure
to	TO	to
hand	VB	hand
over	IN	over
two	CD	two
Israeli	JJ	Israeli
hostages	NNS	hostage
.	SENT	.
"	``	"
<p>
An	DT	an
Israeli	JJ	Israeli
official	NN	official
told	VBD	tell
Reuters	NP	Reuters
that	IN	that
the	DT	the
three	CD	three
hostages	NNS	hostage
were	VBD	be
expected	VBN	expect
to	TO	to
be	VB	be
taken	VBN	take
to	TO	to
three	CD	three
different	JJ	different
hospitals	NNS	hospital
in	IN	in
Israel	NP	Israel
,	,	,
though	IN	though
that	WDT	that
could	MD	could
change	VB	change
depending	VBG	depend
on	IN	on
their	PP$	their
immediate	JJ	immediate
inspection	NN	inspection
from	IN	from
doctors	NNS	doctor
upon	IN	upon
arrival	NN	arrival
.	SENT	.
<p>
Israelis	NPS	Israelis
began	VBD	begin
to	TO	to
gather	VB	gather
in	IN	in
what	WP	what
has	VBZ	have
become	VBN	become
known	VBN	know
as	IN	as
Hostages	NNS	hostage
Square	NP	Square
,	,	,
a	DT	a
central	JJ	central
square	NN	square
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
,	,	,
which	WDT	which
has	VBZ	have
become	VBN	become
