<p>
Yes	UH	yes
,	,	,
roughly	RB	roughly
half	NN	half
of	IN	of
House	NP	House
and	CC	and
Senate	NP	Senate
Democrats	NPS	Democrats
skipped	VBD	skip
the	DT	the
show	NN	show
,	,	,
but	CC	but
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
address	NN	address
will	MD	will
go	VB	go
down	RP	down
in	IN	in
the	DT	the
annals	NN	annals
of	IN	of
history	NN	history
as	IN	as
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
speeches	NNS	speech
ever	RB	ever
delivered	VBN	deliver
by	IN	by
an	DT	an
Israeli	JJ	Israeli
leader	NN	leader
and	CC	and
maybe	RB	maybe
even	RB	even
the	DT	the
best	JJS	good
.	SENT	.
<p>
Netanyahu	NP	<unknown>
received	VBD	receive
resounding	JJ	resounding
standing	NN	standing
ovations	NNS	ovation
,	,	,
was	VBD	be
met	VBN	meet
by	IN	by
thunderous	JJ	thunderous
applause	NN	applause
upon	IN	upon
entering	VBG	enter
and	CC	and
leaving	VBG	leave
the	DT	the
hall	NN	hall
,	,	,
and	CC	and
had	VBD	have
a	DT	a
delivery	NN	delivery
that	WDT	that
was	VBD	be
full	JJ	full
of	IN	of
charisma	NN	charisma
,	,	,
suspense	NN	suspense
,	,	,
and	CC	and
passion	NN	passion
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
speech	NN	speech
for	IN	for
the	DT	the
books	NNS	book
.	SENT	.
<p>
And	CC	and
he	PP	he
used	VBD	use
the	DT	the
gallery	NN	gallery
.	SENT	.
He	PP	he
pointed	VBD	point
to	TO	to
Noa	NP	Noa
Argamani	NP	Argamani
,	,	,
the	DT	the
hostage	NN	hostage
who	WP	who
was	VBD	be
rescued	VBN	rescue
in	IN	in
a	DT	a
breathtaking	JJ	breathtaking
commando	NN	commando
operation	NN	operation
last	JJ	last
month	NN	month
;	:	;
to	TO	to
Yechiel	NP	<unknown>
Leiter	NP	Leiter
,	,	,
father	NN	father
of	IN	of
Moshe	NP	Moshe
Leiter	NP	Leiter
,	,	,
an	DT	an
elite	JJ	elite
reservist	NN	reservist
who	WP	who
was	VBD	be
killed	VBN	kill
a	DT	a
month	NN	month
into	IN	into
the	DT	the
war	NN	war
;	:	;
to	TO	to
Iris	NP	Iris
Haim	NP	Haim
,	,	,
the	DT	the
mother	NN	mother
of	IN	of
hostage	NN	hostage
Yotam	NP	<unknown>
Haim	NP	Haim
who	WP	who
was	VBD	be
accidentally	RB	accidentally
killed	VBN	kill
by	IN	by
IDF	NP	IDF
troops	NNS	troop
after	IN	after
escaping	VBG	escape
his	PP$	his
Hamas	JJ	<unknown>
captors	NNS	captor
;	:	;
as	RB	as
well	RB	well
as	IN	as
to	TO	to
three	CD	three
soldiers	NNS	soldier
who	WP	who
were	VBD	be
in	IN	in
attendance	NN	attendance
and	CC	and
had	VBD	have
fought	VBN	fight
valiantly	RB	valiantly
against	IN	against
Hamas	NNS	<unknown>
during	IN	during
the	DT	the
war	NN	war
.	SENT	.
U.S.	NP	U.S.
House	NP	House
Speaker	NP	Speaker
Mike	NP	Mike
Johnson	NP	Johnson
(	(	(
R-LA	NP	<unknown>
)	)	)
and	CC	and
Senate	NP	Senate
Foreign	NP	Foreign
Relations	NPS	Relations
Chair	NN	chair
,	,	,
Senator	NP	Senator
Ben	NP	Ben
Cardin	NP	Cardin
(	(	(
