<h>
Some	DT	some
200	CD	@card@
delegates	NNS	delegate
from	IN	from
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
visited	VBD	visit
Israel	NP	Israel
last	JJ	last
week	NN	week
,	,	,
where	WRB	where
the	DT	the
met	VBN	meet
with	IN	with
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
wounded	JJ	wounded
soldiers	NNS	soldier
and	CC	and
Oct.	NP	Oct.
7	CD	@card@
survivors	NNS	survivor
.	SENT	.
<p>
Oren	NP	Oren
and	CC	and
Roi	NP	Roi
,	,	,
who	WP	who
missed	VBD	miss
Simchas	NP	<unknown>
Torah	NP	Torah
after	IN	after
the	DT	the
Nova	NP	Nova
Festival	NP	Festival
on	IN	on
October	NP	October
7th	JJ	7th
,	,	,
celebrate	VB	celebrate
the	DT	the
holiday	NN	holiday
dancing	NN	dancing
with	IN	with
nearly	RB	nearly
200	CD	@card@
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
Shluchim	NP	<unknown>
during	IN	during
their	PP$	their
annual	JJ	annual
convention	NN	convention
in	IN	in
Israel	NP	Israel
.	SENT	.
(	(	(
photo	JJ	photo
credit	NN	credit
:	:	:
Courtesy	NN	courtesy
)	)	)
<p>
Over	IN	over
200	CD	@card@
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
representatives	NNS	representative
visited	VBD	visit
Israel	NP	Israel
last	JJ	last
week	NN	week
for	IN	for
an	DT	an
annual	JJ	annual
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
International	NP	International
Conference	NP	Conference
.	SENT	.
<p>
The	DT	the
annual	JJ	annual
conference	NN	conference
is	VBZ	be
usually	RB	usually
held	VBN	hold
in	IN	in
New	NP	New
Jersey	NP	Jersey
,	,	,
however	RB	however
,	,	,
this	DT	this
year	NN	year
the	DT	the
event	NN	event
was	VBD	be
relocated	VBN	relocate
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
During	IN	during
the	DT	the
conference	NN	conference
,	,	,
representatives	NNS	representative
from	IN	from
the	DT	the
Chabad	NP	<unknown>
on	IN	on
Campus	NP	Campus
movement	NN	movement
met	VBD	meet
with	IN	with
a	DT	a
number	NN	number
of	IN	of
notable	JJ	notable
Israeli	JJ	Israeli
officials	NNS	official
,	,	,
including	VBG	include
Prime	NP	Prime
Minister	NP	Minister
