<p>
WATCH	NN	watch
:	:	:
Gazans	NP	Gazans
criticized	VBD	criticize
United	NP	United
States	NPS	States
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
on	IN	on
Wednesday	NP	Wednesday
after	IN	after
the	DT	the
U.S.	NP	U.S.
president	NN	president
posted	VBD	post
an	DT	an
AI	NN	ai
video	NN	video
promoting	VBG	promote
his	PP$	his
plan	NN	plan
to	TO	to
turn	VB	turn
the	DT	the
besieged	JJ	besieged
enclave	NN	enclave
into	IN	into
a	DT	a
beach	NN	beach
resort	NN	resort
dubbed	VBN	dub
"	``	"
Trump	NP	Trump
Gaza	NP	Gaza
.	SENT	.
"	``	"
The	DT	the
video	NN	video
features	VBZ	feature
a	DT	a
sunbathing	VBG	sunbathe
Trump	NP	Trump
next	JJ	next
to	TO	to
Israeli	NP	Israeli
President	NP	President
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
a	DT	a
massive	JJ	massive
golden	JJ	golden
statue	NN	statue
of	IN	of
Trump	NP	Trump
.	SENT	.
<p>
An	DT	an
AI-generated	JJ	<unknown>
video	NN	video
was	VBD	be
shared	VBN	share
on	IN	on
U.S.	NP	U.S.
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	NN	S
Truth	NN	truth
Social	NP	Social
account	NN	account
,	,	,
showcasing	VBG	showcase
a	DT	a
depiction	NN	depiction
of	IN	of
an	DT	an
imagined	VBN	imagine
future	NN	future
of	IN	of
Gaza	NP	Gaza
--	:	--
featuring	VBG	feature
an	DT	an
enormous	JJ	enormous
golden	JJ	golden
statue	NN	statue
of	IN	of
Trump	NP	Trump
,	,	,
bearded	JJ	bearded
belly	NN	belly
dancers	NNS	dancer
,	,	,
a	DT	a
shirtless	JJ	shirtless
Trump	NP	Trump
sunbathing	VBG	sunbathe
on	IN	on
a	DT	a
beach	NN	beach
and	CC	and
Elon	NP	Elon
Musk	NN	musk
eating	VBG	eat
hummus	NN	<unknown>
.	SENT	.
<p>
The	DT	the
30-second	JJ	30-second
clip	NN	clip
begins	VBZ	begin
with	IN	with
children	NNS	child
running	VBG	run
through	IN	through
rubble	NN	rubble
and	CC	and
the	DT	the
words	NNS	word
"	``	"
Whats	NP	<unknown>
Next	NP	Next
?	SENT	?
"	''	"
appearing	VBG	appear
in	IN	in
blue	JJ	blue
,	,	,
red	JJ	red
and	CC	and
white	JJ	white
.	SENT	.
Then	RB	then
,	,	,
the	DT	the
children	NNS	child
go	VBP	go
from	IN	from
walking	VBG	walk
through	IN	through
the	DT	the
rubble	NN	rubble
to	TO	to
walking	VBG	walk
into	IN	into
a	DT	a
resort-like	JJ	<unknown>
atmosphere	NN	atmosphere
