<p>
It	PP	it
is	VBZ	be
intrinsic	JJ	intrinsic
to	TO	to
warfare	NN	warfare
that	IN	that
economic	JJ	economic
assets	NNS	asset
are	VBP	be
destroyed	VBN	destroy
,	,	,
but	CC	but
conflicts	NNS	conflict
usually	RB	usually
do	VBP	do
n't	RB	n't
generate	VB	generate
economic	JJ	economic
devastation	NN	devastation
on	IN	on
the	DT	the
scale	NN	scale
inflicted	VBN	inflict
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
value	NN	value
of	IN	of
economic	JJ	economic
activity	NN	activity
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
first	JJ	first
quarter	NN	quarter
of	IN	of
2024	CD	@card@
was	VBD	be
86	CD	@card@
percent	NN	percent
below	IN	below
pre-war	JJ	pre-war
levels	NNS	level
,	,	,
with	IN	with
studies	NNS	study
from	IN	from
both	CC	both
the	DT	the
World	NP	World
Bank	NP	Bank
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
Commission	NP	Commission
on	IN	on
Trade	NP	Trade
and	CC	and
Development	NP	Development
describing	VBG	describe
its	PP$	its
economic	JJ	economic
collapse	NN	collapse
.	SENT	.
<p>
'	''	'
Since	IN	since
October	NP	October
7	CD	@card@
,	,	,
the	DT	the
Palestinian	JJ	Palestinian
economy	NN	economy
experienced	VBD	experience
one	CD	one
of	IN	of
the	DT	the
largest	JJS	large
economic	JJ	economic
shocks	NNS	shock
ever	RB	ever
recorded	VBN	record
in	IN	in
recent	JJ	recent
economic	JJ	economic
history	NN	history
'	POS	'
,	,	,
the	DT	the
World	NP	World
Bank	NP	Bank
report	NN	report
concluded	VBD	conclude
.	SENT	.
<p>
By	IN	by
way	NN	way
of	IN	of
comparison	NN	comparison
,	,	,
International	NP	International
Monetary	NP	Monetary
Fund	NP	Fund
(	(	(
IMF	NP	IMF
)	)	)
figures	NNS	figure
show	VBP	show
that	IN	that
Ukraine	NP	Ukraine
'	POS	'
s	NN	S
economy	NN	economy
fell	VBD	fall
29	CD	@card@
percent	NN	percent
in	IN	in
2022	CD	@card@
following	VBG	follow
Russia	NP	Russia
'	POS	'
s	NN	S
assault	NN	assault
.	SENT	.
One	CD	one
academic	JJ	academic
study	NN	study
estimated	VBN	estimate
Germany	NP	Germany
'	POS	'
s	NN	S
economy	NN	economy
contracted	VBD	contract
64	CD	@card@
per	IN	per
cent	NN	cent
and	CC	and
Japan	NP	Japan
'	POS	'
s	NN	S
economy	NN	economy
52	CD	@card@
percent	NN	percent
during	IN	during
World	NP	World
War	NP	War
II	NP	II
.	SENT	.
<p>
The	DT	the
influx	NN	influx
of	IN	of
relatively	RB	relatively
high-spending	VBG	high-spend
American	JJ	American
and	CC	and
allied	JJ	allied
soldiers	NNS	soldier
meant	VBD	mean
the	DT	the
economies	NNS	economy
of	IN	of
both	DT	both
Afghanistan	NP	Afghanistan
and	CC	and
Iraq	NP	Iraq
achieved	VBD	achieve
modest	JJ	modest
economic	JJ	economic
growth	NN	growth
from	IN	from
2003	CD	@card@
onwards	RB	onwards
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
IMF	NP	IMF
economic	JJ	economic
database	NN	database
,	,	,
despite	IN	despite
the	DT	the
human	JJ	human
suffering	NN	suffering
.	SENT	.
Afghanistan	NP	Afghanistan
'	POS	'
s	NN	S
economy	NN	economy
contracted	VBD	contract
20	CD	@card@
percent	NN	percent
in	IN	in
2022	CD	@card@
,	,	,
after	IN	after
the	DT	the
US	NP	US
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
38	CD	@card@
percent	NN	percent
fall	NN	fall
in	IN	in
its	PP$	its
GDP	NP	GDP
.	SENT	.
<p>
The	DT	the
World	NP	World
Bank	NP	Bank
estimated	VBD	estimate
that	IN	that
by	IN	by
the	DT	the
first	JJ	first
quarter	NN	quarter
of	IN	of
2024	CD	@card@
,	,	,
82	CD	@card@
percent	NN	percent
of	IN	of
private	JJ	private
sector	NN	sector
establishments	NNS	establishment
in	IN	in
Gaza	NP	Gaza
had	VBD	have
been	VBN	be
damaged	VBN	damage
or	CC	or
fully	RB	fully
destroyed	VBN	destroy
.	SENT	.
The	DT	the
impact	NN	impact
on	IN	on
social	JJ	social
infrastructure	NN	infrastructure
is	VBZ	be
similar	JJ	similar
,	,	,
with	IN	with
around	RB	around
84	CD	@card@
percent	NN	percent
of	IN	of
health	NN	health
facilities	NNS	facility
and	CC	and
schools	NNS	school
damaged	VBN	damage
or	CC	or
destroyed	VBN	destroy
.	SENT	.
<p>
Between	IN	between
80	CD	@card@
and	CC	and
96	CD	@card@
percent	NN	percent
of	IN	of
agricultural	JJ	agricultural
assets	NNS	asset
had	VBD	have
been	VBN	be
hit	VBN	hit
by	IN	by
early	RB	early
this	DT	this
year	NN	year
,	,	,
including	VBG	include
irrigation	NN	irrigation
infrastructure	NN	infrastructure
,	,	,
livestock	NN	livestock
,	,	,
orchards	NNS	orchard
,	,	,
machinery	NN	machinery
,	,	,
storage	NN	storage
and	CC	and
research	NN	research
stations	NNS	station
.	SENT	.
The	DT	the
World	NP	World
Bank	NP	Bank
noted	VBD	note
that	IN	that
this	DT	this
had	VBD	have
left	VBN	leave
those	DT	those
reliant	JJ	reliant
on	IN	on
agricultural	JJ	agricultural
food	NN	food
chains	NNS	chain
without	IN	without
dependable	JJ	dependable
food	NN	food
or	CC	or
income	NN	income
.	SENT	.
Before	IN	before
the	DT	the
conflict	NN	conflict
,	,	,
agriculture	NN	agriculture
and	CC	and
the	DT	the
associated	JJ	associated
food-chain	NN	food-chain
contributed	VBD	contribute
15	CD	@card@
percent	NN	percent
of	IN	of
GDP	NP	GDP
across	IN	across
both	DT	both
Gaza	NP	Gaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
Estimates	NNS	estimate
of	IN	of
GDP	NP	GDP
reported	VBD	report
by	IN	by
the	DT	the
United	NP	United
Nations	NPS	Nations
Conference	NP	Conference
on	IN	on
Trade	NP	Trade
and	CC	and
Development	NP	Development
show	VBP	show
that	IN	that
Gaza	NP	Gaza
generated	VBD	generate
value-added	JJ	value-added
equivalent	NN	equivalent
to	TO	to
an	DT	an
average	NN	average
of	IN	of
US$670	NP	<unknown>
million	CD	million
a	DT	a
quarter	NN	quarter
in	IN	in
the	DT	the
three	CD	three
years	NNS	year
before	IN	before
the	DT	the
conflict	NN	conflict
.	SENT	.
This	DT	this
dropped	VBD	drop
to	TO	to
US$129	NP	<unknown>
million	CD	million
in	IN	in
the	DT	the
third	JJ	third
quarter	NN	quarter
of	IN	of
2023	CD	@card@
and	CC	and
US$92	NP	<unknown>
million	CD	million
in	IN	in
the	DT	the
first	JJ	first
quarter	NN	quarter
of	IN	of
this	DT	this
year	NN	year
.	SENT	.
<p>
A	NP	A
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
96	CD	@card@
percent	NN	percent
fall	NN	fall
in	IN	in
construction	NN	construction
,	,	,
93	CD	@card@
percent	NN	percent
fall	NN	fall
in	IN	in
agriculture	NN	agriculture
,	,	,
77	CD	@card@
percent	NN	percent
fall	NN	fall
in	IN	in
services	NNS	service
and	CC	and
92	CD	@card@
percent	NN	percent
fall	NN	fall
in	IN	in
the	DT	the
industrial	JJ	industrial
sector	NN	sector
.	SENT	.
<p>
Palestine	NP	Palestine
has	VBZ	have
long	RB	long
had	VBN	have
high	JJ	high
levels	NNS	level
of	IN	of
poverty	NN	poverty
.	SENT	.
By	IN	by
2022	CD	@card@
,	,	,
80	CD	@card@
percent	NN	percent
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
people	NNS	people
depended	VBN	depend
on	IN	on
some	DT	some
level	NN	level
of	IN	of
international	JJ	international
assistance	NN	assistance
,	,	,
while	IN	while
aid	NN	aid
was	VBD	be
the	DT	the
primary	JJ	primary
source	NN	source
of	IN	of
income	NN	income
for	IN	for
more	JJR	more
than	IN	than
half	NN	half
of	IN	of
households	NNS	household
.	SENT	.
A	DT	a
third	NN	third
of	IN	of
people	NNS	people
across	IN	across
both	DT	both
Gaza	NP	Gaza
and	CC	and
the	DT	the
West	NP	West
Bank	NP	Bank
lacked	VBD	lack
secure	JJ	secure
food	NN	food
supplies	NNS	supply
.	SENT	.
<p>
Including	VBG	include
both	CC	both
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
Gaza	NP	Gaza
,	,	,
Palestine	NP	Palestine
'	POS	'
s	NN	S
annual	JJ	annual
GDP	NP	GDP
per	IN	per
capita	NN	capita
before	IN	before
the	DT	the
war	NN	war
