<p>
ATLANTA	NP	Atlanta
--	:	--
Morehouse	NP	Morehouse
College	NP	College
'	POS	'
s	NN	S
leadership	NN	leadership
is	VBZ	be
set	VBN	set
to	TO	to
hold	VB	hold
a	DT	a
call	NN	call
on	IN	on
Thursday	NP	Thursday
--	:	--
where	WRB	where
faculty	NN	faculty
will	MD	will
get	VB	get
the	DT	the
chance	NN	chance
to	TO	to
speak	VB	speak
--	:	--
to	TO	to
address	VB	address
concerns	NNS	concern
over	IN	over
having	VBG	have
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
as	IN	as
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
commencement	NN	commencement
speaker	NN	speaker
next	JJ	next
month	NN	month
.	SENT	.
<p>
"	''	"
From	IN	from
our	PP$	our
perspective	NN	perspective
,	,	,
really	RB	really
having	VBG	have
a	DT	a
sitting	VBG	sit
president	NN	president
come	VBN	come
to	TO	to
Morehouse	NP	Morehouse
offers	VBZ	offer
an	DT	an
incredible	JJ	incredible
opportunity	NN	opportunity
,	,	,
"	''	"
said	VBD	say
Morehouse	NP	Morehouse
Provost	NP	Provost
Kendrick	NP	Kendrick
Brown	NP	Brown
,	,	,
who	WP	who
,	,	,
along	IN	along
with	IN	with
the	DT	the
president	NN	president
of	IN	of
the	DT	the
school	NN	school
,	,	,
will	MD	will
be	VB	be
conducting	VBG	conduct
the	DT	the
call	NN	call
this	DT	this
evening	NN	evening
,	,	,
adding	VBG	add
:	:	:
"	``	"
This	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
is	VBZ	be
in	IN	in
line	NN	line
with	IN	with
Morehouse	NP	Morehouse
'	POS	'
s	NN	S
mission	NN	mission
and	CC	and
also	RB	also
with	IN	with
this	DT	this
objective	NN	objective
of	IN	of
being	VBG	be
a	DT	a
place	NN	place
that	WDT	that
allows	VBZ	allow
for	IN	for
engagement	NN	engagement
of	IN	of
social	JJ	social
justice	NN	justice
issues	NNS	issue
and	CC	and
moral	JJ	moral
concerns	NNS	concern
.	SENT	.
"	``	"
<p>
Commencement	NN	commencement
season	NN	season
is	VBZ	be
traditionally	RB	traditionally
a	DT	a
time	NN	time
for	IN	for
presidents	NNS	president
to	TO	to
engage	VB	engage
with	IN	with
younger	JJR	young
audiences	NNS	audience
and	CC	and
all	PDT	all
the	DT	the
energy	NN	energy
they	PP	they
bring	VBP	bring
.	SENT	.
But	CC	but
this	DT	this
year	NN	year
,	,	,
with	IN	with
pro-Palestinian	NP	pro-Palestinian
protests	NNS	protest
--	:	--
and	CC	and
protests	NNS	protest
against	IN	against
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
support	NN	support
for	IN	for
Israel	NP	Israel
--	:	--
dominating	JJ	dominating
college	NN	college
campuses	NNS	campus
,	,	,
these	DT	these
speeches	NNS	speech
are	VBP	be
more	RBR	more
fraught	JJ	fraught
.	SENT	.
The	DT	the
White	NP	White
House	NP	House
announced	VBD	announce
this	DT	this
week	NN	week
that	IN	that
Biden	NP	Biden
will	MD	will
be	VB	be
doing	VBG	do
just	RB	just
two	CD	two
commencement	NN	commencement
addresses	VBZ	address
this	DT	this
year	NN	year
,	,	,
at	IN	at
Morehouse	NP	Morehouse
and	CC	and
at	IN	at
the	DT	the
U.S.	NP	U.S.
Military	NP	Military
Academy	NP	Academy
at	IN	at
West	NP	West
Point	NP	Point
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
faculty	NN	faculty
are	VBP	be
"	``	"
wrestling	VBG	wrestle
"	''	"
with	IN	with
whether	IN	whether
--	:	--
or	CC	or
how	WRB	how
--	:	--
to	TO	to
protest	VB	protest
next	JJ	next
month	NN	month
'	POS	'
s	NN	S
commencement	NN	commencement
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
ve	NNS	<unknown>
spoken	VBN	speak
with	IN	with
several	JJ	several
faculty	NN	faculty
members	NNS	member
who	WP	who
say	VBP	say
under	IN	under
no	DT	no
conditions	NNS	condition
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
sit	VB	sit
on	IN	on
a	DT	a
stage	NN	stage
with	IN	with
Joe	NP	Joe
Biden	NP	Biden
,	,	,
"	''	"
Douglas	NP	Douglas
said	VBD	say
,	,	,
adding	VBG	add
:	:	:
"	``	"
It	PP	it
'	POS	'
s	NN	S
on	IN	on
everybody	NN	everybody
'	POS	'
s	NN	S
mind	NN	mind
.	SENT	.
"	''	"
<p>
Douglas	NP	Douglas
,	,	,
a	DT	a
political	JJ	political
science	NN	science
professor	NN	professor
in	IN	in
his	PP$	his
13th	JJ	13th
year	NN	year
at	IN	at
Morehouse	NP	Morehouse
,	,	,
is	VBZ	be
a	DT	a
member	NN	member
of	IN	of
the	DT	the
school	NN	school
'	POS	'
s	JJ	<unknown>
faculty	NN	faculty
council	NN	council
,	,	,
the	DT	the
15-member	JJ	<unknown>
body	NN	body
that	WDT	that
wrote	VBD	write
a	DT	a
letter	NN	letter
to	TO	to
the	DT	the
school	NN	school
'	POS	'
s	NN	S
president	NN	president
last	JJ	last
week	NN	week
expressing	VBG	express
"	``	"
disappointment	NN	disappointment
"	''	"
upon	IN	upon
hearing	VBG	hear
rumors	NNS	rumor
that	IN	that
Biden	NP	Biden
had	VBD	have
been	VBN	be
invited	VBN	invite
to	TO	to
speak	VB	speak
.	SENT	.
<p>
After	IN	after
those	DT	those
concerns	NNS	concern
came	VBD	come
out	RP	out
,	,	,
Morehouse	NP	Morehouse
'	POS	'
