<h>
Heart-wrenching	VBG	heart-wrench
"	''	"
.	SENT	.
He	PP	he
is	VBZ	be
believed	VBN	believe
to	TO	to
have	VB	have
been	VBN	be
a	DT	a
former	JJ	former
marine	NN	marine
and	CC	and
father-of-two	NN	<unknown>
from	IN	from
Dorset	NP	Dorset
.	SENT	.
<h>
Related	VBN	relate
Articles	NPS	Articles
<h>
Read	NP	Read
More	RBR	more
<h>
Related	VBN	relate
Articles	NNS	article
<p>
They	PP	they
said	VBD	say
:	:	:
"	``	"
We	PP	we
are	VBP	be
devastated	VBN	devastate
to	TO	to
have	VB	have
lost	VBN	lose
John	NP	John
,	,	,
who	WP	who
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
people	NNS	people
and	CC	and
was	VBD	be
subject	JJ	subject
to	TO	to
an	DT	an
inhumane	JJ	inhumane
act	NN	act
.	SENT	.
He	PP	he
was	VBD	be
an	DT	an
incredible	JJ	incredible
father	NN	father
,	,	,
husband	NN	husband
,	,	,
son	NN	son
and	CC	and
brother	NN	brother
.	SENT	.
<p>
"	``	"
We	PP	we
request	VBP	request
we	PP	we
be	VB	be
given	VBN	give
space	NN	space
and	CC	and
time	NN	time
to	TO	to
grieve	VB	grieve
appropriately	RB	appropriately
.	SENT	.
He	PP	he
was	VBD	be
loved	VBN	love
by	IN	by
many	JJ	many
and	CC	and
will	MD	will
forever	RB	forever
be	VB	be
a	DT	a
hero	NN	hero
.	SENT	.
He	PP	he
will	MD	will
be	VB	be
missed	VBN	miss
dearly	RB	dearly
.	SENT	.
"	''	"
<p>
Mr	NP	Mr
Kirby	NP	Kirby
'	POS	'
s	NN	S
family	NN	family
described	VBD	describe
him	PP	him
as	IN	as
a	DT	a
"	``	"
genuine	JJ	genuine
gentleman	NN	gentleman
"	''	"
who	WP	who
was	VBD	be
"	``	"
always	RB	always
willing	JJ	willing
to	TO	to
lend	VB	lend
a	DT	a
helping	VBG	help
hand	NN	hand
to	TO	to
anyone	NN	anyone
"	''	"
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
military	JJ	military
veteran	NN	veteran
,	,	,
believed	VBN	believe
to	TO	to
have	VB	have
been	VBN	be
a	DT	a
former	JJ	former
member	NN	member
of	IN	of
Britain	NP	Britain
'	POS	'
s	JJ	<unknown>
special	JJ	special
forces	NNS	force
.	SENT	.
<p>
James	NP	James
Kirby	NP	Kirby
(	(	(
file	NN	file
)	)	)
(	(	(
Image	NN	image
:	:	:
PA	NN	pa
)	)	)
<p>
Speaking	VBG	speak
to	TO	to
the	DT	the
BBC	NP	BBC
,	,	,
they	PP	they
said	VBD	say
:	:	:
"	``	"
Alongside	IN	alongside
the	DT	the
other	JJ	other
six	CD	six
individuals	NNS	individual
who	WP	who
tragically	RB	tragically
lost	VBD	lose
their	PP$	their
lives	NNS	life
,	,	,
he	PP	he
will	MD	will
be	VB	be
remembered	VBN	remember
as	IN	as
a	DT	a
hero	NN	hero
.	SENT	.
James	NP	James
understood	VBD	understand
the	DT	the
dangers	NNS	danger
of	IN	of
venturing	VBG	venture
into	IN	into
Gaza	NP	Gaza
,	,	,
drawing	VBG	draw
from	IN	from
his	PP$	his
experiences	NNS	experience
in	IN	in
the	DT	the
British	JJ	British
armed	JJ	armed
forces	NNS	force
,	,	,
where	WRB	where
he	PP	he
bravely	RB	bravely
served	VBD	serve
tours	NNS	tour
in	IN	in
Bosnia	NP	Bosnia
and	CC	and
Afghanistan	NP	Afghanistan
.	SENT	.
<p>
"	``	"
Despite	IN	despite
the	DT	the
risks	NNS	risk
,	,	,
his	PP$	his
compassionate	JJ	compassionate
nature	NN	nature
drove	VBD	drive
him	PP	him
to	TO	to
offer	VB	offer
assistance	NN	assistance
to	TO	to
those	DT	those
in	IN	in
dire	JJ	dire
need	NN	need
.	SENT	.
James	NP	James
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
never	RB	never
know	VB	know
what	WP	what
a	DT	a
void	NN	void
he	PP	he
has	VBZ	have
left	VBN	leave
,	,	,
our	PP$	our
family	NN	family
will	MD	will
never	RB	never
be	VB	be
the	DT	the
same	JJ	same
.	SENT	.
"	''	"
They	PP	they
added	VBD	add
they	PP	they
are	VBP	be
"	``	"
incredibly	RB	incredibly
proud	JJ	proud
of	IN	of
who	WP	who
James	NP	James
was	VBD	be
and	CC	and
what	WP	what
he	PP	he
achieved	VBN	achieve
"	''	"
.	SENT	.
<p>
The	DT	the
convoy	NN	convoy
was	VBD	be
hit	VBN	hit
as	IN	as
it	PP	it
was	VBD	be
leaving	VBG	leave
the	DT	the
Deir	NP	Deir
al-Balah	NP	<unknown>
warehouse	NN	warehouse
,	,	,
where	WRB	where
the	DT	the
team	NN	team
had	VBD	have
unloaded	VBN	unload
more	JJR	more
than	IN	than
100	CD	@card@
tonnes	NNS	tonne
of	IN	of
humanitarian	JJ	humanitarian
food	NN	food
aid	NN	aid
taken	VBN	take
to	TO	to
Gaza	NP	Gaza
on	IN	on
the	DT	the
maritime	JJ	maritime
route	NN	route
,	,	,
WCK	NP	WCK
said	VBD	say
.	SENT	.
<p>
The	DT	the
attack	NN	attack
has	VBZ	have
drawn	VBN	draw
international	JJ	international
condemnation	NN	condemnation
of	IN	of
what	WP	what
Israel	NP	Israel
called	VBD	call
an	DT	an
"	``	"
unintended	JJ	unintended
strike	NN	strike
"	''	"
,	,	,
with	IN	with
Prime	NP	Prime
Minister	NP	Minister
Rishi	NP	<unknown>
Sunak	NP	<unknown>
telling	VBG	tell
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
he	PP	he
was	VBD	be
appalled	VBN	appall
by	IN	by
the	DT	the
killings	NNS	killing
and	CC	and
demanding	VBG	demand
a	DT	a
transparent	JJ	transparent
independent	JJ	independent
investigation	NN	investigation
.	SENT	.
<p>
Mr	NP	Mr
Netanyahu	NP	<unknown>
said	VBD	say
the	DT	the
attack	NN	attack
was	VBD	be
a	DT	a
mistake	NN	mistake
and	CC	and
"	``	"
tragic	JJ	tragic
"	''	"
,	,	,
promising	VBG	promise
an	DT	an
independent	JJ	independent
investigation	NN	investigation
.	SENT	.
He	PP	he
said	VBD	say
:	:	:
"	``	"
Unfortunately	RB	unfortunately
in	IN	in
the	DT	the
past	JJ	past
day	NN	day
,	,	,
there	EX	there
was	VBD	be
a	DT	a
tragic	JJ	tragic
event	NN	event
in	IN	in
which	WDT	which
our	PP$	our
forces	NNS	force
unintentionally	RB	unintentionally
harmed	VBN	harm
non-combatants	NNS	non-combatant
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
This	DT	this
happens	VBZ	happen
in	IN	in
war	NN	war
.	SENT	.
"	''	"
<p>
For	IN	for
the	DT	the
latest	JJS	late
breaking	NN	breaking
news	NN	news
and	CC	and
stories	NNS	story
from	IN	from
across	IN	across
the	DT	the
globe	NN	globe
from	IN	from
the	DT	the
Daily	NP	Daily
Star	NP	Star
,	,	,
sign	VB	sign
up	RP	up
for	IN	for
our	PP$	our
newsletters	NNS	newsletter
.	SENT	.
<p>
Story	NN	story
Saved	VBD	save
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
the	DT	the
user	NN	user
icon	NN	icon
in	IN	in
the	DT	the
top	JJ	top
right	NN	right
.	SENT	.
