<p>
Seven	CD	seven
workers	NNS	worker
with	IN	with
the	DT	the
World	NP	World
Central	NP	Central
Kitchen	NP	Kitchen
,	,	,
or	CC	or
WCK	NP	WCK
,	,	,
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
attack	NN	attack
,	,	,
which	WDT	which
Israel	NP	Israel
has	VBZ	have
described	VBN	describe
as	IN	as
a	DT	a
"	``	"
terrible	JJ	terrible
"	''	"
mistake	NN	mistake
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
military	NN	military
took	VBD	take
some	DT	some
notable	JJ	notable
steps	NNS	step
in	IN	in
response	NN	response
,	,	,
including	VBG	include
allowing	VBG	allow
more	JJR	more
aid	NN	aid
into	IN	into
Gaza	NP	Gaza
and	CC	and
disciplining	VBG	discipline
officers	NNS	officer
.	SENT	.
<p>
"	``	"
We	PP	we
need	VBP	need
to	TO	to
see	VB	see
change	NN	change
over	IN	over
time	NN	time
,	,	,
"	''	"
Kirby	NP	Kirby
told	VBD	tell
ABC	NP	ABC
News	NP	News
"	``	"
This	DT	this
Week	NN	week
"	``	"
co-anchor	NN	co-anchor
Martha	NP	Martha
Raddatz	NP	Raddatz
.	SENT	.
"	''	"
So	RB	so
,	,	,
these	DT	these
announcements	NNS	announcement
,	,	,
Martha	NP	Martha
,	,	,
they	PP	they
'	POS	'
re	NN	re
very	RB	very
welcomed	VBN	welcome
and	CC	and
they	PP	they
'	POS	'
re	NN	re
good	JJ	good
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
the	DT	the
president	NN	president
asked	VBD	ask
specifically	RB	specifically
for	IN	for
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
to	TO	to
do	VB	do
in	IN	in
terms	NNS	term
of	IN	of
opening	VBG	open
up	RP	up
additional	JJ	additional
crossings	NNS	crossing
,	,	,
allowing	VBG	allow
more	JJR	more
trucks	NNS	truck
in	IN	in
,	,	,
getting	VBG	get
the	DT	the
deconfliction	NN	deconfliction
process	NN	process
in	IN	in
place	NN	place
.	SENT	.
"	''	"
<p>
"	``	"
But	CC	but
now	RB	now
we	PP	we
have	VBP	have
to	TO	to
judge	VB	judge
it	PP	it
over	IN	over
time	NN	time
,	,	,
we	PP	we
have	VBP	have
to	TO	to
see	VB	see
past	IN	past
the	DT	the
announcements	NNS	announcement
and	CC	and
see	VB	see
if	IN	if
they	PP	they
actually	RB	actually
meet	VB	meet
these	DT	these
commitments	NNS	commitment
over	IN	over
time	NN	time
,	,	,
in	IN	in
a	DT	a
sustained	JJ	sustained
and	CC	and
verifiable	JJ	verifiable
way	NN	way
,	,	,
so	RB	so
that	DT	that
confidence	NN	confidence
can	MD	can
be	VB	be
restored	VBN	restore
not	RB	not
just	RB	just
between	IN	between
aid	NN	aid
workers	NNS	worker
and	CC	and
Israel	NP	Israel
'	POS	'
s	NN	S
forces	NNS	force
,	,	,
but	CC	but
between	IN	between
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
,	,	,
"	''	"
Kirby	NP	Kirby
continued	VBD	continue
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
attack	NN	attack
by	IN	by
Hamas	NNS	<unknown>
that	WDT	that
sparked	VBD	spark
the	DT	the
current	JJ	current
war	NN	war
,	,	,
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VBZ	have
grown	VBN	grow
more	RBR	more
vocally	RB	vocally
critical	JJ	critical
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
--	:	--
including	VBG	include
pressing	JJ	pressing
Netanyahu	NP	<unknown>
last	JJ	last
week	NN	week
after	IN	after
the	DT	the
strike	NN	strike
on	IN	on
the	DT	the
WCK	NP	WCK
workers	NNS	worker
.	SENT	.
<p>
Israeli	JJ	Israeli
officials	NNS	official
have	VBP	have
repeatedly	RB	repeatedly
defended	VBN	defend
their	PP$	their
military	JJ	military
operations	NNS	operation
in	IN	in
Gaza	NP	Gaza
,	,	,
insisting	VBG	insist
they	PP	they
take	VB	take
steps	NNS	step
to	TO	to
curb	VB	curb
civilian	JJ	civilian
deaths	NNS	death
while	IN	while
allowing	VBG	allow
aid	NN	aid
to	TO	to
flow	VB	flow
in	IN	in
that	WDT	that
can	MD	can
not	RB	not
benefit	VB	benefit
Hamas	NNS	<unknown>
.	SENT	.
<p>
In	IN	in
a	DT	a
move	NN	move
hailed	VBD	hail
by	IN	by
the	DT	the
White	NP	White
House	NP	House
,	,	,
Netanyahu	NP	<unknown>
last	JJ	last
week	NN	week
allowed	VBN	allow
for	IN	for
more	JJR	more
aid	NN	aid
to	TO	to
flow	VB	flow
into	IN	into
Gaza	NP	Gaza
after	IN	after
a	DT	a
conversation	NN	conversation
with	IN	with
Biden	NP	Biden
in	IN	in
which	WDT	which
the	DT	the
president	NN	president
voiced	VBD	voice
his	PP$	his
outrage	NN	outrage
over	IN	over
civilian	JJ	civilian
deaths	NNS	death
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	''	"
This	DT	this
increased	VBN	increase
aid	NN	aid
will	MD	will
prevent	VB	prevent
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
and	CC	and
is	VBZ	be
necessary	JJ	necessary
to	TO	to
ensure	VB	ensure
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
fighting	NN	fighting
and	CC	and
to	TO	to
achieve	VB	achieve
the	DT	the
goals	NNS	goal
of	IN	of
the	DT	the
war	NN	war
,	,	,
"	''	"
an	DT	an
Israeli	JJ	Israeli
official	NN	official
told	VBD	tell
ABC	NP	ABC
News	NP	News
last	JJ	last
week	NN	week
.	SENT	.
<p>
On	IN	on
Friday	NP	Friday
,	,	,
the	DT	the
Israeli	JJ	Israeli
military	NN	military
released	VBD	release
a	DT	a
report	NN	report
on	IN	on
its	PP$	its
investigation	NN	investigation
into	IN	into
how	WRB	how
the	DT	the
WCK	NP	WCK
strike	NN	strike
occurred	VBD	occur
--	:	--
finding	VBG	find
that	IN	that
the	DT	the
decision	NN	decision
to	TO	to
hit	VB	hit
the	DT	the
aid	NN	aid
convoy	NN	convoy
was	VBD	be
a	DT	a
"	``	"
serious	JJ	serious
violation	NN	violation
"	''	"
of	IN	of
their	PP$	their
rules	NNS	rule
and	CC	and
noting	VBG	note
that	IN	that
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
so	RB	so
,	,	,
twice	RB	twice
violating	VBG	violate
operating	VBG	operate
rules	NNS	rule
.	SENT	.
<p>
In	IN	in
response	NN	response
,	,	,
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NP	Forces
said	VBD	say
they	PP	they
dismissed	VBD	dismiss
two	CD	two
officers	NNS	officer
,	,	,
suspended	VBD	suspend
two	CD	two
commanders	NNS	commander
and	CC	and
reprimanded	VBD	reprimand
three	CD	three
others	NNS	other
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
tragedy	NN	tragedy
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
terrible	JJ	terrible
chain	NN	chain
of	IN	of
errors	NNS	error
,	,	,
and	CC	and
it	PP	it
should	MD	should
never	RB	never
have	VB	have
happened	VBN	happen
.	SENT	.
The	DT	the
IDF	NP	IDF
takes	VBZ	take
full	JJ	full
responsibility	NN	responsibility
for	IN	for
this	DT	this
regrettable	JJ	regrettable
loss	NN	loss
of	IN	of
life	NN	life
