<h>
Some	DT	some
fear	NN	fear
University	NP	University
of	IN	of
Michigan	NP	Michigan
proposed	VBD	propose
policy	NN	policy
on	IN	on
protests	NNS	protest
could	MD	could
quell	VB	quell
free	JJ	free
speech	NN	speech
efforts	NNS	effort
<p>
A	DT	a
University	NP	University
of	IN	of
Michigan	NP	Michigan
proposal	NN	proposal
aimed	VBN	aim
at	IN	at
deterring	VBG	deter
disruptions	NNS	disruption
on	IN	on
its	PP$	its
Ann	NP	Ann
Arbor	NP	Arbor
campus	NN	campus
after	IN	after
anti-Israel	NP	anti-Israel
protesters	NNS	protester
interrupted	VBD	interrupt
an	DT	an
honors	NNS	honors
convocation	NN	convocation
is	VBZ	be
sparking	VBG	spark
backlash	NN	backlash
from	IN	from
free	JJ	free
speech	NN	speech
advocates	NNS	advocate
<p>
Credit	NN	credit
:	:	:
AP	NP	AP
<p>
Credit	NP	Credit
:	:	:
AP	NP	AP
<p>
Demonstrators	NNS	demonstrator
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Michigan	NP	Michigan
Diag	NP	<unknown>
protest	VB	protest
the	DT	the
university	NN	university
'	POS	'
s	NN	S
draft	NN	draft
Disruptive	JJ	disruptive
Activity	NN	activity
Policy	NN	policy
on	IN	on
Thursday	NP	Thursday
,	,	,
April	NP	April
4	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
in	IN	in
Ann	NP	Ann
Arbor	NP	Arbor
.	SENT	.
A	DT	a
University	NP	University
of	IN	of
Michigan	NP	Michigan
proposal	NN	proposal
aimed	VBN	aim
at	IN	at
deterring	VBG	deter
disruptions	NNS	disruption
on	IN	on
its	PP$	its
Ann	NP	Ann
Arbor	NP	Arbor
campus	NN	campus
after	IN	after
anti-Israel	NP	anti-Israel
protesters	NNS	protester
interrupted	VBD	interrupt
an	DT	an
honors	NNS	honors
convocation	NN	convocation
is	VBZ	be
sparking	VBG	spark
backlash	NN	backlash
from	IN	from
free	JJ	free
speech	NN	speech
advocates	NNS	advocate
.	SENT	.
(	(	(
Zena	NP	Zena
Issa/Michigan	NP	Issa/Michigan
Public	NP	Public
Radio	NP	Radio
via	IN	via
AP	NP	AP
)	)	)
<p>
By	IN	by
COREY	NP	Corey
WILLIAMS	NP	Williams
--	:	--
Associated	NP	Associated
Press	NP	Press
<p>
18	CD	@card@
hours	NNS	hour
ago	RB	ago
<p>
A	DT	a
University	NP	University
of	IN	of
Michigan	NP	Michigan
proposal	NN	proposal
aimed	VBN	aim
at	IN	at
deterring	VBG	deter
disruptions	NNS	disruption
on	IN	on
its	PP$	its
Ann	NP	Ann
Arbor	NP	Arbor
campus	NN	campus
after	IN	after
anti-Israel	NP	anti-Israel
protesters	NNS	protester
interrupted	VBD	interrupt
an	DT	an
honors	NNS	honors
convocation	NN	convocation
is	VBZ	be
sparking	VBG	spark
backlash	NN	backlash
from	IN	from
free	JJ	free
speech	NN	speech
advocates	NNS	advocate
.	SENT	.
<p>
Violations	NNS	violation
of	IN	of
the	DT	the
policy	NN	policy
,	,	,
which	WDT	which
has	VBZ	have
yet	RB	yet
to	TO	to
be	VB	be
implemented	VBN	implement
,	,	,
could	MD	could
result	VB	result
in	IN	in
suspension	NN	suspension
or	CC	or
expulsion	NN	expulsion
for	IN	for
students	NNS	student
and	CC	and
termination	NN	termination
for	IN	for
university	NN	university
staff	NN	staff
.	SENT	.
<p>
The	DT	the
March	NP	March
24	CD	@card@
protest	NN	protest
by	IN	by
groups	NNS	group
calling	VBG	call
for	IN	for
the	DT	the
school	NN	school
to	TO	to
divest	VB	divest
from	IN	from
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
