<p>
There	EX	there
is	VBZ	be
a	DT	a
nagging	JJ	nagging
context	NN	context
to	TO	to
this	DT	this
thrillingly	RB	thrillingly
combative	JJ	combative
,	,	,
quintessentially	RB	quintessentially
Jewish	JJ	Jewish
play	NN	play
that	WDT	that
can	MD	can
not	RB	not
,	,	,
or	CC	or
should	MD	should
n't	RB	n't
,	,	,
be	VB	be
ignored	VBN	ignore
.	SENT	.
It	PP	it
is	VBZ	be
that	IN	that
the	DT	the
board	NN	board
of	IN	of
an	DT	an
unnamed	JJ	unnamed
major	JJ	major
London	NP	London
theatre	NN	theatre
turned	VBD	turn
it	PP	it
down	RB	down
even	RB	even
after	IN	after
the	DT	the
venue	NN	venue
'	POS	'
s	JJ	<unknown>
artistic	JJ	artistic
director	NN	director
gave	VBD	give
it	PP	it
the	DT	the
green	JJ	green
light	NN	light
.	SENT	.
Why	WRB	why
?	SENT	?
Reportedly	RB	reportedly
they	PP	they
feared	VBD	fear
protest	NN	protest
about	IN	about
a	DT	a
work	NN	work
that	WDT	that
explores	VBZ	explore
Jewish	JJ	Jewish
attitudes	NNS	attitude
to	TO	to
the	DT	the
war	NN	war
on	IN	on
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
;	:	;
recognises	VBZ	recognise
that	IN	that
the	DT	the
conflict	NN	conflict
was	VBD	be
triggered	VBN	trigger
by	IN	by
the	DT	the
massacre	NN	massacre
on	IN	on
October	NP	October
7	CD	@card@
but	CC	but
also	RB	also
agonises	VBZ	agonise
over	IN	over
the	DT	the
resulting	VBG	result
thousands	NNS	thousand
killed	VBN	kill
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
<p>
Perhaps	RB	perhaps
the	DT	the
decision	NN	decision
is	VBZ	be
less	RBR	less
craven	JJ	craven
than	IN	than
it	PP	it
appears	VBZ	appear
and	CC	and
the	DT	the
board	NN	board
are	VBP	be
simply	RB	simply
unable	JJ	unable
to	TO	to
grasp	VB	grasp
that	IN	that
a	DT	a
play	NN	play
that	WDT	that
does	VBZ	do
all	PDT	all
this	DT	this
while	NN	while
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
tackling	VBG	tackle
the	DT	the
inherited	VBN	inherit
trauma	NN	trauma
of	IN	of
the	DT	the
Holocaust	NN	holocaust
,	,	,
is	VBZ	be
also	RB	also
a	DT	a
really	RB	really
smart	JJ	smart
and	CC	and
funny	JJ	funny
comedy	NN	comedy
.	SENT	.
<p>
More	JJR	more
than	IN	than
one	CD	one
Jewish	JJ	Jewish
playwright	NN	playwright
in	IN	in
this	DT	this
country	NN	country
has	VBZ	have
said	VBN	say
that	DT	that
British	JJ	British
theatre	NN	theatre
often	RB	often
simply	RB	simply
fails	VBZ	fail
to	TO	to
understand	VB	understand
the	DT	the
Jewish	JJ	Jewish
way	NN	way
of	IN	of
forging	VBG	forge
humour	NN	humour
from	IN	from
the	DT	the
most	RBS	most
horrifying	VBG	horrify
of	IN	of
circumstances	NNS	circumstance
.	SENT	.
The	DT	the
result	NN	result
is	VBZ	be
that	IN	that
these	DT	these
dramatists	NNS	dramatist
have	VBP	have
felt	VBN	feel
they	PP	they
must	MD	must
be	VB	be
less	RBR	less
Jewish	JJ	Jewish
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
stages	VBZ	stage
.	SENT	.
<p>
But	CC	but
Nathan	NP	Nathan
Englander	NP	Englander
'	POS	'
s	NN	S
play	NN	play
is	VBZ	be
as	RB	as
Jewish	JJ	Jewish
as	IN	as
they	PP	they
come	VBP	come
.	SENT	.
With	IN	with
the	DT	the
help	NN	help
of	IN	of
director	NN	director
Patrick	NP	Patrick
Marber	NP	<unknown>
the	DT	the
author	NN	author
'	POS	'
s	JJ	<unknown>
own	JJ	own
short	JJ	short
story	NN	story
of	IN	of
2011	CD	@card@
has	VBZ	have
been	VBN	be
repurposed	VBN	repurpose
to	TO	to
reflect	VB	reflect
Jewish	JJ	Jewish
anxieties	NNS	anxiety
since	IN	since
October	NP	October
7	CD	@card@
and	CC	and
also	RB	also
the	DT	the
fissure	NN	fissure
between	IN	between
many	JJ	many
Israeli	JJ	Israeli
and	CC	and
diaspora	NN	Diaspora
Jews	NNS	jew
.	SENT	.
<p>
The	DT	the
play	NN	play
is	VBZ	be
set	VBN	set
in	IN	in
the	DT	the
big	JJ	big
,	,	,
comfortable	JJ	comfortable
Florida	NP	Florida
home	NN	home
of	IN	of
progressive	JJ	progressive
secular	JJ	secular
Jews	NPS	Jews
Phil	NP	Phil
and	CC	and
Debbie	NP	Debbie
(	(	(
Joshua	NP	Joshua
Malina	NP	Malina
and	CC	and
Caroline	NP	Caroline
Catz	NP	<unknown>
)	)	)
who	WP	who
are	VBP	be
hosting	VBG	host
a	DT	a
strangely	RB	strangely
hurried	JJ	hurried
visit	NN	visit
from	IN	from
Debbie	NP	Debbie
'	POS	'
s	NN	S
old	JJ	old
best	JJS	good
friend	NN	friend
Shoshana	NP	Shoshana
(	(	(
Dorothea	NP	Dorothea
Myer-Bennett	NP	Myer-Bennett
)	)	)
who	WP	who
is	VBZ	be
accompanied	VBN	accompany
by	IN	by
her	PP$	her
husband	NN	husband
.	SENT	.
<p>
Shoshana	NP	Shoshana
has	VBZ	have
not	RB	not
been	VBN	be
in	IN	in
contact	NN	contact
with	IN	with
Debbie	NP	Debbie
for	IN	for
20	CD	@card@
years	NNS	year
.	SENT	.
In	IN	in
that	DT	that
time	NN	time
she	PP	she
became	VBD	become
more	JJR	more
religious	JJ	religious
ending	VBG	end
up	RP	up
in	IN	in
a	DT	a
Chassidic	JJ	Chassidic
marriage	NN	marriage
with	IN	with
Yerucham	NP	<unknown>
(	(	(
Simon	NP	Simon
Yadoo	NP	<unknown>
)	)	)
while	IN	while
Debbie	NP	Debbie
became	VBD	become
liberal	JJ	liberal
though	IN	though
,	,	,
in	IN	in
her	PP	her
view	VBP	view
no	DT	no
less	RBR	less
Jewish	JJ	Jewish
,	,	,
ending	VBG	end
up	RP	up
with	IN	with
the	DT	the
proudly	RB	proudly
sceptical	JJ	sceptical
Phil	NP	Phil
.	SENT	.
<p>
Imagine	VB	imagine
a	DT	a
typically	RB	typically
combative	JJ	combative
Jewish	JJ	Jewish
debate	NN	debate
about	IN	about
such	JJ	such
knotty	JJ	knotty
subjects	NNS	subject
as	IN	as
Israel	NP	Israel
;	:	;
the	DT	the
current	JJ	current
conflict	NN	conflict
(	(	(
"	``	"
do	VBP	do
n't	RB	n't
mention	VB	mention
the	DT	the
war	NN	war
,	,	,
"	''	"
Debbie	NP	Debbie
warns	VBZ	warn
her	PP$	her
husband	NN	husband
)	)	)
and	CC	and
what	WP	what
,	,	,
if	IN	if
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Here	RB	here
that	DT	that
heat	NN	heat
is	VBZ	be
supercharged	VBN	supercharge
by	IN	by
two	CD	two
Jewish	JJ	Jewish
couples	NNS	couple
whose	WP$	whose
perspectives	NNS	perspective
on	IN	on
these	DT	these
subjects	NNS	subject
could	MD	could
not	RB	not
be	VB	be
more	RBR	more
contrasting	VBG	contrast
.	SENT	.
Being	VBG	be
American	JJ	American
and	CC	and
Israeli	JJ	Israeli
,	,	,
no	DT	no
opinion	NN	opinion
goes	VBZ	go
unsaid	VBN	unsay
.	SENT	.
Concord	NP	Concord
between	IN	between
the	DT	the
couples	NNS	couple
sometimes	RB	sometimes
emerges	VBZ	emerge
like	IN	like
magic	NN	magic
out	RP	out
of	IN	of
the	DT	the
conflict	NN	conflict
while	IN	while
loyalty	NN	loyalty
between	IN	between
the	DT	the
husbands	NNS	husband
and	CC	and
wives	NNS	wife
is	VBZ	be
often	RB	often
breached	VBN	breach
.	SENT	.
<p>
Among	IN	among
the	DT	the
many	JJ	many
fuses	NNS	fuse
that	WDT	that
ignite	VBP	ignite
this	DT	this
keg	NN	keg
is	VBZ	be
the	DT	the
visitors	NNS	visitor
'	POS	'
view	NN	view
that	IN	that
Jewish	JJ	Jewish
families	NNS	family
such	JJ	such
as	IN	as
their	PP$	their
host	NN	host
are	VBP	be
responsible	JJ	responsible
for	IN	for
a	DT	a
new	JJ	new
Holocaust	NN	holocaust
of	IN	of
Jews	NNS	jew
by	IN	by
only	RB	only
having	VBG	have
the	DT	the
one	CD	one
child	NN	child
--	:	--
in	IN	in
Phil	NP	Phil
and	CC	and
Debbie	NP	Debbie
'	POS	'
s	JJ	<unknown>
case	NN	case
twentysomething	NN	twentysomething
eco-warrior	NN	eco-warrior
Trevor	NP	Trevor
,	,	,
terrifically	RB	terrifically
played	VBN	play
by	IN	by
Gabriel	NP	Gabriel
Howell	NP	Howell
