<p>
Hello	UH	hello
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
you	PP	you
'	POS	'
re	NN	re
using	VBG	use
an	DT	an
ad	NN	ad
blocker	NN	blocker
that	WDT	that
may	MD	may
prevent	VB	prevent
our	PP$	our
website	NN	website
from	IN	from
working	VBG	work
properly	RB	properly
.	SENT	.
To	TO	to
receive	VB	receive
the	DT	the
best	JJS	good
experience	NN	experience
possible	JJ	possible
,	,	,
please	VB	please
make	VB	make
sure	RB	sure
any	DT	any
ad	NN	ad
blockers	NNS	blocker
are	VBP	be
switched	VBN	switch
off	RP	off
,	,	,
or	CC	or
add	VB	add
https	NNS	<unknown>
:	:	:
**25	NN	<unknown>
;	:	;
1101	CD	@card@
;	:	;
TOOLONG	NN	<unknown>
to	TO	to
your	PP$	your
trusted	VBN	trust
sites	NNS	site
,	,	,
and	CC	and
refresh	VB	refresh
the	DT	the
page	NN	page
.	SENT	.
<h>
Amsterdam	NP	Amsterdam
:	:	:
it	PP	it
was	VBD	be
worse	RBR	worse
than	IN	than
football	NN	football
violence	NN	violence
<p>
Police	NN	police
officers	NNS	officer
from	IN	from
the	DT	the
Mobile	NP	Mobile
Unit	NP	Unit
(	(	(
ME	PP	me
)	)	)
secure	VB	secure
during	IN	during
a	DT	a
pro-Palestinian	NP	pro-Palestinian
demonstration	NN	demonstration
on	IN	on
the	DT	the
sideline	NN	sideline
of	IN	of
the	DT	the
UEFA	NP	<unknown>
Europa	NP	Europa
League	NP	League
football	NN	football
match	NN	match
between	IN	between
Ajax	NP	Ajax
Amsterdam	NP	Amsterdam
and	CC	and
Maccabi	NP	<unknown>
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
Photo	NN	photo
:	:	:
JEROEN	NP	Jeroen
JUMELET/ANP/AFP	NP	<unknown>
via	IN	via
Getty	NP	Getty
Images	NNS	image
<p>
The	DT	the
war	NN	war
in	IN	in
the	DT	the
middle	JJ	middle
east	NN	east
,	,	,
of	IN	of
course	NN	course
,	,	,
formed	VBD	form
the	DT	the
background	NN	background
to	TO	to
the	DT	the
violence	NN	violence
in	IN	in
Amsterdam	NP	Amsterdam
,	,	,
before	IN	before
and	CC	and
after	IN	after
the	DT	the
Ajax	NP	Ajax
vs	NP	vs
Maccabi	NP	<unknown>
Tel	NP	Tel
Aviv	NP	Aviv
match	VB	match
(	(	(
result	NN	result
5-0	CD	@card@
)	)	)
.	SENT	.
Ahead	RB	ahead
of	IN	of
the	DT	the
game	NN	game
it	PP	it
had	VBD	have
been	VBN	be
obvious	JJ	obvious
that	IN	that
some	DT	some
people	NNS	people
in	IN	in
the	DT	the
pro-Palestinian	NP	pro-Palestinian
or	CC	or
anti-Israeli	NP	anti-Israeli
camp	NN	camp
(	(	(
take	VB	take
your	PP$	your
pick	NN	pick
)	)	)
were	VBD	be
spoiling	VBG	spoil
for	IN	for
a	DT	a
fight	NN	fight
against	IN	against
what	WP	what
they	PP	they
considered	VBD	consider
basically	RB	basically
to	TO	to
be	VB	be
Nazis	NNS	Nazi
.	SENT	.
<p>
Just	RB	just
a	DT	a
day	NN	day
before	RB	before
,	,	,
a	DT	a
reader	NN	reader
'	POS	'
s	JJ	<unknown>
letter	NN	letter
in	IN	in
Het	VBN	heat
Parool	NP	<unknown>
,	,	,
Amsterdam	NP	Amsterdam
'	POS	'
s	JJ	<unknown>
local	NN	local
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
had	VBD	have
compared	VBN	compare
it	PP	it
to	TO	to
the	DT	the
Sweden	NP	Sweden
--	:	--
Germany	NP	Germany
one	CD	one
in	IN	in
1942	CD	@card@
,	,	,
at	IN	at
a	DT	a
time	NN	time
of	IN	of
the	DT	the
"	``	"
mass	JJ	mass
killing	NN	killing
of	IN	of
Jews	NNS	jew
in	IN	in
the	DT	the
concentration	NN	concentration
camps	NNS	camp
"	''	"
.	SENT	.
<p>
According	VBG	accord
to	TO	to
Dutch	JJ	Dutch
police	NNS	police
,	,	,
rioters	NNS	rioter
"	``	"
actively	RB	actively
looked	VBN	look
for	IN	for
Israeli	JJ	Israeli
supporters	NNS	supporter
to	TO	to
attack	VB	attack
