<h>
Five-year-old	JJ	five-year-old
Sally	NP	Sally
needs	VBZ	need
a	DT	a
titanium	NN	titanium
shield	NN	shield
to	TO	to
cover	VB	cover
a	DT	a
missing	JJ	missing
part	NN	part
of	IN	of
her	PP$	her
skull	NN	skull
,	,	,
which	WDT	which
was	VBD	be
torn	VBN	tear
off	RP	off
by	IN	by
a	DT	a
bomb	NN	bomb
as	IN	as
her	PP$	her
family	NN	family
sought	VBD	seek
refuge	NN	refuge
in	IN	in
Gaza	NP	Gaza
.	SENT	.
A	DT	a
crowd	NN	crowd
gathered	VBN	gather
at	IN	at
O'Hare	NP	<unknown>
to	TO	to
welcome	VB	welcome
her	PP$	her
and	CC	and
her	PP$	her
mother	NN	mother
with	IN	with
flowers	NNS	flower
and	CC	and
balloons	NNS	balloon
.	SENT	.
<p>
Supporters	NNS	supporter
cheer	VBP	cheer
as	IN	as
5-year-old	JJ	5-year-old
Sally	NP	Sally
,	,	,
who	WP	who
suffered	VBD	suffer
a	DT	a
severe	JJ	severe
head	NN	head
injury	NN	injury
in	IN	in
a	DT	a
bombing	NN	bombing
in	IN	in
Gaza	NP	Gaza
,	,	,
arrives	VBZ	arrive
with	IN	with
her	PP$	her
mother	NN	mother
at	IN	at
O'Hare	NP	<unknown>
Airport	NP	Airport
on	IN	on
Tuesday	NP	Tuesday
.	SENT	.
Sally	NP	Sally
is	VBZ	be
the	DT	the
fourth	JJ	fourth
injured	JJ	injured
Palestinian	JJ	Palestinian
child	NN	child
to	TO	to
be	VB	be
treated	VBN	treat
in	IN	in
Chicago	NP	Chicago
through	IN	through
the	DT	the
nonprofit	JJ	nonprofit
Heal	NP	Heal
Palestine	NP	Palestine
,	,	,
the	DT	the
organization	NN	organization
said	VBD	say
.	SENT	.
<p>
In	IN	in
April	NP	April
,	,	,
5-year-old	JJ	5-year-old
Sally	NP	Sally
and	CC	and
her	PP$	her
family	NN	family
were	VBD	be
seeking	VBG	seek
refuge	NN	refuge
under	IN	under
a	DT	a
tent	NN	tent
in	IN	in
Gaza	NP	Gaza
when	WRB	when
a	DT	a
bomb	NN	bomb
went	VBD	go
off	RP	off
.	SENT	.
<p>
Sally	NP	Sally
survived	VBD	survive
,	,	,
but	CC	but
the	DT	the
blast	NN	blast
left	VBD	leave
her	PP	her
with	IN	with
a	DT	a
severe	JJ	severe
head	NN	head
injury	NN	injury
.	SENT	.
Part	NN	part
of	IN	of
her	PP$	her
skull	NN	skull
is	VBZ	be
missing	JJ	missing
and	CC	and
needs	VBZ	need
to	TO	to
be	VB	be
covered	VBN	cover
with	IN	with
a	DT	a
titanium	NN	titanium
shield	NN	shield
to	TO	to
protect	VB	protect
her	PP$	her
vulnerable	JJ	vulnerable
brain	NN	brain
.	SENT	.
<p>
On	IN	on
Tuesday	NP	Tuesday
,	,	,
Sally	NP	Sally
and	CC	and
her	PP$	her
mother	NN	mother
touched	VBD	touch
down	RP	down
at	IN	at
O'Hare	NP	<unknown>
Airport	NP	Airport
so	IN	so
the	DT	the
5-year-old	JJ	5-year-old
can	MD	can
receive	VB	receive
that	DT	that
critical	JJ	critical
treatment	NN	treatment
.	SENT	.
<p>
Sally	NP	Sally
and	CC	and
her	PP$	her
mother	NN	mother
will	MD	will
be	VB	be
staying	VBG	stay
with	IN	with
Dalal	NP	Dalal
Yassin	NP	Yassin
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
in	IN	in
the	DT	the
Chicago	NP	Chicago
area	NN	area
.	SENT	.
<p>
"	``	"
We	PP	we
'	POS	'
re	NN	re
very	RB	very
excited	VBN	excite
,	,	,
"	''	"
Yassin	NP	Yassin
said	VBD	say
of	IN	of
hosting	VBG	host
Sally	NP	Sally
and	CC	and
her	PP$	her
mother	NN	mother
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
least	JJS	least
we	PP	we
can	MD	can
do	VB	do
,	,	,
we	PP	we
feel	VBP	feel
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
very	RB	very
blessed	VBN	bless
to	TO	to
have	VB	have
this	DT	this
opportunity	NN	opportunity
.	SENT	.
"	''	"
<p>
Sally	NP	Sally
will	MD	will
undergo	VB	undergo
surgery	NN	surgery
for	IN	for
her	PP$	her
head	NN	head
injury	NN	injury
at	IN	at
Christ	NP	Christ
Medical	NP	Medical
Center	NP	Center
in	IN	in
Oak	NP	Oak
Lawn	NP	Lawn
,	,	,
where	WRB	where
neurosurgeons	NNS	neurosurgeon
will	MD	will
plate	VB	plate
a	DT	a
titanium	NN	titanium
shield	NN	shield
over	IN	over
her	PP$	her
skull	NN	skull
to	TO	to
protect	VB	protect
her	PP$	her
brain	NN	brain
.	SENT	.
<p>
Ashlee	NP	Ashlee
Rezin/Sun-Times	NP	Rezin/Sun-Times
<p>
Yassin	NP	Yassin
,	,	,
her	PP$	her
husband	NN	husband
and	CC	and
their	PP$	their
three	CD	three
children	NNS	child
were	VBD	be
joined	VBN	join
by	IN	by
about	RB	about
two	CD	two
dozen	NN	dozen
supporters	NNS	supporter
who	WP	who
greeted	VBD	greet
Sally	NP	Sally
and	CC	and
her	PP$	her
mother	NN	mother
as	IN	as
they	PP	they
emerged	VBD	emerge
from	IN	from
the	DT	the
customs	NNS	custom
section	NN	section
at	IN	at
Terminal	JJ	terminal
5	CD	@card@
.	SENT	.
Sally	NP	Sally
was	VBD	be
showered	VBN	shower
with	IN	with
pink	JJ	pink
flower	NN	flower
petals	NNS	petal
.	SENT	.
Some	DT	some
greeters	NNS	greeter
held	VBD	hold
pink	JJ	pink
balloons	NNS	balloon
,	,	,
others	NNS	other
carried	VBD	carry
signs	NNS	sign
that	WDT	that
read	VBP	read
"	``	"
welcome	JJ	welcome
to	TO	to
Chicago	NP	Chicago
.	SENT	.
"	``	"
<p>
Among	IN	among
those	DT	those
in	IN	in
the	DT	the
welcome	JJ	welcome
party	NN	party
were	VBD	be
two	CD	two
children	NNS	child
who	WP	who
can	MD	can
relate	VB	relate
to	TO	to
Sally	NP	Sally
'	POS	'
s	JJ	<unknown>
difficult	JJ	difficult
journey	NN	journey
.	SENT	.
<p>
Khaleel	NP	Khaleel
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
13	CD	@card@
,	,	,
and	CC	and
Baraa	NP	<unknown>
Hadi	NP	Hadi
Abu	NP	Abu
Alroos	NP	<unknown>
,	,	,
7	CD	@card@
,	,	,
who	WP	who
both	DT	both
survived	VBN	survive
bombings	NNS	bombing
in	IN	in
Gaza	NP	Gaza
and	CC	and
arrived	VBN	arrive
in	IN	in
Chicago	NP	Chicago
for	IN	for
treatment	NN	treatment
earlier	RBR	earlier
this	DT	this
year	NN	year
,	,	,
were	VBD	be
there	RB	there
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
is	VBZ	be
the	DT	the
fourth	JJ	fourth
Palestinian	JJ	Palestinian
child	NN	child
brought	VBN	bring
to	TO	to
Chicago	NP	Chicago
from	IN	from
Gaza	NP	Gaza
for	IN	for
medical	JJ	medical
care	NN	care
by	IN	by
the	DT	the
national	JJ	national
nonprofit	JJ	nonprofit
Heal	NP	Heal
Palestine	NP	Palestine
.	SENT	.
<p>
Steve	NP	Steve
Sosabee	NP	<unknown>
,	,	,
Heal	NP	Heal
Palestine	NP	Palestine
'	POS	'
s	NN	S
director	NN	director
,	,	,
said	VBD	say
the	DT	the
local	JJ	local
community	NN	community
has	VBZ	have
been	VBN	be
very	RB	very
supportive	JJ	supportive
and	CC	and
has	VBZ	have
welcomed	VBN	welcome
the	DT	the
children	NNS	child
as	RB	as
if	IN	if
they	PP	they
were	VBD	be
their	PP$	their
own	JJ	own
.	SENT	.
<p>
Dalal	NP	Dalal
Yassin	NP	Yassin
,	,	,
left	VBN	leave
,	,	,
greets	VBZ	greet
Sally	NP	Sally
.	SENT	.
Yassin	NP	Yassin
'	POS	'
s	NN	S
family	NN	family
will	MD	will
host	VB	host
Sally	NP	Sally
and	CC	and
her	PP$	her
mother	NN	mother
during	IN	during
their	PP$	their
stay	NN	stay
in	IN	in
the	DT	the
Chicago	NP	Chicago
area	NN	area
.	SENT	.
<p>
Ashlee	NP	Ashlee
Rezin/Sun-Times	NP	Rezin/Sun-Times
<p>
"	``	"
They	PP	they
are	VBP	be
all	RB	all
staying	VBG	stay
with	IN	with
local	JJ	local
families	NNS	family
who	WP	who
are	VBP	be
housing	VBG	house
them	PP	them
and	CC	and
taking	VBG	take
care	NN	care
of	IN	of
all	PDT	all
their	PP$	their
needs	NNS	need
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
just	RB	just
amazing	JJ	amazing
how	WRB	how
people	NNS	people
come	VBP	come
forward	JJ	forward
and	CC	and
are	VBP	be
treating	VBG	treat
them	PP	them
like	IN	like
their	PP$	their
own	JJ	own
kids	NNS	kid
,	,	,
"	''	"
Sosabee	NP	<unknown>
said	VBD	say
.	SENT	.
"	``	"
We	PP	we
'	POS	'
re	NN	re
so	RB	so
blessed	VBN	bless
to	TO	to
have	VB	have
this	DT	this
community	NN	community
.	SENT	.
"	''	"
<p>
Sally	NP	Sally
will	MD	will
be	VB	be
treated	VBN	treat
by	IN	by
neurosurgeons	NNS	neurosurgeon
at	IN	at
Christ	NP	Christ
Medical	NP	Medical
Center	NP	Center
in	IN	in
Oak	NP	Oak
Lawn	NP	Lawn
,	,	,
Sosabee	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
At	IN	at
least	JJS	least
20	CD	@card@
children	NNS	child
from	IN	from
Gaza	NP	Gaza
have	VBP	have
been	VBN	be
brought	VBN	bring
to	TO	to
the	DT	the
U.S.	NP	U.S.
for	IN	for
free	JJ	free
medical	JJ	medical
treatment	NN	treatment
since	IN	since
January	NP	January
,	,	,
he	PP	he
said	VBD	say
.	SENT	.
<p>
Yassin	NP	Yassin
,	,	,
32	CD	@card@
,	,	,
said	VBD	say
one	CD	one
of	IN	of
her	PP$	her
boys	NNS	boy
is	VBZ	be
about	RB	about
Sally	NP	Sally
'	POS	'
s	NN	S
age	NN	age
,	,	,
and	CC	and
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Yassin	NP	Yassin
,	,	,
who	WP	who
is	VBZ	be
Palestinian	JJ	Palestinian
,	,	,
said	VBD	say
that	IN	that
hosting	VBG	host
the	DT	the
family	NN	family
was	VBD	be
one	CD	one
way	NN	way
she	PP	she
could	MD	could
help	VB	help
her	PP$	her
community	NN	community
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
We	PP	we
feel	VBP	feel
like	IN	like
this	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
way	NN	way
we	PP	we
can	MD	can
give	VB	give
back	RB	back
to	TO	to
a	DT	a
situation	NN	situation
like	IN	like
this	DT	this
,	,	,
"	''	"
Yassin	NP	Yassin
said	VBD	say
.	SENT	.
"	''	"
Seeing	VBG	see
my	PP$	my
brothers	NNS	brother
and	CC	and
sisters	NNS	sister
being	JJ	being
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
a	DT	a
genocide	NN	genocide
is	VBZ	be
truly	RB	truly
heartbreaking	JJ	heartbreaking
while	IN	while
the	DT	the
whole	JJ	whole
world	NN	world
watches	NNS	watch
.	SENT	.
"	''	"
<p>
Khaleel	NP	Khaleel
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
who	WP	who
