<p>
Amid	IN	amid
the	DT	the
escalating	VBG	escalate
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
,	,	,
the	DT	the
Christian	NP	Christian
Association	NP	Association
of	IN	of
Nigeria	NP	Nigeria
,	,	,
CAN	MD	can
,	,	,
had	VBD	have
urged	VBN	urge
Nigerians	NNS	Nigerian
not	RB	not
to	TO	to
allow	VB	allow
the	DT	the
overseas	JJ	overseas
hostility	NN	hostility
to	TO	to
deepen	VB	deepen
divisions	NNS	division
or	CC	or
inflame	VB	inflame
religious	JJ	religious
tensions	NNS	tension
within	IN	within
the	DT	the
country	NN	country
.	SENT	.
<p>
But	CC	but
disregarding	VBG	disregard
the	DT	the
Christian	JJ	Christian
body	NN	body
'	POS	'
s	NN	S
warnings	NNS	warning
,	,	,
the	DT	the
General	NP	General
Overseer	NN	overseer
of	IN	of
the	DT	the
Redeemed	VBN	redeem
Christian	NP	Christian
Church	NP	Church
of	IN	of
God	NP	God
,	,	,
RCCG	NP	<unknown>
,	,	,
Enoch	NP	Enoch
Adeboye	NP	<unknown>
has	VBZ	have
publicly	RB	publicly
declared	VBN	declare
support	NN	support
for	IN	for
Israel	NP	Israel
saying	VBG	say
that	IN	that
all	DT	all
members	NNS	member
of	IN	of
RCCG	NP	<unknown>
worldwide	JJ	worldwide
stand	NN	stand
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
at	IN	at
this	DT	this
critical	JJ	critical
moment	NN	moment
.	SENT	.
<p>
Reacting	VBG	react
to	TO	to
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
Adeboye	NP	<unknown>
said	VBD	say
all	DT	all
members	NNS	member
of	IN	of
the	DT	the
RCCG	NP	<unknown>
worldwide	JJ	worldwide
stand	NN	stand
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
.	SENT	.
<p>
Adeboye	NN	<unknown>
who	WP	who
stated	VBD	state
this	DT	this
in	IN	in
a	DT	a
video	JJ	video
clip	NN	clip
posted	VBD	post
on	IN	on
his	PP$	his
verified	VBN	verify
X	NN	X
handle	NN	handle
yesterday	NN	yesterday
,	,	,
noted	VBD	note
that	IN	that
his	PP$	his
prayers	NNS	prayer
are	VBP	be
with	IN	with
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
.	SENT	.
<p>
He	PP	he
said	VBD	say
:	:	:
"	``	"
Hello	UH	hello
my	PP$	my
beloved	JJ	beloved
brothers	NNS	brother
in	IN	in
Israel	NP	Israel
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
know	VB	know
that	IN	that
we	PP	we
are	VBP	be
praying	VBG	pray
for	IN	for
you	PP	you
,	,	,
that	IN	that
all	DT	all
members	NNS	member
of	IN	of
the	DT	the
Redeemed	VBN	redeem
Christian	NP	Christian
Church	NP	Church
of	IN	of
God	NP	God
all	DT	all
over	IN	over
the	DT	the
world	NN	world
are	VBP	be
standing	VBG	stand
by	IN	by
you	PP	you
at	IN	at
this	DT	this
critical	JJ	critical
moment	NN	moment
.	SENT	.
<p>
"	``	"
The	DT	the
almighty	JJ	almighty
God	NP	God
,	,	,
the	DT	the
only	JJ	only
one	CD	one
of	IN	of
Israel	NP	Israel
,	,	,
will	MD	will
give	VB	give
you	PP	you
absolute	JJ	absolute
victory	NN	victory
and	CC	and
give	VB	give
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
Jesus	NP	Jesus
.	SENT	.
It	PP	it
is	VBZ	be
my	PP$	my
prayer	NN	prayer
for	IN	for
all	PDT	all
our	PP$	our
brethren	NNS	brethren
in	IN	in
Israel	NP	Israel
that	IN	that
the	DT	the
Almighty	JJ	almighty
will	MD	will
grant	VB	grant
you	PP	you
absolute	JJ	absolute
peace	NN	peace
from	IN	from
now	RB	now
on	IN	on
in	IN	in
Jesus	NP	Jesus
name	NN	name
.	SENT	.
"	''	"
<p>
The	DT	the
president	NN	president
of	IN	of
CAN	NN	can
,	,	,
Archbishop	NN	archbishop
Daniel	NP	Daniel
Okoh	NP	<unknown>
had	VBD	have
emphasized	VBN	emphasize
the	DT	the
need	NN	need
for	IN	for
understanding	NN	understanding
,	,	,
compassion	NN	compassion
,	,	,
and	CC	and
peaceful	JJ	peaceful
coexistence	NN	coexistence
among	IN	among
diverse	JJ	diverse
religious	JJ	religious
groups	NNS	group
in	IN	in
Nigeria	NP	Nigeria
.	SENT	.
<p>
He	PP	he
said	VBD	say
:	:	:
"	``	"
This	DT	this
conflict	NN	conflict
holds	VBZ	hold
significant	JJ	significant
implications	NNS	implication
for	IN	for
Nigeria	NP	Nigeria
'	POS	'
s	JJ	<unknown>
faith	NN	faith
communities	NNS	community
.	SENT	.
We	PP	we
must	MD	must
resist	VB	resist
the	DT	the
temptation	NN	temptation
to	TO	to
allow	VB	allow
this	DT	this
conflict	NN	conflict
to	TO	to
deepen	VB	deepen
divisions	NNS	division
or	CC	or
inflame	VB	inflame
religious	JJ	religious
tensions	NNS	tension
within	IN	within
our	PP$	our
nation	NN	nation
.	SENT	.
"	''	"
<p>
Okoh	NP	<unknown>
also	RB	also
expressed	VBD	express
deep	JJ	deep
concern	NN	concern
about	IN	about
the	DT	the
ongoing	JJ	ongoing
conflict	NN	conflict
,	,	,
which	WDT	which
he	PP	he
said	VBD	say
has	VBZ	have
resulted	VBN	result
in	IN	in
the	DT	the
loss	NN	loss
of	IN	of
countless	JJ	countless
lives	NNS	life
and	CC	and
the	DT	the
destruction	NN	destruction
of	IN	of
infrastructure	NN	infrastructure
,	,	,
thereby	RB	thereby
exacerbating	VBG	exacerbate
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
the	DT	the
region	NN	region
.	SENT	.
<p>
The	DT	the
Christian	JJ	Christian
body	NN	body
firmly	RB	firmly
condemned	VBD	condemn
any	DT	any
act	NN	act
of	IN	of
violence	NN	violence
that	WDT	that
threatens	VBZ	threaten
the	DT	the
lives	NNS	life
of	IN	of
innocent	JJ	innocent
individuals	NNS	individual
,	,	,
regardless	RB	regardless
of	IN	of
nationality	NN	nationality
or	CC	or
religious	JJ	religious
background	NN	background
.	SENT	.
<p>
"	''	"
While	IN	while
recognizing	VBG	recognize
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
right	NN	right
to	TO	to
self-defense	NN	self-defense
,	,	,
we	PP	we
emphasize	VBP	emphasize
the	DT	the
importance	NN	importance
of	IN	of
proportionality	NN	proportionality
and	CC	and
the	DT	the
