<h>
Why	WRB	why
Israel	NP	Israel
Is	VBZ	be
Unstoppable	JJ	unstoppable
<p>
The	DT	the
US	NP	US
Fifth	NP	Fifth
Fleet	NP	Fleet
patrols	VBZ	patrol
the	DT	the
waters	NNS	water
of	IN	of
the	DT	the
Arabian	NP	Arabian
Gulf	NP	Gulf
,	,	,
Red	NP	Red
Sea	NP	Sea
,	,	,
Gulf	NP	Gulf
of	IN	of
Oman	NP	Oman
and	CC	and
parts	NNS	part
of	IN	of
the	DT	the
western	JJ	western
Indian	NP	Indian
Ocean	NP	Ocean
and	CC	and
now	RB	now
the	DT	the
US	NP	US
has	VBZ	have
roped	VBN	rope
in	IN	in
Japan	NP	Japan
,	,	,
Australia	NP	Australia
and	CC	and
India	NP	India
in	IN	in
QUAD	NN	quad
to	TO	to
counter	VB	counter
the	DT	the
threat	NN	threat
of	IN	of
China	NP	China
in	IN	in
every	DT	every
way	NN	way
.	SENT	.
Israel	NP	Israel
is	VBZ	be
emboldened	VBN	embolden
by	IN	by
unconditional	JJ	unconditional
Indian	NP	Indian
,	,	,
US	NP	US
and	CC	and
Western	NP	Western
state	NN	state
support	NN	support
and	CC	and
feeble	JJ	feeble
Arab	JJ	Arab
condemnations	NNS	condemnation
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
end	NN	end
game	NN	game
is	VBZ	be
to	TO	to
drive	VB	drive
out	RP	out
Palestinians	NNS	Palestinian
from	IN	from
Gaza	NP	Gaza
,	,	,
into	IN	into
Egypt	NP	Egypt
.	SENT	.
Egypt	NP	Egypt
spends	VBZ	spend
half	PDT	half
its	PP$	its
budget	NN	budget
on	IN	on
interest	NN	interest
payments	NNS	payment
and	CC	and
is	VBZ	be
reliant	JJ	reliant
on	IN	on
loans	NNS	loan
from	IN	from
the	DT	the
IMF	NP	IMF
and	CC	and
wealthy	JJ	wealthy
Arab	JJ	Arab
states	NNS	state
.	SENT	.
Egypt	NP	Egypt
'	POS	'
s	JJ	<unknown>
weak	JJ	weak
economy	NN	economy
is	VBZ	be
close	JJ	close
to	TO	to
default	VB	default
.	SENT	.
<p>
According	VBG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Ynet	NP	<unknown>
website	NN	website
Israel	NP	Israel
proposed	VBD	propose
writing	VBG	write
off	RP	off
a	DT	a
significant	JJ	significant
chunk	NN	chunk
of	IN	of
Egypt	NP	Egypt
'	POS	'
s	JJ	<unknown>
international	JJ	international
debts	NNS	debt
through	IN	through
the	DT	the
World	NP	World
Bank	NP	Bank
in	IN	in
exchange	NN	exchange
for	IN	for
taking	VBG	take
in	IN	in
the	DT	the
Palestinians	NPS	Palestinians
of	IN	of
Gaza	NP	Gaza
.	SENT	.
Debt	NN	debt
write-offs	NNS	write-off
were	VBD	be
previously	RB	previously
done	VBN	do
in	IN	in
1991	CD	@card@
to	TO	to
enlist	VB	enlist
Egypt	NP	Egypt
in	IN	in
an	DT	an
anti-Iraq	NP	anti-Iraq
coalition	NN	coalition
.	SENT	.
However	RB	however
,	,	,
Egypt	NP	Egypt
is	VBZ	be
not	RB	not
prepared	VBN	prepare
to	TO	to
accommodate	VB	accommodate
2.5	CD	@card@
million	CD	million
Gaza	NP	Gaza
residents	NNS	resident
.	SENT	.
Israel	NP	Israel
with	IN	with
IMEC	NP	<unknown>
also	RB	also
poses	VBZ	pose
a	DT	a
risk	NN	risk
to	TO	to
its	PP$	its
Suez	NP	Suez
Canal	NP	Canal
revenues	NNS	revenue
,	,	,
crucial	JJ	crucial
for	IN	for
its	PP$	its
economy	NN	economy
.	SENT	.
<p>
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
up	RB	up
becoming	VBG	become
tacit	JJ	tacit
supporters	NNS	supporter
of	IN	of
Israel	NP	Israel
at	IN	at
best	JJS	good
or	CC	or
accomplices	NNS	accomplice
at	IN	at
worst	JJS	bad
with	IN	with
their	PP$	their
actions	NNS	action
.	SENT	.
<p>
The	DT	the
Israel-Egypt	JJ	<unknown>
reconciliation	NN	reconciliation
achieved	VBN	achieve
by	IN	by
Israeli	NP	Israeli
PM	NP	PM
Begin	NP	Begin
and	CC	and
the	DT	the
Egyptian	JJ	Egyptian
President	NP	President
Sadaat	NP	<unknown>
in	IN	in
1979	CD	@card@
,	,	,
is	VBZ	be
now	RB	now
getting	VBG	get
strained	VBN	strain
.	SENT	.
Israeli	JJ	Israeli
economy	NN	economy
is	VBZ	be
USD	JJ	<unknown>
500	CD	@card@
billion	NNS	billion
strong	JJ	strong
.	SENT	.
Although	IN	although
it	PP	it
relies	VBZ	rely
on	IN	on
cutting-edge	NN	cutting-edge
US	NP	US
military	JJ	military
hardware	NN	hardware
and	CC	and
financial	JJ	financial
aid	NN	aid
,	,	,
Israel	NP	Israel
is	VBZ	be
a	DT	a
superior	JJ	superior
surveillance	NN	surveillance
software	NN	software
and	CC	and
weapons	NNS	weapon
supplier	NN	supplier
in	IN	in
its	PP$	its
own	JJ	own
right	NN	right
,	,	,
for	IN	for
nations	NNS	nation
across	IN	across
the	DT	the
globe	NN	globe
.	SENT	.
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
industrial	JJ	industrial
complex	NN	complex
uses	VBZ	use
Palestinian	JJ	Palestinian
territories	NNS	territory
as	IN	as
a	DT	a
testing	NN	testing
ground	NN	ground
for	IN	for
weaponry	NN	weaponry
and	CC	and
surveillance	NN	surveillance
technology	NN	technology
.	SENT	.
Israel	NP	Israel
uses	VBZ	use
the	DT	the
sales	NNS	sale
pitch	NN	pitch
of	IN	of
being	VBG	be
battle	NN	battle
tested	VBN	test
by	IN	by
showing	VBG	show
footage	NN	footage
of	IN	of
use	NN	use
in	IN	in
Palestinian	JJ	Palestinian
territory	NN	territory
on	IN	on
civilian	JJ	civilian
targets	NNS	target
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
a	DT	a
long	JJ	long
history	NN	history
of	IN	of
selling	VBG	sell
weapons	NNS	weapon
to	TO	to
despots	NNS	despot
in	IN	in
Romania	NP	Romania
,	,	,
Chile	NP	Chile
,	,	,
Nicaragua	NP	Nicaragua
,	,	,
Guatemala	NP	Guatemala
,	,	,
South	NP	South
Africa	NP	Africa
South	NP	South
Sudan	NP	Sudan
etc	NN	etc
.	SENT	.
From	IN	from
Rwanda	NP	Rwanda
to	TO	to
Bangladesh	NP	Bangladesh
,	,	,
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
the	DT	the
UAE	NP	UAE
and	CC	and
India	NP	India
,	,	,
Israeli	JJ	Israeli
spyware	NN	<unknown>
and	CC	and
surveillance	NN	surveillance
technology	NN	technology
is	VBZ	be
the	DT	the
best	JJS	good
in	IN	in
the	DT	the
world	NN	world
and	CC	and
used	VBN	use
by	IN	by
countless	JJ	countless
democracies	NNS	democracy
and	CC	and
dictatorships	NNS	dictatorship
alike	RB	alike
.	SENT	.
<p>
In	IN	in
recent	JJ	recent
history	NN	history
,	,	,
Israeli	JJ	Israeli
weapons	NNS	weapon
enabled	VBD	enable
the	DT	the
Myanmar	NP	Myanmar
army	NN	army
to	TO	to
murder	VB	murder
thousands	NNS	thousand
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
as	IN	as
they	PP	they
do	VBP	do
over	IN	over
Palestine	NP	Palestine
.	SENT	.
Tanvi	NP	Tanvi
Madan	NP	Madan
,	,	,
the	DT	the
director	NN	director
of	IN	of
the	DT	the
India	NP	India
Project	NP	Project
at	IN	at
the	DT	the
Brookings	NP	Brookings
Institution	NP	Institution
said	VBD	say
that	IN	that
Indian	JJ	Indian
elites	NNS	elite
have	VBP	have
organisational	JJ	organisational
envy	NN	envy
of	IN	of
Israel	NP	Israel
since	IN	since
India	NP	India
can	MD	can
not	RB	not
retaliate	VB	retaliate
against	IN	against
Pakistan	NP	Pakistan
similar	JJ	similar
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
treatment	NN	treatment
of	IN	of
Palestinians	NPS	Palestinians
,	,	,
due	JJ	due
to	TO	to
Pakistan	NP	Pakistan
'	POS	'
s	JJ	<unknown>
nuclear	JJ	nuclear
capability	NN	capability
.	SENT	.
Israeli	JJ	Israeli
drones	NNS	drone
are	VBP	be
used	VBN	use
by	IN	by
the	DT	the
European	NP	European
Union	NP	Union
to	TO	to
monitor	VB	monitor
refugee	NN	refugee
boats	NNS	boat
in	IN	in
the	DT	the
Mediterranean	NP	Mediterranean
,	,	,
which	WDT	which
are	VBP	be
drowned	VBN	drown
.	SENT	.
A	DT	a
recent	JJ	recent
tragedy	NN	tragedy
of	IN	of
over	IN	over
two	CD	two
hundred	CD	hundred
Pakistanis	NNS	Pakistani
drowning	VBG	drown
off	RP	off
the	DT	the
shores	NNS	shore
of	IN	of
Greece	NP	Greece
is	VBZ	be
one	CD	one
such	JJ	such
example	NN	example
.	SENT	.
The	DT	the
countries	NNS	country
that	WDT	that
buy	VBP	buy
Israeli	JJ	Israeli
military	JJ	military
hardware	NN	hardware
and	CC	and
surveillance	NN	surveillance
technology	NN	technology
end	NN	end
up	IN	up
becoming	VBG	become
tacit	JJ	tacit
supporters	NNS	supporter
of	IN	of
Israel	NP	Israel
at	IN	at
best	JJS	good
or	CC	or
