<h>
US	PP	us
immigration	NN	immigration
authorities	NNS	authority
detain	VBP	detain
the	DT	the
family	NN	family
of	IN	of
the	DT	the
man	NN	man
charged	VBN	charge
in	IN	in
the	DT	the
Boulder	NP	Boulder
,	,	,
Colorado	NP	Colorado
,	,	,
attack	NN	attack
<p>
BOULDER	NN	boulder
,	,	,
Colo	NP	Colo
.	SENT	.
(	(	(
AP	NP	AP
)	)	)
--	:	--
The	DT	the
wife	NN	wife
and	CC	and
five	CD	five
children	NNS	child
of	IN	of
the	DT	the
man	NN	man
accused	VBN	accuse
of	IN	of
throwing	VBG	throw
Molotov	NP	Molotov
cocktails	NNS	cocktail
at	IN	at
demonstrators	NNS	demonstrator
in	IN	in
Boulder	NP	Boulder
are	VBP	be
being	VBG	be
taken	VBN	take
into	IN	into
custody	NN	custody
by	IN	by
federal	JJ	federal
immigration	NN	immigration
authorities	NNS	authority
,	,	,
U.S.	NP	U.S.
Secretary	NP	Secretary
of	IN	of
Homeland	NN	homeland
Security	NP	Security
Kristi	NP	Kristi
Noem	NP	<unknown>
said	VBD	say
Tuesday	NP	Tuesday
.	SENT	.
<p>
Federal	JJ	Federal
officials	NNS	official
also	RB	also
are	VBP	be
investigating	VBG	investigate
whether	IN	whether
Mohamed	NP	Mohamed
Sabry	NP	Sabry
Soliman	NP	Soliman
'	POS	'
s	NN	S
family	NN	family
knew	VBD	know
about	IN	about
his	PP$	his
plan	NN	plan
,	,	,
Noem	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
post	NN	post
on	IN	on
X.	NP	X.
<p>
Soliman	NP	Soliman
,	,	,
who	WP	who
federal	JJ	federal
officials	NNS	official
say	VBP	say
is	VBZ	be
an	DT	an
Egyptian	JJ	Egyptian
national	JJ	national
who	WP	who
is	VBZ	be
in	IN	in
the	DT	the
U.S.	NP	U.S.
illegally	RB	illegally
,	,	,
is	VBZ	be
accused	VBN	accuse
of	IN	of
hurling	VBG	hurl
the	DT	the
incendiary	JJ	incendiary
devices	NNS	device
at	IN	at
