<p>
Two-time	VB	two-time
World	NP	World
Series	NP	Series
winner	NN	winner
Kevin	NP	Kevin
Youkilis	NP	Youkilis
has	VBZ	have
called	VBN	call
out	IN	out
congresswoman	NN	congresswoman
Alexandria	NP	Alexandria
Ocasio-Cortez	NP	Ocasio-Cortez
for	IN	for
'	POS	'
virtue	NN	virtue
signaling	VBG	signal
'	''	'
after	IN	after
the	DT	the
New	NP	New
York	NP	York
Democrat	NP	Democrat
condemned	VBD	condemn
Sunday	NP	Sunday
'	POS	'
s	JJ	<unknown>
antisemitic	JJ	antisemitic
hate	NN	hate
crime	NN	crime
in	IN	in
Colorado	NP	Colorado
.	SENT	.
<p>
A	DT	a
dozen	NN	dozen
people	NNS	people
were	VBD	be
injured	VBN	injure
in	IN	in
a	DT	a
fiery	JJ	fiery
attack	NN	attack
in	IN	in
Boulder	NP	Boulder
,	,	,
where	WRB	where
suspect	VBP	suspect
Mohamed	NP	Mohamed
Sabry	NP	Sabry
Soliman	NP	Soliman
has	VBZ	have
since	RB	since
told	VBN	tell
police	NNS	police
he	PP	he
tried	VBD	try
to	TO	to
kill	VB	kill
demonstrators	NNS	demonstrator
demanding	VBG	demand
the	DT	the
release	NN	release
of	IN	of
Hamas	NP	<unknown>
'	POS	'
Israeli	JJ	Israeli
hostages	NNS	hostage
,	,	,
according	VBG	accord
to	TO	to
an	DT	an
FBI	NP	FBI
affidavit	NN	affidavit
.	SENT	.
The	DT	the
Bureau	NP	Bureau
is	VBZ	be
treating	VBG	treat
the	DT	the
the	DT	the
incident	NN	incident
as	IN	as
a	DT	a
hate	NN	hate
crime	NN	crime
.	SENT	.
<p>
Ocasio-Cortez	NP	Ocasio-Cortez
described	VBD	describe
the	DT	the
attack	NN	attack
as	RB	as
'	POS	'
horrific	JJ	horrific
'	''	'
and	CC	and
wrote	VBD	write
on	IN	on
X	NP	X
that	IN	that
her	PP$	her
'	POS	'
heart	NN	heart
is	VBZ	be
with	IN	with
the	DT	the
victims	NNS	victim
and	CC	and
our	PP$	our
Jewish	JJ	Jewish
communities	NNS	community
across	IN	across
the	DT	the
country	NN	country
.	SENT	.
'	''	'
<p>
'	''	'
Antisemitism	NN	<unknown>
is	VBZ	be
on	IN	on
the	DT	the
rise	NN	rise
here	RB	here
at	IN	at
home	NN	home
,	,	,
'	''	'
she	PP	she
added	VBD	add
,	,	,
'	''	'
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
moral	JJ	moral
responsibility	NN	responsibility
to	TO	to
confront	VB	confront
and	CC	and
stop	VB	stop
it	PP	it
everywhere	RB	everywhere
it	PP	it
exists	VBZ	exist
.	SENT	.
'	''	'
<p>
Youkilis	NP	Youkilis
,	,	,
a	DT	a
three-time	JJ	three-time
All-Star	JJ	all-star
who	WP	who
won	VBD	win
a	DT	a
pair	NN	pair
of	IN	of
World	NP	World
Series	NP	Series
with	IN	with
the	DT	the
Boston	NP	Boston
Red	NP	Red
Sox	NP	Sox
,	,	,
dismissed	VBD	dismiss
her	PP$	her
message	NN	message
online	JJ	online
.	SENT	.
<p>
'	''	'
Jews	NPS	Jews
are	VBP	be
targeted	VBN	target
with	IN	with
violence	NN	violence
and	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
virtue	NN	virtue
signal	NN	signal
post	NN	post
time	NN	time
and	CC	and
time	NN	time
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
you	PP	you
done	VBN	do
to	TO	to
confront	VB	confront
those	DT	those
calling	NN	calling
for	IN	for
intifadas	NNS	<unknown>
in	IN	in
NYC	NP	NYC
?	SENT	?
Until	IN	until
you	PP	you
create	VBP	create
a	DT	a
plan	NN	plan
of	IN	of
action	NN	action
,	,	,
your	PP$	your
repeated	JJ	repeated
virtue	NN	virtue
signaling	VBG	signal
after	IN	after
the	DT	the
violence	NN	violence
occurs	VBZ	occur
holds	VBZ	hold
no	DT	no
weight	NN	weight
.	SENT	.
'	''	'
<p>
Kevin	NP	Kevin
Youkilis	NP	Youkilis
has	VBZ	have
called	VBN	call
out	IN	out
congresswoman	NN	congresswoman
Alexandria	NP	Alexandria
Ocasio-Cortez	NP	Ocasio-Cortez
for	IN	for
'	POS	'
virtue	NN	virtue
signaling	VBG	signal
'	''	'
after	IN	after
the	DT	the
New	NP	New
York	NP	York
Democrat	NP	Democrat
condemned	VBD	condemn
Sunday	NP	Sunday
'	POS	'
s	JJ	<unknown>
antisemitic	JJ	antisemitic
hate	NN	hate
crime	NN	crime
in	IN	in
Colorado	NP	Colorado
<p>
Youkilis	NP	Youkilis
served	VBD	serve
as	IN	as
Team	NP	Team
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
hitting	VBG	hit
coach	NN	coach
during	IN	during
the	DT	the
2023	CD	@card@
World	NP	World
Baseball	NP	Baseball
Classic	NP	Classic
<p>
Youkilis	NP	Youkilis
appeared	VBD	appear
to	TO	to
be	VB	be
referencing	VBG	reference
pro-Palestinian	NP	pro-Palestinian
protests	NNS	protest
in	IN	in
New	NP	New
York	NP	York
,	,	,
where	WRB	where
chants	VBZ	chant
of	IN	of
'	''	'
long	JJ	long
live	JJ	live
intifada	NN	intifada
'	''	'
were	VBD	be
reportedly	RB	reportedly
chanted	VBN	chant
by	IN	by
demonstrators	NNS	demonstrator
.	SENT	.
'	''	'
Intifada	NP	Intifada
'	POS	'
is	VBZ	be
an	DT	an
Arabic	JJ	Arabic
word	NN	word
for	IN	for
a	DT	a
rebellion	NN	rebellion
used	VBN	use
to	TO	to
describe	VB	describe
Palestine	NP	Palestine
'	POS	'
s	JJ	<unknown>
various	JJ	various
uprisings	NNS	uprising
against	IN	against
Israeli	JJ	Israeli
occupation	NN	occupation
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
the	DT	the
ongoing	JJ	ongoing
war	NN	war
between	IN	between
Israel	NP	Israel
and	CC	and
Gaza	NP	Gaza
has	VBZ	have
been	VBN	be
labelled	VBN	label
by	IN	by
some	DT	some
as	IN	as
the	DT	the
'	''	'
Third	NP	Third
Intifada	NP	Intifada
.	SENT	.
'	''	'
<p>
Many	RB	many
have	VB	have
claimed	VBN	claim
the	DT	the
term	NN	term
and	CC	and
the	DT	the
slogan	NN	slogan
'	POS	'
Globalize	NP	<unknown>
the	DT	the
Intifada	NP	Intifada
'	POS	'
