<p>
Sen.	NP	Sen.
Bernie	NP	Bernie
Sanders	NP	Sanders
,	,	,
I-Vt	NP	<unknown>
.	SENT	.
,	,	,
said	VBD	say
Sunday	NP	Sunday
that	IN	that
it	PP	it
was	VBD	be
"	``	"
very	RB	very
hard	JJ	hard
"	''	"
for	IN	for
young	JJ	young
people	NNS	people
and	CC	and
Americans	NPS	Americans
in	IN	in
general	JJ	general
to	TO	to
"	``	"
be	VB	be
excited	VBN	excite
about	IN	about
what	WP	what
is	VBZ	be
going	VBG	go
on	IN	on
right	RB	right
now	RB	now
,	,	,
"	''	"
and	CC	and
suggested	VBD	suggest
the	DT	the
president	NN	president
change	NN	change
course	NN	course
on	IN	on
his	PP$	his
support	NN	support
for	IN	for
Israel	NP	Israel
.	SENT	.
<p>
CNN	NP	CNN
'	POS	'
s	NN	S
Jake	NP	Jake
Tapper	NP	Tapper
asked	VBD	ask
Sanders	NP	Sanders
about	IN	about
criticisms	NNS	criticism
of	IN	of
Biden	NP	Biden
over	IN	over
his	PP$	his
support	NN	support
for	IN	for
Israel	NP	Israel
.	SENT	.
<p>
"	``	"
Do	VBP	do
you	PP	you
think	VBP	think
that	IN	that
young	JJ	young
progressives	NNS	progressive
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
ultimately	RB	ultimately
rally	VB	rally
behind	IN	behind
Joe	NP	Joe
Biden	NP	Biden
in	IN	in
November	NP	November
or	CC	or
has	VBZ	have
he	PP	he
seriously	RB	seriously
damaged	VBD	damage
his	PP$	his
standing	NN	standing
?	SENT	?
"	''	"
he	PP	he
asked	VBD	ask
.	SENT	.
<p>
Sanders	NP	Sanders
said	VBD	say
he	PP	he
believed	VBD	believe
people	NNS	people
would	MD	would
end	VB	end
up	RP	up
rallying	VBG	rally
behind	IN	behind
Biden	NP	Biden
if	IN	if
Donald	NP	Donald
Trump	NP	Trump
ends	VBZ	end
up	RP	up
being	VBG	be
the	DT	the
GOP	NP	GOP
nominee	NN	nominee
.	SENT	.
<p>
"	``	"
But	CC	but
there	EX	there
is	VBZ	be
no	DT	no
question	NN	question
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
hard	JJ	hard
for	IN	for
young	JJ	young
people	NNS	people
,	,	,
I	PP	I
think	VBP	think
for	IN	for
most	JJS	most
Americans	NPS	Americans
,	,	,
to	TO	to
be	VB	be
excited	VBN	excite
about	IN	about
what	WP	what
is	VBZ	be
going	VBG	go
on	IN	on
right	RB	right
now	RB	now
.	SENT	.
President	NP	President
has	VBZ	have
got	VBN	get
to	TO	to
change	VB	change
course	NN	course
,	,	,
"	''	"
Sanders	NP	Sanders
told	VBD	tell
the	DT	the
media	NNS	medium
outlet	NN	outlet
.	SENT	.
<p>
"	``	"
He	PP	he
has	VBZ	have
been	VBN	be
very	RB	very
clear	JJ	clear
,	,	,
he	PP	he
'	POS	'
s	NN	S
expressed	VBD	express
his	PP$	his
concern	NN	concern
about	RB	about
'	POS	'
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
.	SENT	.
'	''	'
He	PP	he
has	VBZ	have
asked	VBN	ask
Netanyahu	NP	<unknown>
over	IN	over
and	CC	and
over	IN	over
again	RB	again
to	TO	to
change	VB	change
course	NN	course
.	SENT	.
And	CC	and
Netanyahu	NP	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
continue	VBP	continue
doing	VBG	do
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
.	SENT	.
'	''	'
Unacceptable	JJ	unacceptable
.	SENT	.
You	PP	you
can	MD	can
not	RB	not
give	VB	give
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
to	TO	to
a	DT	a
country	NN	country
that	WDT	that
ignores	VBZ	ignore
your	PP$	your
wishes	NNS	wish
