<p>
JERUSALEM	NP	Jerusalem
--	:	--
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	<unknown>
use	NN	use
of	IN	of
the	DT	the
top	JJ	top
United	NP	United
Nations	NPS	Nations
court	NN	court
to	TO	to
charge	VB	charge
Israel	NP	Israel
with	IN	with
genocide	NN	genocide
sparked	VBD	spark
an	DT	an
angry	JJ	angry
response	NN	response
Friday	NP	Friday
from	IN	from
the	DT	the
Jewish	JJ	Jewish
state	NN	state
'	POS	'
s	JJ	<unknown>
U.N	NP	U.N
.	SENT	.
ambassador	NN	ambassador
,	,	,
who	WP	who
said	VBD	say
the	DT	the
legal	JJ	legal
process	NN	process
aided	VBN	aid
Hamas	NP	<unknown>
,	,	,
"	''	"
the	DT	the
Nazis	NNS	Nazi
of	IN	of
our	PP$	our
time	NN	time
.	SENT	.
"	''	"
<p>
Gilad	NP	<unknown>
Erdan	NP	<unknown>
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
ambassador	NN	ambassador
to	TO	to
the	DT	the
U.N.	NP	U.N.
,	,	,
issued	VBD	issue
a	DT	a
response	NN	response
to	TO	to
the	DT	the
hearing	NN	hearing
at	IN	at
the	DT	the
U.N	NP	U.N
.	SENT	.
'	''	'
s	VBZ	<unknown>
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
in	IN	in
the	DT	the
Netherlands	NP	Netherlands
that	WDT	that
will	MD	will
rule	VB	rule
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
campaign	NN	campaign
against	IN	against
the	DT	the
jihadi	NN	<unknown>
movement	NN	movement
Hamas	NN	<unknown>
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
"	``	"
The	DT	the
proceedings	NNS	proceeding
in	IN	in
The	DT	the
Hague	NP	Hague
demonstrate	VB	demonstrate
how	WRB	how
the	DT	the
U.N	NP	U.N
.	SENT	.
and	CC	and
its	PP$	its
institutions	NNS	institution
have	VBP	have
become	VBN	become
weapons	NNS	weapon
in	IN	in
service	NN	service
of	IN	of
terrorist	JJ	terrorist
organizations	NNS	organization
,	,	,
"	''	"
Erdan	NP	<unknown>
said	VBD	say
.	SENT	.
"	''	"
The	DT	the
use	NN	use
of	IN	of
the	DT	the
Convention	NN	convention
on	IN	on
the	DT	the
Prevention	NN	prevention
of	IN	of
Genocide	NN	genocide
against	IN	against
the	DT	the
Jewish	JJ	Jewish
state	NN	state
and	CC	and
in	IN	in
service	NN	service
of	IN	of
the	DT	the
Nazis	NNS	Nazi
of	IN	of
our	PP$	our
time	NN	time
,	,	,
Yahya	NP	Yahya
Sinwar	NP	<unknown>
and	CC	and
Ismail	NP	Ismail
Haniyeh	NP	<unknown>
,	,	,
proves	VBZ	prove
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
moral	JJ	moral
low	NN	low
that	IN	that
the	DT	the
U.N	NP	U.N
.	SENT	.
has	VBZ	have
not	RB	not
descended	VBN	descend
to	TO	to
.	SENT	.
"	''	"
<p>
Gilad	NP	<unknown>
Erdan	NP	<unknown>
attends	VBZ	attend
a	DT	a
U.N	NP	U.N
.	SENT	.
security	NN	security
council	NN	council
meeting	NN	meeting
on	IN	on
the	DT	the
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
at	IN	at
the	DT	the
U.N	NP	U.N
.	SENT	.
headquarters	NNS	headquarters
in	IN	in
New	NP	New
York	NP	York
April	NP	April
25	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Haniyeh	NP	<unknown>
are	VBP	be
two	CD	two
of	IN	of
the	DT	the
Hamas	JJ	<unknown>
Palestinian	JJ	Palestinian
leaders	NNS	leader
who	WP	who
allegedly	RB	allegedly
mobilized	VBD	mobilize
thousands	NNS	thousand
of	IN	of
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
to	TO	to
invade	VB	invade
Israel	NP	Israel
Oct.	NP	Oct.
7	CD	@card@
,	,	,
resulting	VBG	result
in	IN	in
the	DT	the
murder	NN	murder
of	IN	of
1,200	CD	@card@
people	NNS	people
,	,	,
including	VBG	include
over	IN	over
30	CD	@card@
Americans	NPS	Americans
.	SENT	.
Hamas	NNS	<unknown>
kidnapped	VBN	kidnap
over	IN	over
240	CD	@card@
people	NNS	people
.	SENT	.
<p>
"	``	"
The	DT	the
U.N	NP	U.N
.	SENT	.
is	VBZ	be
the	DT	the
one	CD	one
who	WP	who
should	MD	should
sit	VB	sit
on	IN	on
trial	NN	trial
in	IN	in
The	DT	the
Hague	NP	Hague
for	IN	for
turning	VBG	turn
a	DT	a
blind	JJ	blind
eye	NN	eye
,	,	,
and	CC	and
thereby	RB	thereby
serving	VBG	serve
as	IN	as
an	DT	an
accomplice	NN	accomplice
,	,	,
to	TO	to
the	DT	the
digging	NN	digging
of	IN	of
terror	NN	terror
tunnels	NNS	tunnel
in	IN	in
Gaza	NP	Gaza
,	,	,
in	IN	in
the	DT	the
use	NN	use
of	IN	of
international	JJ	international
aid	NN	aid
for	IN	for
the	DT	the
production	NN	production
of	IN	of
missiles	NNS	missile
and	CC	and
rockets	NNS	rocket
and	CC	and
in	IN	in
the	DT	the
education	NN	education
of	IN	of
hatred	NN	hatred
and	CC	and
murder	NN	murder
,	,	,
"	''	"
Erdan	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
"	``	"
If	IN	if
there	EX	there
is	VBZ	be
even	RB	even
one	CD	one
iota	NN	iota
of	IN	of
reason	NN	reason
and	CC	and
morality	NN	morality
left	VBN	leave
in	IN	in
the	DT	the
U.N.	NP	U.N.
,	,	,
then	RB	then
the	DT	the
despicable	JJ	despicable
prosecution	NN	prosecution
by	IN	by
the	DT	the
terror-supporting	VBG	terror-support
South	NP	South
Africa	NP	Africa
should	MD	should
be	VB	be
thrown	VBN	throw
into	IN	into
the	DT	the
dustbin	NN	dustbin
of	IN	of
history	NN	history
in	IN	in
the	DT	the
coming	VBG	come
days	NNS	day
.	SENT	.
"	''	"
<p>
South	NP	South
Africa	NP	Africa
,	,	,
which	WDT	which
has	VBZ	have
shown	VBN	show
great	JJ	great
sympathy	NN	sympathy
and	CC	and
support	NN	support
for	IN	for
Hamas	NNS	<unknown>
over	IN	over
the	DT	the
years	NNS	year
,	,	,
filed	VBD	file
the	DT	the
legal	JJ	legal
case	NN	case
at	IN	at
the	DT	the
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
.	SENT	.
Israel	NP	Israel
got	VBD	get
a	DT	a
boost	NN	boost
on	IN	on
Friday	NP	Friday
with	IN	with
a	DT	a
statement	NN	statement
from	IN	from
the	DT	the
German	JJ	German
government	NN	government
against	IN	against
South	NP	South
Africa	NP	Africa
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
Bani	NN	bani
Suheila	NP	<unknown>
district	NN	district
on	IN	on
July	NP	July
20	CD	@card@
,	,	,
2017	CD	@card@
in	IN	in
Gaza	NP	Gaza
City	NP	City
,	,	,
Gaza	NP	Gaza
.	SENT	.
(	(	(
Chris	NP	Chris
McGrath/Getty	NP	McGrath/Getty
Images	NNS	image
)	)	)
<p>
South	NP	South
Africa	NP	Africa
has	VBZ	have
alleged	VBN	allege
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
campaign	NN	campaign
in	IN	in
Gaza	NP	Gaza
amounts	NNS	amount
to	TO	to
genocide	NN	genocide
.	SENT	.
The	DT	the
convention	NN	convention
defines	VBZ	define
genocide	NN	genocide
as	IN	as
acts	NNS	act
such	JJ	such
as	IN	as
killings	NNS	killing
"	''	"
committed	VBN	commit
with	IN	with
intent	NN	intent
to	TO	to
destroy	VB	destroy
,	,	,
in	IN	in
whole	NN	whole
or	CC	or
in	IN	in
part	NN	part
,	,	,
a	DT	a
national	JJ	national
,	,	,
ethnical	JJ	ethnical
,	,	,
racial	JJ	racial
or	CC	or
religious	JJ	religious
group	NN	group
.	SENT	.
"	''	"
<p>
On	IN	on
Friday	NP	Friday
,	,	,
German	JJ	German
government	NN	government
spokesman	NN	spokesman
Steffen	NP	Steffen
Hebestreit	NP	Hebestreit
said	VBD	say
Israel	NP	Israel
was	VBD	be
"	``	"
defending	VBG	defend
itself	PP	itself
"	``	"
after	IN	after
the	DT	the
"	``	"
inhuman	JJ	inhuman
"	''	"
attacks	NNS	attack
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
<p>
United	NP	United
Nations	NPS	Nations
headquarters	NN	headquarters
and	CC	and
a	DT	a
flag	NN	flag
juxtaposed	VBN	juxtapose
with	IN	with
a	DT	a
picture	NN	picture
of	IN	of
an	DT	an
Israeli	JJ	Israeli
woman	NN	woman
kidnapped	VBN	kidnap
by	IN	by
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
.	SENT	.
(	(	(
Getty	NP	Getty
Images/Hamas-Telegram	NP	<unknown>
)	)	)
<p>
"	``	"
The	DT	the
German	JJ	German
government	NN	government
decisively	RB	decisively
and	CC	and
expressly	RB	expressly
rejects	VBZ	reject
the	DT	the
accusation	NN	accusation
of	IN	of
genocide	NN	genocide
brought	VBN	bring
against	IN	against
Israel	NP	Israel
before	IN	before
the	DT	the
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
.	SENT	.
The	DT	the
accusation	NN	accusation
has	VBZ	have
no	DT	no
basis	NN	basis
in	IN	in
fact	NN	fact
,	,	,
"	''	"
said	VBD	say
Hebestreit	NP	Hebestreit
.	SENT	.
<p>
"	``	"
In	IN	in
light	NN	light
of	IN	of
German	JJ	German
history	NN	history
and	CC	and
the	DT	the
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
of	IN	of
the	DT	the
Shoah	NP	<unknown>
,	,	,
the	DT	the
German	JJ	German
government	NN	government
is	VBZ	be
particularly	RB	particularly
committed	VBN	commit
to	TO	to
the	DT	the
U.N.	NP	U.N.
Genocide	NN	genocide
Convention	NN	convention
.	SENT	.
"	''	"
<p>
The	DT	the
word	NN	word
Shoah	NP	<unknown>
is	VBZ	be
used	VBN	use
by	IN	by
Israel	NP	Israel
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
II	NP	II
,	,	,
resulting	VBG	result
in	IN	in
the	DT	the
mass	JJ	mass
murder	NN	murder
of	IN	of
6	CD	@card@
million	CD	million
Jews	NNS	jew
.	SENT	.
The	DT	the
U.N	NP	U.N
.	SENT	.
Genocide	NN	genocide
Convention	NN	convention
was	VBD	be
signed	VBN	sign
in	IN	in
1948	CD	@card@
,	,	,
after	IN	after
the	DT	the
Holocaust	NN	holocaust
.	SENT	.
<p>
Hebestreit	NP	Hebestreit
stressed	VBD	stress
that	IN	that
the	DT	the
Convention	NN	convention
is	VBZ	be
a	DT	a
"	``	"
central	JJ	central
instrument	NN	instrument
"	''	"
under	IN	under
international	JJ	international
law	NN	law
to	TO	to
stop	VB	stop
a	DT	a
new	JJ	new
Holocaust	NN	holocaust
.	SENT	.
<p>
"	``	"
We	PP	we
stand	VBP	stand
firmly	RB	firmly
against	IN	against
a	DT	a
political	JJ	political
instrumentalization	NN	<unknown>
"	''	"
of	IN	of
the	DT	the
Convention	NN	convention
,	,	,
he	PP	he
noted	VBD	note
.	SENT	.
<p>
Public	JJ	public
hearings	NNS	hearing
in	IN	in
South	NP	South
Africa	NP	Africa
'	POS	'
s	JJ	<unknown>
genocide	NN	genocide
case	NN	case
against	IN	against
Israel	NP	Israel
begin	VBP	begin
at	IN	at
the	DT	the
International	NP	International
Court	NP	Court
of	IN	of
Justice	NP	Justice
in	IN	in
The	DT	the
Hague	NP	Hague
,	,	,
Netherlands	NP	Netherlands
,	,	,
Jan.	NP	Jan.
11	CD	@card@
,	,	,
2024	CD	@card@
.	SENT	.
(	(	(
Dursun	NP	<unknown>
Aydemir/Anadolu	NP	<unknown>
via	IN	via
Getty	NP	Getty
Images	NNS	image
)	)	)
<p>
The	DT	the
U.S.	NP	U.S.
has	VBZ	have
classified	VBN	classify
Hamas	NP	<unknown>
a	DT	a
foreign	JJ	foreign
terrorist	JJ	terrorist
organization	NN	organization
.	SENT	.
Hamas	NP	<unknown>
'	POS	'
sponsor	NN	sponsor
,	,	,
the	DT	the
Islamic	NP	Islamic
Republic	NP	Republic
of	IN	of
Iran	NP	Iran
,	,	,
has	VBZ	have
been	VBN	be
designated	VBN	designate
by	IN	by
the	DT	the
U.S.	NP	U.S.
State	NP	State
Department	NP	Department
as	IN	as
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
worst	JJS	bad
international	JJ	international
state	NN	state
sponsor	NN	sponsor
of	IN	of
terrorism	NN	terrorism
.	SENT	.
