<h>
When	WRB	when
smoke	NN	smoke
rises	NNS	rise
,	,	,
so	RB	so
does	VBZ	do
the	DT	the
lie	NN	lie
--	:	--
Che	NP	Che
Ran	NP	Ran
<p>
JUNE	NP	June
16	CD	@card@
--	:	--
I	PP	I
once	RB	once
shared	VBD	share
tea	NN	tea
with	IN	with
a	DT	a
war	NN	war
survivor	NN	survivor
in	IN	in
Tehran	NP	Tehran
.	SENT	.
His	PP$	his
hands	NNS	hand
shook	VBD	shake
,	,	,
not	RB	not
from	IN	from
fear	NN	fear
,	,	,
but	CC	but
from	IN	from
memory	NN	memory
.	SENT	.
"	''	"
Every	DT	every
war	NN	war
,	,	,
"	''	"
he	PP	he
said	VBD	say
,	,	,
"	``	"
starts	VBZ	start
with	IN	with
a	DT	a
lie	NN	lie
.	SENT	.
And	CC	and
the	DT	the
lie	NN	lie
always	RB	always
comes	VBZ	come
dressed	VBN	dress
as	IN	as
a	DT	a
question	NN	question
:	:	:
What	WP	what
if	IN	if
?	SENT	?
What	WP	what
if	IN	if
they	PP	they
strike	VBP	strike
first	RB	first
?	SENT	?
What	WP	what
if	IN	if
they	PP	they
have	VBP	have
weapons	NNS	weapon
?	SENT	?
"	``	"
<p>
This	DT	this
past	JJ	past
month	NN	month
,	,	,
that	DT	that
old	JJ	old
ghost	NN	ghost
was	VBD	be
revived	VBN	revive
,	,	,
wrapped	VBN	wrap
in	IN	in
air	NN	air
raid	NN	raid
sirens	NNS	siren
and	CC	and
flaming	JJ	flaming
headlines	NNS	headline
.	SENT	.
Israeli	JJ	Israeli
jets	NNS	jet
lit	VBD	light
the	DT	the
sky	NN	sky
above	IN	above
Iran	NP	Iran
,	,	,
targeting	VBG	target
what	WP	what
they	PP	they
called	VBD	call
"	``	"
imminent	JJ	imminent
nuclear	JJ	nuclear
threats	NNS	threat
"	''	"
.	SENT	.
But	CC	but
behind	IN	behind
the	DT	the
military	JJ	military
jargon	NN	jargon
and	CC	and
global	JJ	global
spin	NN	spin
cycle	NN	cycle
,	,	,
a	DT	a
darker	JJR	dark
truth	NN	truth
stirs	NNS	stir
--	:	--
one	CD	one
that	WDT	that
demands	VBZ	demand
more	JJR	more
than	IN	than
our	PP$	our
attention	NN	attention
.	SENT	.
It	PP	it
demands	VBZ	demand
outrage	NN	outrage
.	SENT	.
<p>
Let	NP	Let
'	POS	'
s	NNS	<unknown>
get	VBP	get
something	NN	something
straight	RB	straight
.	SENT	.
Iran	NP	Iran
has	VBZ	have
never	RB	never
declared	VBN	declare
war	NN	war
on	IN	on
any	DT	any
country	NN	country
in	IN	in
modern	JJ	modern
history	NN	history
.	SENT	.
Not	RB	not
during	IN	during
the	DT	the
Shah	NP	Shah
'	POS	'
s	NN	S
era	NN	era
.	SENT	.
Not	RB	not
under	IN	under
the	DT	the
Islamic	NP	Islamic
Republic	NP	Republic
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
regime	NN	regime
with	IN	with
deep	JJ	deep
flaws	NNS	flaw
,	,	,
yes	UH	yes
.	SENT	.
But	CC	but
not	RB	not
a	DT	a
regime	NN	regime
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
