<h>
Most	JJS	most
Gaza	NP	Gaza
Families	NNS	family
Surviving	VBG	survive
on	IN	on
Just	RB	just
One	CD	one
Meal	NN	meal
a	DT	a
Day	NN	day
,	,	,
Says	VBZ	say
WFP	NP	WFP
<h>
Share	NP	Share
:	:	:
<p>
Gaza	NP	Gaza
(	(	(
Quds	NP	Quds
News	NP	News
Network	NP	Network
)	)	)
-	NN	<unknown>
One-third	NN	one-third
of	IN	of
families	NNS	family
in	IN	in
Gaza	NP	Gaza
are	VBP	be
going	VBG	go
an	DT	an
entire	JJ	entire
day	NN	day
without	IN	without
food	NN	food
due	JJ	due
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
ongoing	JJ	ongoing
genocide	NN	genocide
and	CC	and
blockade	NN	blockade
of	IN	of
aid	NN	aid
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
UN	NP	UN
World	NP	World
Food	NP	Food
Programme	NN	programme
(	(	(
WFP	NP	WFP
)	)	)
.	SENT	.
<p>
In	IN	in
a	DT	a
statement	NN	statement
,	,	,
the	DT	the
WFP	NP	WFP
and	CC	and
its	PP$	its
partners	NNS	partner
said	VBD	say
families	NNS	family
in	IN	in
Gaza	NP	Gaza
are	VBP	be
surviving	VBG	survive
on	IN	on
thin	JJ	thin
broths	NNS	broth
,	,	,
lentils	NNS	lentil
or	CC	or
rice	NN	rice
,	,	,
one	CD	one
piece	NN	piece
of	IN	of
bread	NN	bread
or	CC	or
sometimes	RB	sometimes
just	RB	just
a	DT	a
combination	NN	combination
of	IN	of
herbs	NNS	herb
and	CC	and
olive	JJ	olive
oil	NN	oil
known	VBN	know
locally	RB	locally
as	IN	as
duqqa	NN	<unknown>
.	SENT	.
<p>
It	PP	it
said	VBD	say
that	IN	that
due	JJ	due
to	TO	to
the	DT	the
extreme	JJ	extreme
shortage	NN	shortage
of	IN	of
food	NN	food
,	,	,
Palestinians	NNS	Palestinian
routinely	RB	routinely
risk	VBP	risk
their	PP$	their
lives	NNS	life
to	TO	to
get	VB	get
some	DT	some
food	NN	food
.	SENT	.
<p>
"	''	"
The	DT	the
majority	NN	majority
of	IN	of
casualties	NNS	casualty
have	VBP	have
been	VBN	be
shot	VBN	shoot
or	CC	or
shelled	VBN	shell
trying	VBG	try
to	TO	to
reach	VB	reach
US-Israeli	NP	US-Israeli
distribution	NN	distribution
sites	NNS	site
purposefully	RB	purposefully
set	VBD	set
up	RP	up
in	IN	in
militarised	VBN	militarise
zones	NNS	zone
,	,	,
"	''	"
said	VBD	say
Johnathan	NP	Johnathan
Whittall	NP	Whittall
,	,	,
head	NN	head
of	IN	of
office	NN	office
for	IN	for
the	DT	the
UN	NP	UN
humanitarian	JJ	humanitarian
affairs	NNS	affair
agency	NN	agency
,	,	,
OCHA	NP	Ocha
,	,	,
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territory	NN	territory
.	SENT	.
<p>
The	DT	the
UN	NP	UN
confirmed	VBD	confirm
that	IN	that
since	IN	since
27	CD	@card@
May	NP	May
,	,	,
549	CD	@card@
Palestinians	NNS	Palestinian
have	VBP	have
been	VBN	be
killed	VBN	kill
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
4,066	CD	@card@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
sites	VBZ	site
.	SENT	.
<p>
Other	JJ	other
services	NNS	service
are	VBP	be
being	VBG	be
pushed	VBN	push
to	TO	to
the	DT	the
brink	NN	brink
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
of	IN	of
fuel	NN	fuel
shortages	NNS	shortage
,	,	,
only	RB	only
40	CD	@card@
percent	NN	percent
of	IN	of
drinking	VBG	drink
water	NN	water
facilities	NNS	facility
are	VBP	be
functional	JJ	functional
,	,	,
and	CC	and
93	CD	@card@
percent	NN	percent
of	IN	of
households	NNS	household
face	VBP	face
water	NN	water
insecurity	NN	insecurity
,	,	,
the	DT	the
statement	NN	statement
said	VBD	say
.	SENT	.
<p>
On	IN	on
March	NP	March
2	CD	@card@
,	,	,
Israel	NP	Israel
announced	VBD	announce
the	DT	the
closure	NN	closure
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
main	JJ	main
crossings	NNS	crossing
,	,	,
cutting	VBG	cut
off	RP	off
food	NN	food
,	,	,
medical	JJ	medical
and	CC	and
humanitarian	JJ	humanitarian
supplies	NNS	supply
,	,	,
worsening	VBG	worsen
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
for	IN	for
2.3	CD	@card@
million	CD	million
Palestinians	NNS	Palestinian
,	,	,
according	VBG	accord
to	TO	to
reports	NNS	report
by	IN	by
human	JJ	human
rights	NNS	right
organisations	NNS	organisation
who	WP	who
have	VBP	have
accused	VBN	accuse
it	PP	it
of	IN	of
using	VBG	use
starvation	NN	starvation
as	IN	as
a	DT	a
weapon	NN	weapon
of	IN	of
war	NN	war
against	IN	against
Palestinains	NP	<unknown>
.	SENT	.
<p>
An	DT	an
Integrated	NP	Integrated
Food	NP	Food
Security	NP	Security
Phase	NN	phase
Classification	NP	Classification
(	(	(
IPC	NP	IPC
)	)	)
report	VBP	report
last	JJ	last
month	NN	month
warned	VBD	warn
that	IN	that
almost	RB	almost
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
civilian	JJ	civilian
population	NN	population
would	MD	would
face	VB	face
catastrophic	JJ	catastrophic
levels	NNS	level
of	IN	of
food	NN	food
insecurity	NN	insecurity
(	(	(
IPC	NP	IPC
Phase	NN	phase
Five	CD	five
)	)	)
in	IN	in
the	DT	the
coming	VBG	come
months	NNS	month
.	SENT	.
<p>
After	IN	after
more	JJR	more
than	IN	than
80	CD	@card@
days	NNS	day
of	IN	of
total	JJ	total
blockade	NN	blockade
,	,	,
starvation	NN	starvation
,	,	,
and	CC	and
growing	VBG	grow
international	JJ	international
outrage	NN	outrage
,	,	,
limited	JJ	limited
aid	NN	aid
has	VBZ	have
allegedly	RB	allegedly
been	VBN	be
distributed	VBN	distribute
by	IN	by
the	DT	the
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
(	(	(
GHF	NP	GHF
)	)	)
,	,	,
a	DT	a
scandal-plagued	NN	scandal-plagued
organization	NN	organization
backed	VBN	back
by	IN	by
the	DT	the
US	NP	US
and	CC	and
Israel	NP	Israel
,	,	,
created	VBD	create
to	TO	to
bypass	VB	bypass
the	DT	the
UN	NP	UN
'	POS	'
s	JJ	<unknown>
established	JJ	established
aid	NN	aid
delivery	NN	delivery
infrastructure	NN	infrastructure
in	IN	in
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
amount	NN	amount
of	IN	of
food	NN	food
entering	VBG	enter
the	DT	the
war-battered	JJ	war-battered
Strip	NP	Strip
with	IN	with
the	DT	the
UN	NP	UN
confirming	VBG	confirm
that	IN	that
it	PP	it
is	VBZ	be
still	RB	still
blocking	VBG	block
food	NN	food
from	IN	from
reaching	VBG	reach
starving	VBG	starve
Palestinians	NNS	Palestinian
and	CC	and
only	RB	only
a	DT	a
few	JJ	few
trucks	NNS	truck
of	IN	of
aid	NN	aid
reaching	VBG	reach
Gaza	NP	Gaza
.	SENT	.
<p>
Most	RBS	most
humanitarian	JJ	humanitarian
organisations	NNS	organisation
,	,	,
including	VBG	include
the	DT	the
UN	NP	UN
,	,	,
have	VBP	have
distanced	VBN	distance
themselves	PP	themselves
from	IN	from
GHF	NP	GHF
,	,	,
arguing	VBG	argue
that	IN	that
the	DT	the
group	NN	group
violates	VBZ	violate
humanitarian	JJ	humanitarian
principles	NNS	principle
by	IN	by
restricting	VBG	restrict
aid	NN	aid
to	TO	to
south	JJ	south
and	CC	and
central	JJ	central
Gaza	NP	Gaza
,	,	,
requiring	VBG	require
Palestinians	NNS	Palestinian
to	TO	to
walk	VB	walk
long	JJ	long
distances	NNS	distance
to	TO	to
collect	VB	collect
aid	NN	aid
,	,	,
and	CC	and
only	RB	only
providing	VBG	provide
limited	JJ	limited
aid	NN	aid
,	,	,
among	IN	among
other	JJ	other
critiques	NNS	critique
.	SENT	.
<p>
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
(	(	(
MSF	NP	MSF
)	)	)
warned	VBD	warn
that	IN	that
"	``	"
weaponizing	VBG	<unknown>
aid	NN	aid
in	IN	in
this	DT	this
manner	NN	manner
may	MD	may
constitute	VB	constitute
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
.	SENT	.
"	''	"
<p>
"	``	"
Every	DT	every
day	NN	day
Palestinians	NNS	Palestinian
are	VBP	be
met	VBN	meet
with	IN	with
carnage	NN	carnage
in	IN	in
their	PP$	their
attempts	NNS	attempt
to	TO	to
receive	VB	receive
supplies	NNS	supply
from	IN	from
the	DT	the
insufficient	JJ	insufficient
amount	NN	amount
of	IN	of
aid	NN	aid
trickling	VBG	trickle
into	IN	into
Gaza	NP	Gaza
,	,	,
"	''	"
MSF	NP	MSF
said	VBD	say
.	SENT	.
<p>
The	DT	the
commissioner-general	NN	commissioner-general
of	IN	of
the	DT	the
UN	NP	UN
agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
(	(	(
UNRWA	NP	<unknown>
)	)	)
,	,	,
Philippe	NP	Philippe
Lazzarini	NP	<unknown>
,	,	,
condemned	VBD	condemn
the	DT	the
"	``	"
lethal	JJ	lethal
"	''	"
US-Israel	NP	US-Israel
aid	NN	aid
distribution	NN	distribution
mechanism	NN	mechanism
in	IN	in
Gaza	NP	Gaza
.	SENT	.
In	IN	in
a	DT	a
post	NN	post
on	IN	on
X	NP	X
,	,	,
Lazzarini	NP	<unknown>
indicated	VBD	indicate
that	IN	that
Palestinian	JJ	Palestinian
lives	NNS	life
"	``	"
have	VBP	have
been	VBN	be
so	RB	so
devalued	VBN	devalue
"	''	"
.	SENT	.
<p>
