<p>
Earlier	RBR	earlier
this	DT	this
week	NN	week
I	PP	I
was	VBD	be
back	RB	back
inside	IN	inside
Gaza	NP	Gaza
with	IN	with
the	DT	the
Israeli	NP	Israeli
Defense	NP	Defense
Forces	NPS	Forces
.	SENT	.
This	DT	this
time	NN	time
I	PP	I
went	VBD	go
in	IN	in
on	IN	on
foot	NN	foot
through	IN	through
the	DT	the
Eretz	NP	<unknown>
crossing	VBG	cross
where	WRB	where
Hamas	JJ	<unknown>
forces	NNS	force
attacked	VBN	attack
on	IN	on
the	DT	the
morning	NN	morning
of	IN	of
October	NP	October
7th	JJ	7th
,	,	,
killing	VBG	kill
several	JJ	several
soldiers	NNS	soldier
and	CC	and
abducting	VBG	abduct
others	NNS	other
.	SENT	.
The	DT	the
scenes	NNS	scene
of	IN	of
the	DT	the
intensive	JJ	intensive
fighting	NN	fighting
are	VBP	be
visible	JJ	visible
everywhere	RB	everywhere
.	SENT	.
<p>
But	CC	but
our	PP$	our
destination	NN	destination
was	VBD	be
inside	RB	inside
the	DT	the
strip	NN	strip
.	SENT	.
Specifically	RB	specifically
,	,	,
a	DT	a
vast	JJ	vast
tunnel	NN	tunnel
entrance	NN	entrance
the	DT	the
Israelis	NPS	Israelis
had	VBD	have
just	RB	just
uncovered	VBN	uncover
only	RB	only
400	CD	@card@
meters	NNS	meter
from	IN	from
the	DT	the
Israeli	JJ	Israeli
border	NN	border
.	SENT	.
It	PP	it
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
huge	JJ	huge
underground	JJ	underground
network	NN	network
built	VBN	build
by	IN	by
Hamas	NNS	<unknown>
in	IN	in
the	DT	the
last	JJ	last
16	CD	@card@
years	NNS	year
.	SENT	.
<p>
And	CC	and
this	DT	this
one	CD	one
is	VBZ	be
a	DT	a
real	JJ	real
spectacle	NN	spectacle
.	SENT	.
The	DT	the
project	NN	project
to	TO	to
build	VB	build
it	PP	it
was	VBD	be
led	VBN	lead
by	IN	by
Muhammad	NP	Muhammad
Sinwar	NP	<unknown>
,	,	,
the	DT	the
brother	NN	brother
of	IN	of
Yahya	NP	Yahya
Sinwar	NP	<unknown>
,	,	,
the	DT	the
Hamas	NP	<unknown>
leader	NN	leader
who	WP	who
planned	VBD	plan
the	DT	the
October	NP	October
7th	JJ	7th
massacres	NNS	massacre
.	SENT	.
Indeed	RB	indeed
there	EX	there
is	VBZ	be
footage	NN	footage
of	IN	of
Yahya	NP	Yahya
Sinwar	NP	<unknown>
riding	VBG	ride
through	IN	through
this	DT	this
exact	JJ	exact
tunnel	NN	tunnel
.	SENT	.
<p>
I	PP	I
say	VBP	say
"	``	"
riding	VBG	ride
"	''	"
because	IN	because
this	DT	this
particular	JJ	particular
tunnel	NN	tunnel
is	VBZ	be
not	RB	not
some	DT	some
small	JJ	small
rabbit	NN	rabbit
warren	NN	warren
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
vast	JJ	vast
tunnel	NN	tunnel
,	,	,
designed	VBN	design
to	TO	to
allow	VB	allow
military-sized	JJ	military-sized
vehicles	NNS	vehicle
to	TO	to
travel	VB	travel
underground	RB	underground
,	,	,
allowing	VBG	allow
Hamas	NNS	<unknown>
to	TO	to
go	VB	go
from	IN	from
one	CD	one
end	NN	end
of	IN	of
the	DT	the
Gaza	NP	Gaza
to	TO	to
the	DT	the
other	JJ	other
while	IN	while
avoiding	VBG	avoid
Israeli	JJ	Israeli
detection	NN	detection
.	SENT	.
This	DT	this
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
fact	NN	fact
that	IN	that
this	DT	this
opening	NN	opening
was	VBD	be
so	RB	so
close	JJ	close
to	TO	to
the	DT	the
Israeli	JJ	Israeli
side	NN	side
of	IN	of
the	DT	the
border	NN	border
and	CC	and
was	VBD	be
hidden	VBN	hide
suggests	VBZ	suggest
that	IN	that
this	DT	this
was	VBD	be
one	CD	one
of	IN	of
the	DT	the
tunnels	NNS	tunnel
Hamas	NN	<unknown>
used	VBD	use
that	DT	that
morning	NN	morning
to	TO	to
carry	VB	carry
out	RP	out
their	PP$	their
battalion-sized	JJ	battalion-sized
terror	NN	terror
attack	NN	attack
on	IN	on
Israel	NP	Israel
.	SENT	.
<p>
A	DT	a
look	NN	look
inside	IN	inside
one	CD	one
of	IN	of
the	DT	the
tunnels	NNS	tunnel
that	WDT	that
was	VBD	be
used	VBN	use
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
.	SENT	.
AFP	NP	AFP
via	IN	via
Getty	NP	Getty
Images	VBZ	image
<p>
It	PP	it
is	VBZ	be
an	DT	an
incredibly	RB	incredibly
sophisticated	JJ	sophisticated
system	NN	system
,	,	,
as	IN	as
I	PP	I
saw	VBD	see
when	WRB	when
I	PP	I
went	VBD	go
deep	RB	deep
down	RB	down
into	IN	into
the	DT	the
tunnel	NN	tunnel
.	SENT	.
It	PP	it
is	VBZ	be
more	JJR	more
like	IN	like
a	DT	a
subway	NN	subway
system	NN	system
than	IN	than
a	DT	a
rat	NN	rat
run	NN	run
.	SENT	.
Although	IN	although
plenty	NN	plenty
of	IN	of
rats	NNS	rat
came	VBD	come
this	DT	this
way	NN	way
.	SENT	.
<p>
So	RB	so
why	WRB	why
do	VBP	do
I	PP	I
say	VBP	say
that	IN	that
American	JJ	American
taxpayers	NNS	taxpayer
can	MD	can
save	VB	save
money	NN	money
here	RB	here
?	SENT	?
<p>
Because	IN	because
our	PP$	our
tax	NN	tax
dollars	NNS	dollar
helped	VBD	help
build	VB	build
this	DT	this
system	NN	system
.	SENT	.
It	PP	it
is	VBZ	be
American	JJ	American
,	,	,
European	JJ	European
,	,	,
and	CC	and
other	JJ	other
taxpayer	NN	taxpayer
dollars	NNS	dollar
that	WDT	that
went	VBD	go
into	IN	into
building	VBG	build
this	DT	this
terrorist	JJ	terrorist
infrastructure	NN	infrastructure
.	SENT	.
<h>
see	VB	see
also	RB	also
<p>
In	IN	in
2006	CD	@card@
,	,	,
Hamas	NP	<unknown>
won	VBD	win
the	DT	the
elections	NNS	election
that	WDT	that
were	VBD	be
foolishly	RB	foolishly
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
.	SENT	.
They	PP	they
then	RB	then
carried	VBD	carry
out	RP	out
a	DT	a
bloody	JJ	bloody
coup	NN	coup
against	IN	against
their	PP$	their
opponents	NNS	opponent
.	SENT	.
<p>
Specifically	RB	specifically
,	,	,
they	PP	they
targeted	VBD	target
members	NNS	member
of	IN	of
rival	JJ	rival
Palestinian	JJ	Palestinian
groups	NNS	group
like	IN	like
Fatah	NN	Fatah
--	:	--
throwing	VBG	throw
them	PP	them
off	IN	off
buildings	NNS	building
and	CC	and
shooting	NN	shooting
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
streets	NNS	street
.	SENT	.
That	DT	that
ensured	VBD	ensure
that	IN	that
Hamas	NP	<unknown>
never	RB	never
had	VBD	have
another	DT	another
election	NN	election
but	CC	but
has	VBZ	have
continued	VBN	continue
in	IN	in
power	NN	power
in	IN	in
Gaza	NP	Gaza
up	RB	up
to	TO	to
this	DT	this
day	NN	day
.	SENT	.
<p>
Of	IN	of
course	NN	course
,	,	,
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
have	VBP	have
been	VBN	be
given	VBN	give
to	TO	to
them	PP	them
since	IN	since
that	DT	that
time	NN	time
.	SENT	.
From	IN	from
a	DT	a
bewildering	VBG	bewilder
array	NN	array
of	IN	of
countries	NNS	country
.	SENT	.
All	DT	all
of	IN	of
whom	WP	whom
seem	VBP	seem
to	TO	to
have	VB	have
thought	VBN	think
that	IN	that
they	PP	they
were	VBD	be
somehow	RB	somehow
helping	VBG	help
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
.	SENT	.
