<p>
An	DT	an
Israeli	JJ	Israeli
soldier	NN	soldier
killed	VBD	kill
this	DT	this
week	NN	week
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
was	VBD	be
a	DT	a
relative	NN	relative
of	IN	of
one	CD	one
of	IN	of
the	DT	the
three	CD	three
hostages	NNS	hostage
whom	WP	whom
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NP	Forces
mistakenly	RB	mistakenly
gunned	VBD	gun
down	RP	down
after	IN	after
they	PP	they
escaped	VBD	escape
Hamas	NP	<unknown>
.	SENT	.
<p>
Capt	NP	Capt
.	SENT	.
Shay	NP	Shay
Shamriz	NP	<unknown>
,	,	,
26	CD	@card@
,	,	,
was	VBD	be
killed	VBN	kill
along	RP	along
with	IN	with
two	CD	two
other	JJ	other
soldiers	NNS	soldier
,	,	,
Master	NP	Master
Sgt.	NP	Sgt.
Maor	NP	<unknown>
Lavi	NP	Lavi
,	,	,
33	CD	@card@
,	,	,
and	CC	and
Capt	NP	Capt
.	SENT	.
Shaul	NP	Shaul
Greenglick	NP	Greenglick
,	,	,
26	CD	@card@
,	,	,
the	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
reported	VBD	report
.	SENT	.
<p>
Shamriz	NP	<unknown>
,	,	,
a	DT	a
company	NN	company
commander	NN	commander
in	IN	in
the	DT	the
Nahal	NP	<unknown>
Brigade	NN	brigade
,	,	,
was	VBD	be
a	DT	a
second	JJ	second
cousin	NN	cousin
of	IN	of
Alon	NP	Alon
Shamriz	NP	<unknown>
,	,	,
26	CD	@card@
,	,	,
who	WP	who
was	VBD	be
killed	VBN	kill
in	IN	in
a	DT	a
friendly-fire	NN	<unknown>
incident	NN	incident
after	IN	after
he	PP	he
and	CC	and
fellow	JJ	fellow
captives	NNS	captive
Yotam	NP	<unknown>
Haim	NP	Haim
,	,	,
28	CD	@card@
,	,	,
Samer	JJR	same
Talalka	NP	Talalka
,	,	,
22	CD	@card@
,	,	,
were	VBD	be
mistakenly	RB	mistakenly
shot	VBN	shoot
by	IN	by
troops	NNS	troop
who	WP	who
mistook	VBD	mistake
them	PP	them
for	IN	for
terrorists	NNS	terrorist
.	SENT	.
<p>
Shay	NP	Shay
was	VBD	be
killed	VBN	kill
Monday	NP	Monday
along	IN	along
with	IN	with
the	DT	the
two	CD	two
reservists	NNS	reservist
--	:	--
Greenglick	NP	Greenglick
,	,	,
a	DT	a
fellow	JJ	fellow
member	NN	member
of	IN	of
the	DT	the
Nahal	NP	<unknown>
'	POS	'
s	JJ	<unknown>
931st	NN	<unknown>
Battalion	NN	battalion
,	,	,
and	CC	and
Lavi	NP	Lavi
,	,	,
of	IN	of
the	DT	the
Bislamach	NP	<unknown>
Brigade	NN	brigade
'	POS	'
s	JJ	<unknown>
450th	JJ	<unknown>
Battalion	NN	battalion
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
outlet	NN	outlet
.	SENT	.
<p>
The	DT	the
cousin	NN	cousin
,	,	,
a	DT	a
professional	JJ	professional
solider	JJR	solid
,	,	,
was	VBD	be
first	RB	first
assigned	VBN	assign
to	TO	to
the	DT	the
IDF	NP	IDF
'	POS	'
s	NN	S
commando	NN	commando
Duvdevan	NP	Duvdevan
Unit	NP	Unit
,	,	,
which	WDT	which
conducts	VBZ	conduct
undercover	JJ	undercover
operations	NNS	operation
in	IN	in
Palestinian	JJ	Palestinian
areas	NNS	area
,	,	,
Ynet	NP	<unknown>
reported	VBD	report
.	SENT	.
<p>
He	PP	he
was	VBD	be
transferred	VBN	transfer
to	TO	to
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
speech	NN	speech
to	TO	to
his	PP$	his
men	NNS	man
before	IN	before
entering	VBG	enter
battles	NNS	battle
,	,	,
Shamriz	NP	<unknown>
reportedly	RB	reportedly
said	VBD	say
:	:	:
"	``	"
In	IN	in
every	DT	every
generation	NN	generation
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
people	NNS	people
who	WP	who
stood	VBD	stand
up	RP	up
and	CC	and
said	VBD	say
,	,	,
'	''	'
Here	RB	here
I	PP	I
am	VBP	be
.	SENT	.
'	''	'
<p>
"	``	"
And	CC	and
they	PP	they
said	VBD	say
,	,	,
'	''	'
We	PP	we
are	VBP	be
the	DT	the
protectors	NNS	protector
of	IN	of
this	DT	this
people	NNS	people
.	SENT	.
'	''	'
We	PP	we
have	VBP	have
the	DT	the
right	NN	right
to	TO	to
be	VB	be
warriors	NNS	warrior
in	IN	in
a	DT	a
time	NN	time
of	IN	of
crisis	NN	crisis
,	,	,
in	IN	in
a	DT	a
time	NN	time
of	IN	of
trial	NN	trial
.	SENT	.
These	DT	these
moments	NNS	moment
are	VBP	be
difficult	JJ	difficult
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
,	,	,
and	CC	and
they	PP	they
are	VBP	be
very	RB	very
difficult	JJ	difficult
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	''	"
This	DT	this
group	NN	group
standing	NN	standing
here	RB	here
is	VBZ	be
the	DT	the
protector	NN	protector
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
and	CC	and
whoever	WP	whoever
dares	VBZ	dare
to	TO	to
harm	VB	harm
our	PP$	our
country	NN	country
,	,	,
our	PP$	our
people	NNS	people
,	,	,
is	VBZ	be
going	VBG	go
to	TO	to
pay	VB	pay
big	JJ	big
for	IN	for
it	PP	it
.	SENT	.
Anyone	NN	anyone
who	WP	who
dares	VBZ	dare
to	TO	to
raise	VB	raise
their	PP$	their
head	NN	head
will	MD	will
regret	VB	regret
it	PP	it
,	,	,
"	''	"
the	DT	the
fighter	NN	fighter
added	VBD	add
.	SENT	.
<p>
The	DT	the
coffin	NN	coffin
containing	VBG	contain
the	DT	the
remains	VBZ	remain
of	IN	of
Alon	NP	Alon
Shamriz	NP	<unknown>
is	VBZ	be
lowered	VBN	lower
into	IN	into
his	PP$	his
grave	NN	grave
during	IN	during
his	PP$	his
funeral	NN	funeral
in	IN	in
the	DT	the
cemetery	NN	cemetery
of	IN	of
Kibbutz	NN	kibbutz
Shefayim	NP	<unknown>
on	IN	on
Dec.	NP	Dec.
17	CD	@card@
.	SENT	.
AP	NP	AP
<p>
The	DT	the
three	CD	three
men	NNS	man
had	VBD	have
also	RB	also
used	VBN	use
leftover	JJ	leftover
food	NN	food
to	TO	to
write	VB	write
"	``	"
SOS	NP	SOS
"	''	"
and	CC	and
"	``	"
Help	NN	help
,	,	,
3	CD	@card@
hostages	NNS	hostage
"	''	"
on	IN	on
a	DT	a
white	NN	white
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Shejaiya	NP	<unknown>
neighborhood	NN	neighborhood
.	SENT	.
<p>
The	DT	the
video	NN	video
from	IN	from
the	DT	the
fallen	VBN	fall
