<h>
Addressing	VBG	address
the	DT	the
impasse	NN	impasse
over	IN	over
a	DT	a
cease-fire	NN	cease-fire
,	,	,
Rep.	NP	Rep.
Jan	NP	Jan
Schakowsky	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
'	''	'
We	PP	we
must	MD	must
bring	VB	bring
all	PDT	all
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
home	RB	home
immediately	RB	immediately
and	CC	and
end	VB	end
the	DT	the
violence	NN	violence
once	RB	once
and	CC	and
for	IN	for
all	DT	all
.	SENT	.
'	''	'
<p>
Jon	NP	Jon
Polin	NP	Polin
and	CC	and
Rachel	NP	Rachel
Goldberg	NP	Goldberg
,	,	,
parents	NNS	parent
of	IN	of
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
,	,	,
spoke	VBD	speak
Aug.	NP	Aug.
21	CD	@card@
,	,	,
the	DT	the
third	JJ	third
day	NN	day
of	IN	of
the	DT	the
2024	CD	@card@
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
in	IN	in
Chicago	NP	Chicago
.	SENT	.
Days	NNS	day
later	RBR	later
,	,	,
their	PP$	their
son	NN	son
was	VBD	be
found	VBN	find
dead	RB	dead
in	IN	in
a	DT	a
tunnel	NN	tunnel
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
WASHINGTON	NP	WASHINGTON
--	:	--
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
and	CC	and
Vice	NP	Vice
President	NP	President
Kamala	NP	Kamala
Harris	NP	Harris
in	IN	in
separate	JJ	separate
calls	NNS	call
Sunday	NP	Sunday
talked	VBD	talk
with	IN	with
Jon	NP	Jon
Polin	NP	Polin
and	CC	and
Rachel	NP	Rachel
Goldberg-Polin	NP	Goldberg-Polin
,	,	,
the	DT	the
couple	NN	couple
with	IN	with
Chicago	NP	Chicago
roots	NNS	root
whose	WP$	whose
son	NN	son
,	,	,
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
held	VBD	hold
hostage	NN	hostage
in	IN	in
Gaza	NP	Gaza
,	,	,
was	VBD	be
found	VBN	find
slain	VBN	slay
by	IN	by
Hamas	NP	<unknown>
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
The	DT	the
White	NP	White
House	NP	House
said	VBD	say
Sunday	NP	Sunday
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
"	''	"
This	DT	this
morning	NN	morning
,	,	,
President	NP	President
