<h>
What	WP	what
the	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
'	POS	'
s	JJ	<unknown>
anticipated	JJ	anticipated
arrest	NN	arrest
warrants	NNS	warrant
against	IN	against
Netanyahu	NP	<unknown>
and	CC	and
Hamas	NP	<unknown>
leaders	NNS	leader
mean	VBP	mean
for	IN	for
Canada	NP	Canada
<p>
On	IN	on
May	NP	May
20	CD	@card@
,	,	,
Karim	NP	Karim
Khan	NP	Khan
,	,	,
prosecutor	NN	prosecutor
of	IN	of
the	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
(	(	(
ICC	NP	ICC
)	)	)
,	,	,
announced	VBD	announce
that	IN	that
he	PP	he
has	VBZ	have
applied	VBN	apply
for	IN	for
arrest	NN	arrest
warrants	NNS	warrant
for	IN	for
five	CD	five
Israeli	JJ	Israeli
and	CC	and
Hamas	JJ	<unknown>
leaders	NNS	leader
.	SENT	.
These	DT	these
include	VBP	include
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
and	CC	and
Minister	NP	Minister
of	IN	of
Defence	NN	defence
Yoav	NP	<unknown>
Gallant	NN	gallant
.	SENT	.
This	DT	this
dramatic	JJ	dramatic
development	NN	development
marks	VBZ	mark
the	DT	the
first	JJ	first
time	NN	time
leaders	NNS	leader
of	IN	of
a	DT	a
western	JJ	western
allied	JJ	allied
state	NN	state
have	VBP	have
been	VBN	be
accused	VBN	accuse
of	IN	of
war	NN	war
crimes	NNS	crime
and	CC	and
crimes	NNS	crime
against	IN	against
humanity	NN	humanity
at	IN	at
the	DT	the
ICC	NP	ICC
.	SENT	.
<p>
Along	IN	along
with	IN	with
an	DT	an
expert	NN	expert
panel	NN	panel
that	WDT	that
independently	RB	independently
reviewed	VBD	review
the	DT	the
evidence	NN	evidence
supporting	VBG	support
the	DT	the
application	NN	application
,	,	,
Khan	NP	Khan
concluded	VBD	conclude
there	EX	there
are	VBP	be
reasonable	JJ	reasonable
grounds	NNS	ground
to	TO	to
believe	VB	believe
Netanyahu	NP	<unknown>
and	CC	and
Gallant	JJ	gallant
are	VBP	be
criminally	RB	criminally
responsible	JJ	responsible
for	IN	for
starvation	NN	starvation
,	,	,
murder	NN	murder
,	,	,
intentional	JJ	intentional
attacks	NNS	attack
against	IN	against
civilians	NNS	civilian
,	,	,
extermination	NN	extermination
and	CC	and
persecution	NN	persecution
,	,	,
among	IN	among
other	JJ	other
crimes	NNS	crime
.	SENT	.
<p>
Khan	NP	Khan
alleges	VBZ	allege
these	DT	these
acts	NNS	act
are	VBP	be
part	NN	part
of	IN	of
a	DT	a
common	JJ	common
plan	NN	plan
"	''	"
to	TO	to
use	VB	use
starvation	NN	starvation
as	IN	as
a	DT	a
method	NN	method
of	IN	of
war	NN	war
and	CC	and
other	JJ	other
acts	NNS	act
of	IN	of
violence	NN	violence
,	,	,
"	''	"
both	CC	both
to	TO	to
achieve	VB	achieve
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
aims	NNS	aim
and	CC	and
to	TO	to
collectively	RB	collectively
punish	VB	punish
the	DT	the
civilian	JJ	civilian
population	NN	population
of	IN	of
Gaza	NP	Gaza
.	SENT	.
Under	IN	under
international	JJ	international
law	NN	law
,	,	,
the	DT	the
crime	NN	crime
of	IN	of
starvation	NN	starvation
includes	VBZ	include
not	RB	not
only	RB	only
the	DT	the
deliberate	JJ	deliberate
deprivation	NN	deprivation
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
including	VBG	include
water	NN	water
,	,	,
medicine	NN	medicine
and	CC	and
fuel	NN	fuel
.	SENT	.
<p>
The	DT	the
crimes	NNS	crime
alleged	VBN	allege
against	IN	against
Hamas	JJ	<unknown>
leaders	NNS	leader
Yahya	NP	Yahya
Sinwar	NP	<unknown>
,	,	,
Mohammed	NP	Mohammed
Deif	NP	<unknown>
and	CC	and
Ismail	NP	Ismail
Haniyeh	NP	<unknown>
include	VBP	include
hostage	NN	hostage
taking	VBG	take
,	,	,
murder	NN	murder
,	,	,
torture	NN	torture
,	,	,
extermination	NN	extermination
and	CC	and
sexual	JJ	sexual
violence	NN	violence
committed	VBN	commit
while	IN	while
in	IN	in
the	DT	the
context	NN	context
of	IN	of
captivity	NN	captivity
,	,	,
among	IN	among
others	NNS	other
.	SENT	.
<p>
Canadian	JJ	Canadian
officials	NNS	official
refused	VBD	refuse
to	TO	to
say	VB	say
whether	IN	whether
Canada	NP	Canada
would	MD	would
support	VB	support
the	DT	the
ICC	NP	ICC
'	POS	'
s	JJ	<unknown>
work	NN	work
with	IN	with
respect	NN	respect
to	TO	to
the	DT	the
case	NN	case
against	IN	against
Israeli	JJ	Israeli
leaders	NNS	leader
.	SENT	.
Foreign	NP	Foreign
Affairs	NPS	Affairs
Minister	NP	Minister
M	NP	M
?	SENT	?
lanie	NP	Lanie
Joly	NP	Joly
said	VBD	say
whether	IN	whether
Canada	NP	Canada
would	MD	would
agree	VB	agree
to	TO	to
execute	VB	execute
any	DT	any
eventual	JJ	eventual
arrest	NN	arrest
warrants	NNS	warrant
should	MD	should
Netanyahu	NP	<unknown>
or	CC	or
Gallant	JJ	gallant
visit	NN	visit
was	VBD	be
a	DT	a
"	``	"
hypothetical	JJ	hypothetical
"	''	"
question	NN	question
.	SENT	.
<p>
While	IN	while
Deputy	NP	Deputy
Prime	NP	Prime
Minister	NP	Minister
Chrystia	NP	<unknown>
