<p>
Several	JJ	several
former	JJ	former
hostages	NNS	hostage
and	CC	and
families	NNS	family
of	IN	of
hostages	NNS	hostage
demanded	VBD	demand
that	IN	that
Transportation	NP	Transportation
Minister	NP	Minister
Miri	NNS	mir
Regev	NP	<unknown>
not	RB	not
use	VBP	use
their	PP$	their
names	NNS	name
during	IN	during
the	DT	the
October	NP	October
7	CD	@card@
state	NN	state
memorial	NN	memorial
ceremony	NN	ceremony
.	SENT	.
<p>
Some	DT	some
100	CD	@card@
people	NNS	people
who	WP	who
returned	VBD	return
from	IN	from
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
,	,	,
along	RB	along
with	IN	with
families	NNS	family
of	IN	of
hostages	NNS	hostage
still	RB	still
being	VBG	be
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
,	,	,
made	VBD	make
their	PP$	their
request	NN	request
in	IN	in
a	DT	a
letter	NN	letter
sent	VBD	send
to	TO	to
Regev	NP	<unknown>
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
<p>
They	PP	they
demanded	VBD	demand
that	IN	that
she	PP	she
refrain	VB	refrain
from	IN	from
using	VBG	use
any	DT	any
information	NN	information
or	CC	or
images	NNS	image
of	IN	of
them	PP	them
or	CC	or
their	PP$	their
family	NN	family
members	NNS	member
still	RB	still
in	IN	in
captivity	NN	captivity
during	IN	during
the	DT	the
first-anniversary	JJ	first-anniversary
state	NN	state
ceremony	NN	ceremony
for	IN	for
the	DT	the
Hamas	JJ	<unknown>
massacre	NN	massacre
.	SENT	.
<p>
The	DT	the
letter	NN	letter
came	VBD	come
as	IN	as
part	NN	part
of	IN	of
a	DT	a
public	JJ	public
spat	NN	spat
between	IN	between
Regev	NP	<unknown>
and	CC	and
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
families	NNS	family
of	IN	of
hostages	NNS	hostage
over	IN	over
the	DT	the
upcoming	JJ	upcoming
one-year	JJ	one-year
commemoration	NN	commemoration
of	IN	of
the	DT	the
massacre	NN	massacre
.	SENT	.
Regev	NP	<unknown>
,	,	,
the	DT	the
government	NN	government
'	POS	'
s	JJ	<unknown>
nominee	NN	nominee
to	TO	to
lead	VB	lead
the	DT	the
commemoration	NN	commemoration
