<h>
Palestinian	JJ	Palestinian
boy	NN	boy
who	WP	who
lost	VBD	lose
both	DT	both
legs	NNS	leg
in	IN	in
Gaza	NP	Gaza
airstrike	NN	airstrike
lands	NNS	land
in	IN	in
Chicago	NP	Chicago
for	IN	for
care	NN	care
:	:	:
'	''	'
We	PP	we
are	VBP	be
so	RB	so
lucky	JJ	lucky
to	TO	to
be	VB	be
here	RB	here
'	POS	'
<h>
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
survived	VBD	survive
a	DT	a
bombing	NN	bombing
in	IN	in
April	NP	April
.	SENT	.
The	DT	the
13-year-old	JJ	13-year-old
,	,	,
his	PP$	his
sister	NN	sister
and	CC	and
mom	NN	mom
arrived	VBN	arrive
at	IN	at
O'Hare	NP	<unknown>
,	,	,
where	WRB	where
a	DT	a
crowd	NN	crowd
was	VBD	be
on	IN	on
hand	NN	hand
to	TO	to
greet	VB	greet
him	PP	him
and	CC	and
chant	VB	chant
his	PP$	his
name	NN	name
.	SENT	.
He	PP	he
will	MD	will
undergo	VB	undergo
surgery	NN	surgery
at	IN	at
Shriner	NP	Shriner
'	POS	'
s	NN	S
Hospital	NN	hospital
.	SENT	.
<p>
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
center	NN	center
,	,	,
his	PP$	his
mom	NN	mom
,	,	,
far	RB	far
right	RB	right
,	,	,
and	CC	and
his	PP$	his
sister	NN	sister
,	,	,
Lolo	NP	<unknown>
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
second	JJ	second
from	IN	from
right	NN	right
,	,	,
are	VBP	be
greeted	VBN	greet
by	IN	by
supporters	NNS	supporter
at	IN	at
O'Hare	NP	<unknown>
Airport	NP	Airport
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
On	IN	on
Friday	NP	Friday
,	,	,
Khalil	NP	Khalil
will	MD	will
meet	VB	meet
doctors	NNS	doctor
at	IN	at
Shriner	NP	Shriner
'	POS	'
s	JJ	<unknown>
Children	NNS	child
'	POS	'
s	NN	S
Chicago	NP	Chicago
,	,	,
where	WRB	where
he	PP	he
will	MD	will
undergo	VB	undergo
surgery	NN	surgery
to	TO	to
receive	VB	receive
two	CD	two
