<p>
Their	PP$	their
specific	JJ	specific
worries	NNS	worry
surround	VBP	surround
the	DT	the
March	NP	March
on	IN	on
the	DT	the
DNC	NN	DNC
,	,	,
a	DT	a
multi-group	NN	multi-group
effort	NN	effort
with	IN	with
a	DT	a
broad	JJ	broad
platform	NN	platform
of	IN	of
demands	NNS	demand
,	,	,
including	VBG	include
calling	VBG	call
for	IN	for
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
for	IN	for
the	DT	the
U.S.	NP	U.S.
to	TO	to
stop	VB	stop
sending	VBG	send
aid	NN	aid
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
Graduates	NNS	graduate
marched	VBD	march
out	RP	out
of	IN	of
the	DT	the
United	NP	United
Center	NP	Center
and	CC	and
held	VBD	hold
a	DT	a
ceremony	NN	ceremony
outside	NN	outside
for	IN	for
students	NNS	student
killed	VBN	kill
in	IN	in
Gaza	NP	Gaza
,	,	,
saying	VBG	say
the	DT	the
university	NN	university
was	VBD	be
complicit	JJ	complicit
in	IN	in
the	DT	the
war	NN	war
.	SENT	.
Counterprotesters	NP	Counterprotesters
called	VBD	call
those	DT	those
statements	NNS	statement
antisemitic	JJ	antisemitic
.	SENT	.
<p>
Students	NNS	student
delivered	VBD	deliver
a	DT	a
petition	NN	petition
calling	VBG	call
for	IN	for
the	DT	the
reinstatement	NN	reinstatement
of	IN	of
Anne	NP	Anne
d'Aquino	NP	d'Aquino
on	IN	on
Thursday	NP	Thursday
morning	NN	morning
.	SENT	.
She	PP	she
was	VBD	be
fired	VBN	fire
on	IN	on
May	NP	May
8	CD	@card@
after	IN	after
she	PP	she
offered	VBD	offer
an	DT	an
optional	JJ	optional
assignment	NN	assignment
,	,	,
asking	VBG	ask
students	NNS	student
to	TO	to
analyze	VB	analyze
the	DT	the
impact	NN	impact
of	IN	of
"	``	"
the	DT	the
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
on	IN	on
human	JJ	human
health	NN	health
.	SENT	.
"	``	"
<p>
District	NN	district
officials	NNS	official
responded	VBD	respond
to	TO	to
a	DT	a
public	JJ	public
outcry	NN	outcry
,	,	,
saying	VBG	say
a	DT	a
picture	NN	picture
in	IN	in
the	DT	the
yearbook	NN	yearbook
did	VBD	do
not	RB	not
reflect	VB	reflect
'	''	'
the	DT	the
values	NNS	value
and	CC	and
beliefs	NNS	belief
of	IN	of
Bartlett	NP	Bartlett
High	NP	High
School	NP	School
and	CC	and
School	NP	School
District	NP	District
U-46	NP	<unknown>
.	SENT	.
'	''	'
Members	NNS	member
of	IN	of
the	DT	the
Muslim	NP	Muslim
Student	NP	Student
Association	NP	Association
posted	VBD	post
a	DT	a
picture	NN	picture
of	IN	of
the	DT	the
image	NN	image
online	JJ	online
.	SENT	.
<p>
Many	JJ	many
students	NNS	student
carried	VBN	carry
--	:	--
and	CC	and
tore	VBD	tear
onstage	NN	onstage
--	:	--
flyers	NNS	flyer
with	IN	with
images	NNS	image
of	IN	of
a	DT	a
crown	NN	crown
,	,	,
bullets	NNS	bullet
and	CC	and
bombs	NNS	bomb
,	,	,
symbolizing	VBG	symbolize
the	DT	the
Crown	NP	Crown
family	NN	family
,	,	,
benefactors	NNS	benefactor
to	TO	to
the	DT	the
Art	NP	Art
Institute	NP	Institute
who	WP	who
students	NNS	student
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
neighborhood	NN	neighborhood
,	,	,
