<p>
Speaking	VBG	speak
to	TO	to
the	DT	the
BBC	NP	BBC
'	POS	'
s	NN	S
Good	NP	Good
Morning	NP	Morning
Scotland	NP	Scotland
programme	NN	programme
,	,	,
Robertson	NP	Robertson
was	VBD	be
asked	VBN	ask
if	IN	if
he	PP	he
could	MD	could
not	RB	not
have	VB	have
"	``	"
considered	VBN	consider
some	DT	some
of	IN	of
the	DT	the
risks	NNS	risk
"	''	"
of	IN	of
the	DT	the
meeting	NN	meeting
before	IN	before
it	PP	it
was	VBD	be
held	VBN	hold
.	SENT	.
<p>
He	PP	he
replied	VBD	reply
:	:	:
"	``	"
Well	RB	well
there	EX	there
were	VBD	be
meetings	NNS	meeting
ahead	RB	ahead
of	IN	of
the	DT	the
discussions	NNS	discussion
and	CC	and
they	PP	they
were	VBD	be
very	RB	very
closely	RB	closely
considered	VBN	consider
.	SENT	.
I	PP	I
think	VBP	think
in	IN	in
retrospect	NN	retrospect
...	:	...
"	``	"
<p>
At	IN	at
this	DT	this
point	NN	point
,	,	,
host	NN	host
Laura	NP	Laura
Maxwell	NP	Maxwell
interrupted	VBD	interrupt
to	TO	to
say	VB	say
"	''	"
but	CC	but
just	RB	just
not	RB	not
with	IN	with
the	DT	the
First	NP	First
Minister	NP	Minister
"	''	"
to	TO	to
which	WDT	which
Robertson	NP	Robertson
(	(	(
below	RB	below
)	)	)
replied	VBD	reply
:	:	:
"	``	"
If	IN	if
I	PP	I
can	MD	can
finish	VB	finish
what	WP	what
I	PP	I
was	VBD	be
just	RB	just
trying	VBG	try
to	TO	to
say	VB	say
.	SENT	.
<p>
"	``	"
I	PP	I
think	VBP	think
in	IN	in
retrospect	NN	retrospect
,	,	,
the	DT	the
main	JJ	main
problem	NN	problem
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
regret	VB	regret
telling	VBG	tell
the	DT	the
Israelis	NNS	Israeli
that	IN	that
they	PP	they
should	MD	should
stop	VB	stop
what	WP	what
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
in	IN	in
Gaza	NP	Gaza
,	,	,
that	WDT	that
humanitarian	JJ	humanitarian
supplies	NNS	supply
should	MD	should
be	VB	be
allowed	VBN	allow
in	IN	in
,	,	,
that	IN	that
a	DT	a
ceasefire	NN	ceasefire
should	MD	should
be	VB	be
agreed	VBN	agree
and	CC	and
that	IN	that
hostages	NNS	hostage
should	MD	should
be	VB	be
released	VBN	release
.	SENT	.
<p>
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
regret	VB	regret
passing	VBG	pass
that	DT	that
message	NN	message
on	RB	on
.	SENT	.
"	''	"
<p>
In	IN	in
his	PP$	his
statement	NN	statement
on	IN	on
Monday	NP	Monday
,	,	,
Robertson	NP	Robertson
contradicted	VBD	contradict
reports	NNS	report
saying	VBG	say
he	PP	he
had	VBD	have
been	VBN	be
asked	VBN	ask
to	TO	to
attend	VB	attend
the	DT	the
meeting	NN	meeting
by	IN	by
John	NP	John
Swinney	NP	Swinney
--	:	--
although	IN	although
he	PP	he
said	VBD	say
the	DT	the
First	NP	First
Minister	NP	Minister
was	VBD	be
aware	JJ	aware
it	PP	it
was	VBD	be
happening	VBG	happen
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
impression	NN	impression
"	''	"
which	WDT	which
was	VBD	be
created	VBN	create
that	IN	that
the	DT	the
meeting	NN	meeting
was	VBD	be
"	``	"
some	DT	some
sort	NN	sort
of	IN	of
normalisation	NN	normalisation
of	IN	of
relations	NNS	relation
with	IN	with
Israel	NP	Israel
"	''	"
.	SENT	.
<p>
He	PP	he
continued	VBD	continue
:	:	:
"	``	"
A	DT	a
whole	JJ	whole
series	NN	series
of	IN	of
issues	NNS	issue
were	VBD	be
raised	VBN	raise
by	IN	by
the	DT	the
Israelis	NPS	Israelis
...	:	...
"	``	"
<p>
At	IN	at
this	DT	this
point	NN	point
,	,	,
Maxwell	NP	Maxwell
interrupted	VBD	interrupt
to	TO	to
ask	VB	ask
,	,	,
"	''	"
such	JJ	such
as	IN	as
"	''	"
before	IN	before
Robertson	NP	Robertson
hit	VBD	hit
back	RB	back
and	CC	and
said	VBD	say
,	,	,
"	``	"
again	RB	again
,	,	,
can	MD	can
I	PP	I
finish	VB	finish
please	UH	please
"	''	"
.	SENT	.
<p>
He	PP	he
said	VBD	say
that	IN	that
the	DT	the
meeting	NN	meeting
had	VBD	have
also	RB	also
involved	VBN	involve
discussions	NNS	discussion
about	IN	about
topics	NNS	topic
such	JJ	such
as	IN	as
tourism	NN	tourism
and	CC	and
energy	NN	energy
,	,	,
and	CC	and
the	DT	the
Cabinet	NP	Cabinet
minister	NN	minister
conceded	VBD	concede
it	PP	it
was	VBD	be
not	RB	not
an	DT	an
"	``	"
appropriate	JJ	appropriate
space	NN	space
"	''	"
to	TO	to
do	VB	do
so	RB	so
.	SENT	.
<p>
Asked	VBN	ask
what	WP	what
he	PP	he
hoped	VBD	hope
to	TO	to
achieve	VB	achieve
by	IN	by
informing	VBG	inform
the	DT	the
ambassador	NN	ambassador
of	IN	of
the	DT	the
Scottish	NP	Scottish
Government	NP	Government
'	POS	'
s	NN	S
position	NN	position
,	,	,
Robertson	NP	Robertson
again	RB	again
hit	VBD	hit
back	RB	back
at	IN	at
the	DT	the
question	NN	question
,	,	,
saying	VBG	say
:	:	:
"	``	"
Are	VBP	be
you	PP	you
suggesting	VBG	suggest
the	DT	the
meeting	NN	meeting
should	MD	should
have	VB	have
taken	VBN	take
place	NN	place
and	CC	and
one	PP	one
would	MD	would
n't	RB	n't
raise	VB	raise
something	NN	something
that	WDT	that
is	VBZ	be
a	DT	a
matter	NN	matter
of	IN	of
such	JJ	such
concern	NN	concern
?	SENT	?
"	''	"
<p>
He	PP	he
went	VBD	go
on	RP	on
to	TO	to
say	VB	say
that	IN	that
the	DT	the
meeting	NN	meeting
is	VBZ	be
the	DT	the
"	``	"
norm	NN	norm
in	IN	in
diplomatic	JJ	diplomatic
relations	NNS	relation
"	''	"
and	CC	and
said	VBD	say
that	IN	that
countries	NNS	country
across	IN	across
the	DT	the
EU	NP	EU
were	VBD	be
informing	VBG	inform
Israeli	JJ	Israeli
diplomats	NNS	diplomat
of	IN	of
their	PP$	their
position	NN	position
.	SENT	.
<p>
Asked	VBN	ask
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
given	VBN	give
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
(	(	(
below	RB	below
)	)	)
has	VBZ	have
so	RB	so
far	RB	far
ignored	VBN	ignore
calls	NNS	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
<p>
(	(	(
Image	VB	image
:	:	:
Ohad	NP	<unknown>
Zwigenberg/AP	NP	<unknown>
)	)	)
<p>
Robertson	NP	Robertson
pointed	VBD	point
out	IN	out
it	PP	it
was	VBD	be
the	DT	the
Israelis	NPS	Israelis
who	WP	who
had	VBD	have
called	VBN	call
for	IN	for
the	DT	the
meeting	NN	meeting
and	CC	and
although	IN	although
the	DT	the
position	NN	position
would	MD	would
not	RB	not
change	VB	change
solely	RB	solely
based	VBN	base
on	IN	on
the	DT	the
Scottish	NP	Scottish
Government	NP	Government
'	POS	'
s	NN	S
position	NN	position
,	,	,
this	DT	this
did	VBD	do
not	RB	not
mean	VB	mean
"	``	"
one	CD	one
of	IN	of
the	DT	the
key	JJ	key
issues	NNS	issue
of	IN	of
the	DT	the
day	NN	day
"	``	"
could	MD	could
not	RB	not
be	VB	be
discussed	VBN	discuss
.	SENT	.
<p>
Maxwell	NP	Maxwell
then	RB	then
asked	VBD	ask
Robertson	NP	Robertson
if	IN	if
he	PP	he
would	MD	would
meet	VB	meet
with	IN	with
Palestinian	JJ	Palestinian
representatives	NNS	representative
and	CC	and
he	PP	he
said	VBD	say
:	:	:
"	``	"
Just	RB	just
on	IN	on
the	DT	the
general	JJ	general
position	NN	position
,	,	,
all	DT	all
meetings	NNS	meeting
need	VBP	need
to	TO	to
be	VB	be
considered	VBN	consider
.	SENT	.
But	CC	but
we	PP	we
have	VBP	have
met	VBN	meet
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
representative	NN	representative
office	NN	office
in	IN	in
the	DT	the
UK	NP	UK
,	,	,
in	IN	in
fact	NN	fact
it	PP	it
was	VBD	be
they	PP	they
who	WP	who
organised	VBD	organise
my	PP$	my
visit	NN	visit
to	TO	to
the	DT	the
West	NP	West
Bank	NP	Bank
and	CC	and
a	DT	a
meeting	NN	meeting
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
prime	JJ	prime
minister	NN	minister
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
<p>
"	``	"
So	RB	so
we	PP	we
have	VBP	have
an	DT	an
ongoing	JJ	ongoing
dialogue	NN	dialogue
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
delegation	NN	delegation
based	VBN	base
in	IN	in
the	DT	the
UK	NP	UK
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
said	VBD	say
what	WP	what
we	PP	we
had	VBD	have
to	TO	to
say	VB	say
because	IN	because
the	DT	the
situation	NN	situation
is	VBZ	be
so	RB	so
extreme	JJ	extreme
in	IN	in
Gaza	NP	Gaza
