<h>
Can	MD	can
Trump	NP	Trump
'	POS	'
s	NN	S
Real	JJ	real
Estate	NP	Estate
Instincts	NNS	instinct
Work	NN	work
In	IN	in
Gaza	NP	Gaza
?	SENT	?
<p>
The	DT	the
dramatic	JJ	dramatic
announcement	NN	announcement
that	IN	that
the	DT	the
US	NP	US
will	MD	will
be	VB	be
taking	VBG	take
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
was	VBD	be
made	VBN	make
after	IN	after
a	DT	a
three-hour	NN	three-hour
meeting	NN	meeting
with	IN	with
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
the	DT	the
first	JJ	first
foreign	JJ	foreign
leader	NN	leader
he	PP	he
met	VBD	meet
since	IN	since
taking	VBG	take
office	NN	office
<p>
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
dealt	VBN	deal
a	DT	a
death	NN	death
blow	NN	blow
to	TO	to
Palestinian	JJ	Palestinian
aspirations	NNS	aspiration
of	IN	of
returning	VBG	return
to	TO	to
their	PP$	their
homeland	NN	homeland
in	IN	in
Gaza	NP	Gaza
and	CC	and
rebuilding	VBG	rebuild
their	PP$	their
lives	NNS	life
,	,	,
while	IN	while
also	RB	also
fuelling	VBG	fuel
speculations	NNS	speculation
of	IN	of
US	NP	US
support	NN	support
for	IN	for
ethnic	JJ	ethnic
cleansing	NN	cleansing
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
The	DT	the
dramatic	JJ	dramatic
announcement	NN	announcement
that	IN	that
the	DT	the
US	NP	US
will	MD	will
be	VB	be
taking	VBG	take
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
was	VBD	be
made	VBN	make
after	IN	after
a	DT	a
three-hour	NN	three-hour
meeting	NN	meeting
with	IN	with
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
the	DT	the
first	JJ	first
foreign	JJ	foreign
leader	NN	leader
he	PP	he
met	VBD	meet
since	IN	since
taking	VBG	take
office	NN	office
.	SENT	.
Israel	NP	Israel
will	MD	will
naturally	RB	naturally
be	VB	be
delighted	VBN	delight
with	IN	with
Trump	NP	Trump
'	POS	'
s	NN	S
proposal	NN	proposal
,	,	,
as	RB	as
was	VBD	be
evidenced	VBN	evidence
by	IN	by
Netanyahu	NP	<unknown>
smiling	VBG	smile
through	IN	through
the	DT	the
presser	NN	presser
and	CC	and
heaping	VBG	heap
praise	NN	praise
on	IN	on
his	PP$	his
benefactor	NN	benefactor
.	SENT	.
<p>
Trump	NP	Trump
,	,	,
however	RB	however
,	,	,
couched	VBD	couch
the	DT	the
proposal	NN	proposal
in	IN	in
humanitarian	JJ	humanitarian
concern	NN	concern
for	IN	for
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
,	,	,
saying	VBG	say
earlier	RBR	earlier
that	IN	that
the	DT	the
place	NN	place
was	VBD	be
a	DT	a
"	``	"
hell	NN	hell
hole	NN	hole
"	''	"
and	CC	and
it	PP	it
was	VBD	be
impossible	JJ	impossible
for	IN	for
anyone	NN	anyone
to	TO	to
live	VB	live
there	RB	there
with	IN	with
dignity	NN	dignity
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
as	RB	as
well	RB	well
as	IN	as
other	JJ	other
Arab	JJ	Arab
countries	NNS	country
could	MD	could
accommodate	VB	accommodate
the	DT	the
displaced	VBN	displace
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
line	NN	line
with	IN	with
the	DT	the
demand	NN	demand
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
far-right	JJ	far-right
to	TO	to
send	VB	send
Palestinians	NNS	Palestinian
living	VBG	live
in	IN	in
Gaza	NP	Gaza
to	TO	to
the	DT	the
Sinai	NP	Sinai
desert	NN	desert
in	IN	in
Egypt	NP	Egypt
.	SENT	.
Both	DT	both
Egypt	NP	Egypt
and	CC	and
Jordan	NP	Jordan
have	VBP	have
rejected	VBN	reject
the	DT	the
idea	NN	idea
earlier	RBR	earlier
.	SENT	.
<p>
Trump	NP	Trump
placed	VBD	place
the	DT	the
broad	JJ	broad
point	NN	point
of	IN	of
driving	VBG	drive
away	RP	away
Palestinians	NNS	Palestinian
from	IN	from
their	PP$	their
homeland	NN	homeland
is	VBZ	be
in	IN	in
language	NN	language
of	IN	of
concern	NN	concern
for	IN	for
the	DT	the
devastated	JJ	devastated
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
He	PP	he
said	VBD	say
that	IN	that
Palestinians	NPS	Palestinians
have	VBP	have
no	DT	no
alternative	NN	alternative
but	CC	but
to	TO	to
leave	VB	leave
Gaza	NP	Gaza
and	CC	and
go	VB	go
somewhere	RB	somewhere
"	``	"
good	JJ	good
,	,	,
fresh	JJ	fresh
,	,	,
beautiful	JJ	beautiful
"	``	"
where	WRB	where
they	PP	they
could	MD	could
have	VB	have
a	DT	a
great	JJ	great
life	NN	life
.	SENT	.
He	PP	he
spoke	VBD	speak
of	IN	of
turning	VBG	turn
war-torn	JJ	war-torn
Gaza	NP	Gaza
into	IN	into
the	DT	the
"	``	"
riviera	NP	Riviera
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
.	SENT	.
Steve	NP	Steve
Witkoff	NP	<unknown>
,	,	,
the	DT	the
Trump	NP	Trump
administration	NN	administration
'	POS	'
s	JJ	<unknown>
envoy	NN	envoy
for	IN	for
the	DT	the
region	NN	region
who	WP	who
was	VBD	be
praised	VBN	praise
for	IN	for
getting	VBG	get
Netanyahu	NP	<unknown>
to	TO	to
agree	VB	agree
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
deal	NN	deal
,	,	,
doubled	VBD	double
down	RP	down
on	IN	on
his	PP$	his
boss	NN	boss
and	CC	and
said	VBD	say
that	IN	that
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
"	''	"
will	MD	will
probably	RB	probably
