<h>
Just	RB	just
In	IN	in
<h>
Citing	VBG	cite
examples	NNS	example
from	IN	from
various	JJ	various
conflict	NN	conflict
zones	NNS	zone
in	IN	in
Ukraine	NP	Ukraine
and	CC	and
Syria	NP	Syria
,	,	,
Reuven	NP	Reuven
Azar	NP	Azar
,	,	,
the	DT	the
Ambassador	NP	Ambassador
of	IN	of
Israel	NP	Israel
to	TO	to
India	NP	India
,	,	,
has	VBZ	have
backed	VBN	back
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
proposal	NN	proposal
to	TO	to
relocate	VB	relocate
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Palestinian	JJ	Palestinian
population	NN	population
to	TO	to
neighbouring	VBG	neighbour
countries	NNS	country
.	SENT	.
<p>
New	NP	New
Delhi	NP	Delhi
:	:	:
Citing	VBG	cite
examples	NNS	example
from	IN	from
various	JJ	various
conflict	NN	conflict
zones	NNS	zone
in	IN	in
Ukraine	NP	Ukraine
and	CC	and
Syria	NP	Syria
,	,	,
Reuven	NP	Reuven
Azar	NP	Azar
,	,	,
the	DT	the
Ambassador	NP	Ambassador
of	IN	of
Israel	NP	Israel
to	TO	to
India	NP	India
,	,	,
has	VBZ	have
backed	VBN	back
US	NP	US
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
proposal	NN	proposal
to	TO	to
relocate	VB	relocate
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Palestinian	JJ	Palestinian
population	NN	population
to	TO	to
neighbouring	VBG	neighbour
countries	NNS	country
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
an	DT	an
anomaly	NN	anomaly
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
Gaza	NP	Gaza
.	SENT	.
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
conflicts	NNS	conflict
in	IN	in
the	DT	the
region	NN	region
and	CC	and
outside	JJ	outside
,	,	,
you	PP	you
can	MD	can
see	VB	see
very	RB	very
clearly	RB	clearly
.	SENT	.
For	IN	for
example	NN	example
,	,	,
when	WRB	when
the	DT	the
Russia-Ukraine	NN	<unknown>
war	NN	war
started	VBD	start
,	,	,
five	CD	five
million	CD	million
Ukrainians	NP	Ukrainians
left	VBD	leave
Ukraine	NP	Ukraine
.	SENT	.
When	WRB	when
there	EX	there
was	VBD	be
a	DT	a
civil	JJ	civil
war	NN	war
in	IN	in
Syria	NP	Syria
,	,	,
eight	CD	eight
million	CD	million
Syrians	NNS	Syrian
left	VBN	leave
Syria	NP	Syria
.	SENT	.
So	RB	so
in	IN	in
any	DT	any
conflict	NN	conflict
zone	NN	zone
,	,	,
people	NNS	people
are	VBP	be
being	VBG	be
allowed	VBN	allow
to	TO	to
go	VB	go
to	TO	to
refuge	NN	refuge
,	,	,
to	TO	to
go	VB	go
to	TO	to
