<p>
Donald	NP	Donald
Trump	NP	Trump
,	,	,
the	DT	the
President	NP	President
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
,	,	,
recently	RB	recently
shared	VBN	share
an	DT	an
AI-produced	JJ	<unknown>
video	NN	video
on	IN	on
his	PP$	his
official	JJ	official
social	JJ	social
media	NNS	medium
accounts	NNS	account
that	WDT	that
shocked	VBD	shock
many	JJ	many
.	SENT	.
<p>
The	DT	the
video	NN	video
presented	VBD	present
a	DT	a
computer-generated	JJ	computer-generated
vision	NN	vision
of	IN	of
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
property	NN	property
development	NN	development
plan	NN	plan
for	IN	for
Gaza	NP	Gaza
,	,	,
under	IN	under
which	WDT	which
he	PP	he
said	VBD	say
he	PP	he
wants	VBZ	want
to	TO	to
"	``	"
clean	VB	clean
out	RP	out
"	``	"
the	DT	the
population	NN	population
of	IN	of
about	RB	about
2	CD	@card@
million	CD	million
people	NNS	people
.	SENT	.
<p>
This	DT	this
proposal	NN	proposal
of	IN	of
turning	VBG	turn
Gaza	NP	Gaza
into	IN	into
a	DT	a
playground	NN	playground
for	IN	for
the	DT	the
rich	JJ	rich
has	VBZ	have
drawn	VBN	draw
heavy	JJ	heavy
criticism	NN	criticism
from	IN	from
many	JJ	many
,	,	,
including	VBG	include
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
own	JJ	own
supporters	NNS	supporter
.	SENT	.
<p>
Image	NN	image
:	:	:
instagram	NN	<unknown>
@realdonaldtrump	NN	@realdonaldtrump
<p>
The	DT	the
"	``	"
Riviera	NP	Riviera
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
,	,	,
as	IN	as
Trump	NP	Trump
calls	VBZ	call
it	PP	it
,	,	,
is	VBZ	be
shown	VBN	show
as	IN	as
a	DT	a
Dubai-style	NP	Dubai-style
resort	NN	resort
with	IN	with
luxury	NN	luxury
skyscrapers	NNS	skyscraper
and	CC	and
yachts	NNS	yacht
,	,	,
with	IN	with
Trump	NP	Trump
presented	VBD	present
as	IN	as
a	DT	a
revered	VBN	revere
icon	NN	icon
via	IN	via
a	DT	a
gold	JJ	gold
statue	NN	statue
of	IN	of
himself	PP	himself
which	WDT	which
can	MD	can
be	VB	be
seen	VBN	see
in	IN	in
the	DT	the
footage	NN	footage
.	SENT	.
<p>
Many	JJ	many
on	IN	on
social	JJ	social
media	NNS	medium
agree	VBP	agree
that	IN	that
the	DT	the
video	NN	video
is	VBZ	be
in	IN	in
incredibly	RB	incredibly
poor	JJ	poor
taste	NN	taste
,	,	,
as	IN	as
it	PP	it
depicts	VBZ	depict
the	DT	the
leaders	NNS	leader
of	IN	of
America	NP	America
and	CC	and
Israel	NP	Israel
having	VBG	have
the	DT	the
time	NN	time
of	IN	of
their	PP$	their
lives	NNS	life
on	IN	on
soil	NN	soil
where	WRB	where
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinian	JJ	Palestinian
men	NNS	man
,	,	,
women	NNS	woman
,	,	,
and	CC	and
children	NNS	child
were	VBD	be
killed	VBN	kill
.	SENT	.
<h>
Trump	NN	trump
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
his	PP$	his
plan	NN	plan
,	,	,
Gaza	NP	Gaza
would	MD	would
be	VB	be
handed	VBN	hand
over	RP	over
to	TO	to
the	DT	the
US	NP	US
by	IN	by
Israel	NP	Israel
and	CC	and
its	PP$	its
residents	NNS	resident
are	VBP	be
encouraged	VBN	encourage
to	TO	to
move	VB	move
elsewhere	RB	elsewhere
,	,	,
with	IN	with
no	DT	no
right	NN	right
of	IN	of
return	NN	return
.	SENT	.
<p>
This	DT	this
proposal	NN	proposal
has	VBZ	have
been	VBN	be
condemned	VBN	condemn
across	IN	across
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
as	RB	as
well	RB	well
as	IN	as
close	JJ	close
allies	NNS	ally
of	IN	of
the	DT	the
US	NP	US
and	CC	and
the	DT	the
United	NP	United
Nations	NPS	Nations
.	SENT	.
<h>
Where	WRB	where
does	VBZ	do
he	PP	he
plan	VBP	plan
to	TO	to
send	VB	send
the	DT	the
displaced	VBN	displace
Palestinians	NNS	Palestinian
?	SENT	?
<p>
Despite	IN	despite
resistance	NN	resistance
from	IN	from
regional	JJ	regional
leaders	NNS	leader
,	,	,
Trump	NP	Trump
has	VBZ	have
pressured	VBN	pressure
Jordan	NP	Jordan
and	CC	and
Egypt	NP	Egypt
to	TO	to
accept	VB	accept
Gaza	NP	Gaza
'	POS	'
s	NN	S
2.2	CD	@card@
million	CD	million
residents	NNS	resident
--	:	--
threatening	VBG	threaten
to	TO	to
withhold	VB	withhold
aid	NN	aid
if	IN	if
they	PP	they
refuse	VBP	refuse
.	SENT	.
For	IN	for
fear	NN	fear
of	IN	of
destabilising	VBG	destabilise
the	DT	the
region	NN	region
,	,	,
both	CC	both
nations	NNS	nation
rejected	VBD	reject
the	DT	the
idea	NN	idea
.	SENT	.
<p>
Trump	NP	Trump
also	RB	also
said	VBD	say
that	IN	that
Palestinians	NPS	Palestinians
would	MD	would
have	VB	have
no	DT	no
right	NN	right
to	TO	to
return	VB	return
to	TO	to
Gaza	NP	Gaza
under	IN	under
his	PP$	his
plan	NN	plan
,	,	,
and	CC	and
instead	RB	instead
suggested	VBD	suggest
building	VBG	build
up	RP	up
to	TO	to
six	CD	six
"	``	"
safe	JJ	safe
communities	NNS	community
"	''	"
outside	IN	outside
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
American	JJ	American
president	NN	president
believes	VBZ	believe
that	IN	that
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
residents	NNS	resident
,	,	,
the	DT	the
idyllic	JJ	idyllic
,	,	,
American-owned	JJ	American-owned
"	``	"
Riviera	NP	Riviera
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
"	''	"
will	MD	will
rise	VB	rise
from	IN	from
the	DT	the
ashes	NNS	ash
,	,	,
providing	VBG	provide
thousands	NNS	thousand
of	IN	of
jobs	NNS	job
,	,	,
investment	NN	investment
opportunities	NNS	opportunity
,	,	,
and	CC	and
ultimately	RB	ultimately
,	,	,
a	DT	a
place	NN	place
for	IN	for
"	``	"
the	DT	the
world	NN	world
'	POS	'
s	NN	S
people	NNS	people
to	TO	to
live	VB	live
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
World	NP	World
War	NP	War
I	NP	I
,	,	,
Britain	NP	Britain
issued	VBD	issue
the	DT	the
Balfour	NP	Balfour
Declaration	NP	Declaration
(	(	(
1917	CD	@card@
)	)	)
,	,	,
stating	VBG	state
support	NN	support
for	IN	for
a	DT	a
"	``	"
national	JJ	national
home	NN	home
for	IN	for
the	DT	the
Jewish	JJ	Jewish
people	NNS	people
"	''	"
in	IN	in
Palestine	NP	Palestine
,	,	,
while	IN	while
also	RB	also
saying	VBG	say
that	IN	that
this	DT	this
should	MD	should
not	RB	not
harm	VB	harm
the	DT	the
rights	NNS	right
of	IN	of
existing	VBG	exist
non-Jewish	NP	non-Jewish
communities	NNS	community
.	SENT	.
<p>
At	IN	at
the	DT	the
time	NN	time
,	,	,
Palestine	NP	Palestine
was	VBD	be
still	RB	still
under	IN	under
the	DT	the
Ottoman	NP	Ottoman
Empire	NP	Empire
'	POS	'
s	NN	S
rule	NN	rule
.	SENT	.
<p>
Fast	RB	fast
forward	RB	forward
to	TO	to
1920	CD	@card@
,	,	,
the	DT	the
League	NP	League
of	IN	of
Nations	NPS	Nations
(	(	(
the	DT	the
first	JJ	first
worldwide	JJ	worldwide
intergovernmental	JJ	intergovernmental
organisation	NN	organisation
to	TO	to
maintain	VB	maintain
world	NN	world
peace	NN	peace
)	)	)
,	,	,
gave	VBD	give
Britain	NP	Britain
control	NN	control
over	IN	over
Palestine	NP	Palestine
under	IN	under
the	DT	the
British	JJ	British
Mandate	NN	mandate
.	SENT	.
<p>
From	IN	from
1920	CD	@card@
to	TO	to
1948	CD	@card@
,	,	,
Britain	NP	Britain
facilitated	VBD	facilitate
Jewish	JJ	Jewish
immigration	NN	immigration
,	,	,
especially	RB	especially
due	JJ	due
to	TO	to
rising	VBG	rise
antisemitism	NN	<unknown>
in	IN	in
Europe	NP	Europe
.	SENT	.
However	RB	however
,	,	,
they	PP	they
also	RB	also
tried	VBD	try
to	TO	to
limit	VB	limit
immigration	NN	immigration
at	IN	at
times	NNS	time
due	JJ	due
to	TO	to
pressure	VB	pressure
from	IN	from
Arab	JJ	Arab
resistance	NN	resistance
.	SENT	.
<p>
As	IN	as
Jewish	JJ	Jewish
immigration	NN	immigration
increased	VBD	increase
,	,	,
tensions	NNS	tension
between	IN	between
Jews	NPS	Jews
and	CC	and
Arabs	NPS	Arabs
in	IN	in
Palestine	NP	Palestine
escalated	VBD	escalate
.	SENT	.
Violence	NN	violence
between	IN	between
Jewish	JJ	Jewish
and	CC	and
Arab	JJ	Arab
groups	NNS	group
,	,	,
as	RB	as
well	RB	well
as	IN	as
against	IN	against
the	DT	the
British	NP	British
made	VBD	make
governing	VBG	govern
the	DT	the
region	NN	region
difficult	JJ	difficult
.	SENT	.
<p>
So	RB	so
what	WP	what
did	VBD	do
the	DT	the
Brits	NNS	brit
do	VBP	do
to	TO	to
resolve	VB	resolve
this	DT	this
?	SENT	?
They	PP	they
handed	VBD	hand
the	DT	the
issue	NN	issue
over	IN	over
to	TO	to
the	DT	the
United	NP	United
Nations	NPS	Nations
(	(	(
UN	NP	UN
)	)	)
.	SENT	.
<h>
Two-state	NN	two-state
solution	NN	solution
and	CC	and
the	DT	the
creation	NN	creation
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
UN	NP	UN
proposed	VBD	propose
a	DT	a
partition	NN	partition
plan	NN	plan
recommending	VBG	recommend
separate	JJ	separate
Arab	JJ	Arab
and	CC	and
Jewish	JJ	Jewish
states	NNS	state
with	IN	with
Jerusalem	NP	Jerusalem
as	IN	as
an	DT	an
international	JJ	international
zone	NN	zone
.	SENT	.
<p>
The	DT	the
Arab	JJ	Arab
leaders	NNS	leader
rejected	VBD	reject
it	PP	it
but	CC	but
Jewish	JJ	Jewish
leaders	NNS	leader
were	VBD	be
all	RB	all
for	IN	for
it	PP	it
.	SENT	.
<p>
In	IN	in
1948	CD	@card@
,	,	,
Britain	NP	Britain
went	VBD	go
back	RB	back
home	NN	home
to	TO	to
their	PP$	their
tea	NN	tea
and	CC	and
biscuits	NNS	biscuit
and	CC	and
Jewish	JJ	Jewish
leaders	NNS	leader
declared	VBD	declare
the	DT	the
establishement	NN	<unknown>
of	IN	of
Israel	NP	Israel
.	SENT	.
<p>
Guess	NN	guess
what	WP	what
else	RB	else
happened	VBD	happen
in	IN	in
1948	CD	@card@
?	SENT	?
The	DT	the
Arab-Israeli	NP	Arab-Israeli
War	NP	War
,	,	,
otherwise	RB	otherwise
known	VBN	know
as	IN	as
"	``	"
Nakba	NP	<unknown>
"	''	"
or	CC	or
"	``	"
The	DT	the
Catastrophe	NN	catastrophe
"	''	"
to	TO	to
Palestinians	NPS	Palestinians
.	SENT	.
<p>
Image	NN	image
:	:	:
Arab	NP	Arab
Center	NP	Center
Washington	NP	Washington
DC	NP	DC
<p>
According	VBG	accord
to	TO	to
a	DT	a
UN	NP	UN
writeup	NN	writeup
about	IN	about
the	DT	the
Nakba	NP	<unknown>
,	,	,
in	IN	in
1948	CD	@card@
Jewish	JJ	Jewish
militias	NNS	militia
launched	VBD	launch
attacks	NNS	attack
against	IN	against
Palestinian	JJ	Palestinian
villages	NNS	village
until	IN	until
it	PP	it
escalated	VBD	escalate
into	IN	into
a	DT	a
full-blown	JJ	full-blown
war	NN	war
that	WDT	that
went	VBD	go
on	IN	on
for	IN	for
decades	NNS	decade
.	SENT	.
<p>
So	RB	so
,	,	,
class	NN	class
,	,	,
from	IN	from
what	WP	what
we	PP	we
have	VBP	have
learned	VBN	learn
here	RB	here
today	NN	today
,	,	,
we	PP	we
can	MD	can
gather	VB	gather
that	IN	that
the	DT	the
British	NP	British
had	VBD	have
no	DT	no
business	NN	business
sending	VBG	send
people	NNS	people
to	TO	to
a	DT	a
land	NN	land
they	PP	they
did	VBD	do
not	RB	not
own	JJ	own
and	CC	and
then	RB	then
just	RB	just
left	VBN	leave
the	DT	the
mess	NN	mess
they	PP	they
created	VBD	create
for	IN	for
someone	NN	someone
else	RB	else
to	TO	to
clean	VB	clean
up	RP	up
.	SENT	.
<p>
Today	NN	today
,	,	,
Palestinians	NPS	Palestinians
are	VBP	be
getting	VBG	get
their	PP$	their
land	NN	land
taken	VBN	take
over	IN	over
once	RB	once
more	JJR	more
and	CC	and
could	MD	could
now	RB	now
potentially	RB	potentially
be	VB	be
forced	VBN	force
out	RP	out
to	TO	to
make	VB	make
way	NN	way
for	IN	for
another	DT	another
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
they	PP	they
used	VBD	use
to	TO	to
eat	VB	eat
,	,	,
sleep	VB	sleep
,	,	,
learn	VB	learn
,	,	,
play	VB	play
,	,	,
and	CC	and
live	VBP	live
for	IN	for
generations	NNS	generation
.	SENT	.
