<h>
Can	MD	can
Israelis	NPS	Israelis
and	CC	and
Palestinians	NPS	Palestinians
co-exist	NN	<unknown>
?	SENT	?
<p>
Even	RB	even
though	IN	though
it	PP	it
does	VBZ	do
not	RB	not
affect	VB	affect
the	DT	the
Philippines	NPS	Philippine
directly	RB	directly
,	,	,
the	DT	the
conflict	NN	conflict
in	IN	in
Palestine	NP	Palestine
and	CC	and
Israel	NP	Israel
has	VBZ	have
worldwide	JJ	worldwide
consequences	NNS	consequence
.	SENT	.
The	DT	the
violence	NN	violence
caused	VBN	cause
by	IN	by
this	DT	this
conflict	NN	conflict
has	VBZ	have
begun	VBN	begin
to	TO	to
escalate	VB	escalate
way	NN	way
beyond	IN	beyond
the	DT	the
borders	NNS	border
of	IN	of
Gaza	NP	Gaza
and	CC	and
Israel	NP	Israel
.	SENT	.
For	IN	for
example	NN	example
,	,	,
the	DT	the
Houthi	NP	<unknown>
rebels	NNS	rebel
in	IN	in
southern	JJ	southern
Yemen	NP	Yemen
have	VBP	have
begun	VBN	begin
to	TO	to
send	VB	send
missiles	NNS	missile
to	TO	to
all	DT	all
ships	NNS	ship
passing	VBG	pass
through	IN	through
the	DT	the
Red	NP	Red
Sea	NP	Sea
.	SENT	.
This	DT	this
has	VBZ	have
forced	VBN	force
shipping	NN	shipping
between	IN	between
Asia	NP	Asia
and	CC	and
Europe	NP	Europe
to	TO	to
avoid	VB	avoid
the	DT	the
Red	NP	Red
Sea	NP	Sea
and	CC	and
Suez	NP	Suez
Canal	NP	Canal
and	CC	and
take	VB	take
the	DT	the
longer	JJR	long
route	NN	route
passing	VBG	pass
around	IN	around
the	DT	the
tip	NN	tip
of	IN	of
Africa	NP	Africa
.	SENT	.
<p>
The	DT	the
story	NN	story
of	IN	of
the	DT	the
conflict	NN	conflict
between	IN	between
the	DT	the
Palestinian	NP	Palestinian
Arabs	NPS	Arabs
and	CC	and
the	DT	the
Jewish	JJ	Jewish
settlers	NNS	settler
really	RB	really
started	VBD	start
after	IN	after
the	DT	the
Second	NP	Second
World	NP	World
War	NP	War
.	SENT	.
It	PP	it
was	VBD	be
then	RB	then
that	IN	that
most	JJS	most
of	IN	of
the	DT	the
Western	JJ	Western
world	NN	world
were	VBD	be
supporting	VBG	support
the	DT	the
idea	NN	idea
of	IN	of
establishing	VBG	establish
a	DT	a
Jewish	JJ	Jewish
homeland	NN	homeland
for	IN	for
all	PDT	all
the	DT	the
predominantly	RB	predominantly
European	JJ	European
Jews	NPS	Jews
who	WP	who
had	VBD	have
been	VBN	be
subject	JJ	subject
to	TO	to
persecution	NN	persecution
by	IN	by
the	DT	the
Nazis	NPS	Nazis
of	IN	of
Germany	NP	Germany
.	SENT	.
<p>
Like	IN	like
many	JJ	many
others	NNS	other
in	IN	in
Europe	NP	Europe
,	,	,
the	DT	the
Americas	NPS	America
and	CC	and
even	RB	even
Asia	NP	Asia
,	,	,
I	PP	I
was	VBD	be
personally	RB	personally
sympathetic	JJ	sympathetic
to	TO	to
the	DT	the
establishment	NN	establishment
of	IN	of
a	DT	a
Jewish	JJ	Jewish
homeland	NN	homeland
.	SENT	.
I	PP	I
realize	VBP	realize
now	RB	now
that	IN	that
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
sympathy	NN	sympathy
was	VBD	be
the	DT	the
result	NN	result
of	IN	of
Western	JJ	Western
propaganda	NN	propaganda
.	SENT	.
The	DT	the
book	NN	book
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	''	"
written	VBN	write
by	IN	by
Leon	NP	Leon
Uris	NP	Uris
.	SENT	.
It	PP	it
is	VBZ	be
basically	RB	basically
the	DT	the
story	NN	story
of	IN	of
the	DT	the
war	NN	war
of	IN	of
independence	NN	independence
in	IN	in
1948	CD	@card@
when	WRB	when
the	DT	the
waves	NNS	wave
of	IN	of
Jewish	JJ	Jewish
migrants	NNS	migrant
coming	VBG	come
from	IN	from
Europe	NP	Europe
were	VBD	be
able	JJ	able
to	TO	to
drive	VB	drive
out	RP	out
the	DT	the
Palestinian	JJ	Palestinian
Arabs	NNS	Arab
from	IN	from
Palestine	NP	Palestine
.	SENT	.
<p>
At	IN	at
that	DT	that
time	NN	time
,	,	,
Uris	NP	Uris
