<h>
Deadly	JJ	deadly
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
,	,	,
where	WRB	where
medical	JJ	medical
staff	NN	staff
raced	VBD	race
to	TO	to
treat	VB	treat
a	DT	a
flood	NN	flood
of	IN	of
wounded	JJ	wounded
patients	NNS	patient
,	,	,
including	VBG	include
children	NNS	child
.	SENT	.
AFP	NP	AFP
could	MD	could
not	RB	not
immediately	RB	immediately
confirm	VB	confirm
whether	IN	whether
they	PP	they
were	VBD	be
victims	NNS	victim
of	IN	of
the	DT	the
same	JJ	same
strike	NN	strike
.	SENT	.
<p>
The	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
,	,	,
which	WDT	which
started	VBD	start
with	IN	with
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
much	JJ	much
of	IN	of
the	DT	the
territory	NN	territory
'	POS	'
s	JJ	<unknown>
north	NN	north
in	IN	in
ruins	NNS	ruin
,	,	,
while	IN	while
the	DT	the
battlefront	NN	battlefront
has	VBZ	have
shifted	VBN	shift
ever	RB	ever
further	RBR	further
to	TO	to
the	DT	the
south	NN	south
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
vowed	VBN	vow
to	TO	to
destroy	VB	destroy
Hamas	NNS	<unknown>
in	IN	in
retaliation	NN	retaliation
for	IN	for
the	DT	the
attack	NN	attack
,	,	,
which	WDT	which
left	VBD	leave
about	RB	about
1,140	CD	@card@
people	NNS	people
dead	JJ	dead
,	,	,
mostly	RB	mostly
civilians	NNS	civilian
,	,	,
according	VBG	accord
to	TO	to
an	DT	an
AFP	NP	AFP
tally	NN	tally
based	VBN	base
on	IN	on
Israeli	JJ	Israeli
figures	NNS	figure
.	SENT	.
<p>
Around	IN	around
250	CD	@card@
hostages	NNS	hostage
were	VBD	be
also	RB	also
taken	VBN	take
during	IN	during
the	DT	the
attack	NN	attack
,	,	,
more	JJR	more
than	IN	than
half	DT	half
of	IN	of
whom	WP	whom
remain	VBP	remain
captive	JJ	captive
-	NN	<unknown>
a	DT	a
source	NN	source
of	IN	of
intense	JJ	intense
anxiety	NN	anxiety
for	IN	for
their	PP$	their
families	NNS	family
,	,	,
who	WP	who
protested	VBD	protest
in	IN	in
Jerusalem	NP	Jerusalem
on	IN	on
Thursday	NP	Thursday
with	IN	with
the	DT	the
demand	NN	demand
to	TO	to
"	``	"
bring	VB	bring
them	PP	them
home	NN	home
"	''	"
.	SENT	.
<p>
The	DT	the
Israeli	JJ	Israeli
army	NN	army
says	VBZ	say
167	CD	@card@
of	IN	of
its	PP$	its
soldiers	NNS	soldier
have	VBP	have
been	VBN	be
killed	VBN	kill
inside	IN	inside
Gaza	NP	Gaza
in	IN	in
its	PP$	its
fight	NN	fight
against	IN	against
Hamas	NP	<unknown>
,	,	,
which	WDT	which
Israel	NP	Israel
,	,	,
the	DT	the
United	NP	United
States	NPS	States
,	,	,
and	CC	and
the	DT	the
European	NP	European
Union	NP	Union
consider	VBP	consider
a	DT	a
"	``	"
terrorist	JJ	terrorist
"	''	"
group	NN	group
.	SENT	.
<p>
'	''	'
MY	PP$	my
DAUGHTERS	NNS	daughter
WERE	VBD	be
SCREAMING	VBG	scream
'	''	'
<p>
The	DT	the
Israeli	JJ	Israeli
army	NN	army
recently	RB	recently
said	VBD	say
it	PP	it
had	VBD	have
deployed	VBN	deploy
an	DT	an
additional	JJ	additional
brigade	NN	brigade
to	TO	to
Khan	NP	Khan
Yunis	NP	Yunis
,	,	,
hometown	NN	hometown
of	IN	of
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
Gaza	NP	Gaza
leader	NN	leader
Yahya	NP	Yahya
Sinwar	NP	<unknown>
,	,	,
where	WRB	where
AFP	NP	AFP
correspondents	NNS	correspondent
reported	VBD	report
sustained	JJ	sustained
air	NN	air
and	CC	and
artillery	NN	artillery
strikes	NNS	strike
.	SENT	.
<p>
"	``	"
The	DT	the
missions	NNS	mission
that	IN	that
our	PP$	our
forces	NNS	force
are	VBP	be
carrying	VBG	carry
out	RP	out
in	IN	in
Khan	NP	Khan
Yunis	NP	Yunis
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
never	RB	never
been	VBN	be
before	RB	before
,	,	,
taking	VBG	take
over	IN	over
control	NN	control
rooms	NNS	room
and	CC	and
eliminating	VBG	eliminate
terrorists	NNS	terrorist
,	,	,
"	''	"
Israeli	NP	Israeli
Minister	NP	Minister
of	IN	of
Defence	NN	defence
Yoav	NP	<unknown>
Gallant	NN	gallant
told	VBD	tell
soldiers	NNS	soldier
on	IN	on
Thursday	NP	Thursday
.	SENT	.
<p>
Israel	NP	Israel
has	VBZ	have
repeatedly	RB	repeatedly
said	VBN	say
that	IN	that
one	CD	one
of	IN	of
the	DT	the
chief	JJ	chief
goals	NNS	goal
of	IN	of
the	DT	the
war	NN	war
is	VBZ	be
the	DT	the
return	NN	return
of	IN	of
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
On	IN	on
Thursday	NP	Thursday
a	DT	a
kibbutz	NN	kibbutz
announced	VBD	announce
that	IN	that
a	DT	a
70-year-old	JJ	70-year-old
US-Israeli	NP	US-Israeli
national	JJ	national
thought	VBD	think
to	TO	to
be	VB	be
the	DT	the
oldest	JJS	old
woman	NN	woman
held	JJ	held
captive	NN	captive
had	VBD	have
died	VBN	die
in	IN	in
the	DT	the
7	CD	@card@
October	NP	October
attacks	NNS	attack
.	SENT	.
<p>
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
said	VBD	say
he	PP	he
was	VBD	be
"	``	"
devastated	VBN	devastate
"	''	"
by	IN	by
the	DT	the
news	NN	news
that	IN	that
Judith	NP	Judith
Weinstein	NP	Weinstein
Haggai	NP	<unknown>
was	VBD	be
dead	JJ	dead
and	CC	and
pledged	VBD	pledge
that	IN	that
Washington	NP	Washington
would	MD	would
"	``	"
not	RB	not
stop	VB	stop
working	VBG	work
"	``	"
with	IN	with
its	PP$	its
ally	NN	ally
Israel	NP	Israel
to	TO	to
bring	VB	bring
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
home	NN	home
.	SENT	.
<p>
More	JJR	more
than	IN	than
80	CD	@card@
%	NN	%
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
2.4	CD	@card@
million	CD	million
people	NNS	people
have	VBP	have
been	VBN	be
driven	VBN	drive
from	IN	from
their	PP$	their
homes	NNS	home
,	,	,
the	DT	the
UN	NP	UN
says	VBZ	say
,	,	,
and	CC	and
many	RB	many
now	RB	now
live	VB	live
in	IN	in
cramped	JJ	cramped
shelters	NNS	shelter
or	CC	or
makeshift	JJ	makeshift
tents	NNS	tent
in	IN	in
the	DT	the
far	RB	far
south	JJ	south
around	IN	around
Rafah	NP	<unknown>
.	SENT	.
<p>
Residents	NNS	resident
there	RB	there
combed	VBN	comb
through	IN	through
rubble	NN	rubble
for	IN	for
survivors	NNS	survivor
on	IN	on
Thursday	NP	Thursday
after	IN	after
an	DT	an
air	NN	air
strike	NN	strike
that	IN	that
one	CD	one
witness	NN	witness
said	VBD	say
left	VBN	leave
"	``	"
several	JJ	several
casualties	NNS	casualty
"	''	"
.	SENT	.
<p>
"	``	"
We	PP	we
were	VBD	be
sitting	VBG	sit
at	IN	at
home	NN	home
peacefully	RB	peacefully
and	CC	and
all	RB	all
of	IN	of
a	DT	a
sudden	JJ	sudden
we	PP	we
heard	VBD	hear
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
apartment	NN	apartment
was	VBD	be
completely	RB	completely
destroyed	VBN	destroy
,	,	,
and	CC	and
my	PP$	my
daughters	NNS	daughter
were	VBD	be
screaming	VBG	scream
,	,	,
"	''	"
said	VBD	say
Tayseer	NP	<unknown>
Abu	NP	Abu
Al-Eish	NP	<unknown>
.	SENT	.
<p>
An	DT	an
Israeli	JJ	Israeli
siege	NN	siege
imposed	VBN	impose
after	IN	after
7	CD	@card@
October	NP	October
,	,	,
following	VBG	follow
years	NNS	year
of	IN	of
crippling	JJ	crippling
blockade	NN	blockade
,	,	,
has	VBZ	have
deprived	VBN	deprive
Gazans	NNS	Gazan
of	IN	of
food	NN	food
,	,	,
water	NN	water
,	,	,
fuel	NN	fuel
and	CC	and
medicine	NN	medicine
.	SENT	.
<p>
The	DT	the
severe	JJ	severe
shortages	NNS	shortage
have	VBP	have
been	VBN	be
only	RB	only
sporadically	RB	sporadically
eased	VBN	ease
by	IN	by
humanitarian	JJ	humanitarian
aid	NN	aid
convoys	NNS	convoy
entering	VBG	enter
primarily	RB	primarily
via	IN	via
Egypt	NP	Egypt
.	SENT	.
<p>
Israel	NP	Israel
said	VBD	say
Thursday	NP	Thursday
it	PP	it
had	VBD	have
given	VBN	give
preliminary	JJ	preliminary
approval	NN	approval
to	TO	to
the	DT	the
Mediterranean	JJ	Mediterranean
island	NN	island
nation	NN	nation
of	IN	of
Cyprus	NP	Cyprus
for	IN	for
a	DT	a
"	``	"
maritime	JJ	maritime
lifeline	NN	lifeline
"	''	"
to	TO	to
ship	VB	ship
aid	NN	aid
to	TO	to
Gaza	NP	Gaza
.	SENT	.
<p>
CEASEFIRE	NN	ceasefire
PLAN	NN	plan
<p>
A	DT	a
Hamas	JJ	<unknown>
delegation	NN	delegation
was	VBD	be
due	JJ	due
in	IN	in
Cairo	NP	Cairo
on	IN	on
Friday	NP	Friday
to	TO	to
give	VB	give
its	PP$	its
"	``	"
observations	NNS	observation
"	''	"
about	IN	about
an	DT	an
Egyptian	JJ	Egyptian
plan	NN	plan
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
recently	RB	recently
put	VBN	put
to	TO	to
officials	NNS	official
from	IN	from
Hamas	NP	<unknown>
and	CC	and
Islamic	NP	Islamic
Jihad	NP	Jihad
,	,	,
which	WDT	which
is	VBZ	be
also	RB	also
battling	VBG	battle
Israeli	JJ	Israeli
forces	NNS	force
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Sources	NNS	source
close	JJ	close
to	TO	to
Hamas	NNS	<unknown>
say	VBP	say
Cairo	NP	Cairo
'	POS	'
s	JJ	<unknown>
three-stage	NN	three-stage
plan	NN	plan
provides	VBZ	provide
for	IN	for
renewable	JJ	renewable
ceasefires	NNS	ceasefire
,	,	,
a	DT	a
staggered	JJ	staggered
release	NN	release
of	IN	of
hostages	NNS	hostage
held	VBN	hold
by	IN	by
Hamas	NNS	<unknown>
in	IN	in
exchange	NN	exchange
for	IN	for
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
in	IN	in
Israel	NP	Israel
,	,	,
and	CC	and
ultimately	RB	ultimately
a	DT	a
ceasefire	NN	ceasefire
to	TO	to
end	VB	end
the	DT	the
war	NN	war
.	SENT	.
<p>
It	PP	it
also	RB	also
provides	VBZ	provide
for	IN	for
a	DT	a
Palestinian	JJ	Palestinian
government	NN	government
of	IN	of
technocrats	NNS	technocrat
after	IN	after
talks	NNS	talk
involving	VBG	involve
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
governing	VBG	govern
and	CC	and
rebuilding	VBG	rebuild
in	IN	in
post-war	JJ	post-war
Gaza	NP	Gaza
.	SENT	.
<p>
A	DT	a
Hamas	JJ	<unknown>
official	NN	official
,	,	,
speaking	VBG	speak
on	IN	on
condition	NN	condition
of	IN	of
anonymity	NN	anonymity
,	,	,
told	VBD	tell
AFP	NP	AFP
on	IN	on
Thursday	NP	Thursday
that	IN	that
the	DT	the
delegation	NN	delegation
would	MD	would
"	``	"
give	VB	give
the	DT	the
response	NN	response
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
factions	NNS	faction
,	,	,
including	VBG	include
several	JJ	several
observations	NNS	observation
"	''	"
regarding	VBG	regard
details	NNS	detail
of	IN	of
the	DT	the
exchanges	NNS	exchange
and	CC	and
"	``	"
guarantees	NNS	guarantee
for	IN	for
a	DT	a
complete	JJ	complete
Israeli	JJ	Israeli
military	JJ	military
withdrawal	NN	withdrawal
"	''	"
.	SENT	.
<p>
Diaa	NP	<unknown>
Rashwan	NP	<unknown>
,	,	,
who	WP	who
heads	VBZ	head
Egypt	NP	Egypt
'	POS	'
s	NN	S
State	NP	State
Information	NP	Information
Services	NPS	Services
,	,	,
said	VBD	say
the	DT	the
plan	NN	plan
was	VBD	be
"	``	"
intended	VBN	intend
to	TO	to
bring	VB	bring
together	RB	together
the	DT	the
views	NNS	view
of	IN	of
all	DT	all
parties	NNS	party
concerned	VBN	concern
,	,	,
with	IN	with
the	DT	the
aim	NN	aim
of	IN	of
ending	VBG	end
the	DT	the
shedding	NN	shedding
of	IN	of
Palestinian	JJ	Palestinian
blood	NN	blood
"	''	"
.	SENT	.
