<h>
Just	RB	just
In	IN	in
<h>
A	DT	a
protest	NN	protest
was	VBD	be
staged	VBN	stage
at	IN	at
the	DT	the
Karachi	NP	Karachi
fish	NN	fish
harbour	NN	harbour
on	IN	on
Sunday	NP	Sunday
over	IN	over
the	DT	the
murder	NN	murder
of	IN	of
a	DT	a
cart	NN	cart
vendor	NN	vendor
,	,	,
ARY	NP	Ary
News	NP	News
reported	VBD	report
.	SENT	.
<p>
A	DT	a
protest	NN	protest
was	VBD	be
staged	VBN	stage
at	IN	at
the	DT	the
Karachi	NP	Karachi
fish	NN	fish
harbour	NN	harbour
on	IN	on
Sunday	NP	Sunday
over	IN	over
the	DT	the
murder	NN	murder
of	IN	of
a	DT	a
cart	NN	cart
vendor	NN	vendor
,	,	,
ARY	NP	Ary
News	NP	News
reported	VBD	report
.	SENT	.
After	IN	after
the	DT	the
funeral	NN	funeral
of	IN	of
Saddam	NP	Saddam
Hussain	NP	Hussain
,	,	,
the	DT	the
vendor	NN	vendor
,	,	,
who	WP	who
was	VBD	be
stabbed	VBN	stab
to	TO	to
death	NN	death
at	IN	at
the	DT	the
harbour	NN	harbour
,	,	,
his	PP$	his
relatives	NNS	relative
launched	VBD	launch
the	DT	the
protest	NN	protest
.	SENT	.
<p>
The	DT	the
protesters	NNS	protester
said	VBD	say
that	IN	that
criminals	NNS	criminal
extort	VB	extort
protection	NN	protection
money	NN	money
in	IN	in
the	DT	the
fish	NN	fish
market	NN	market
and	CC	and
workers	NNS	worker
,	,	,
who	WP	who
refuse	VBP	refuse
to	TO	to
pay	VB	pay
,	,	,
are	VBP	be
subjected	VBN	subject
to	TO	to
violence	NN	violence
,	,	,
ARY	NP	Ary
News	NP	News
reported	VBD	report
.	SENT	.
"	``	"
The	DT	the
criminals	NNS	criminal
have	VBP	have
the	DT	the
patronage	NN	patronage
of	IN	of
police	NN	police
and	CC	and
the	DT	the
fish	NN	fish
market	NN	market
administration	NN	administration
,	,	,
"	''	"
one	CD	one
of	IN	of
his	PP$	his
relatives	NNS	relative
alleged	VBD	allege
.	SENT	.
<p>
strike	NN	strike
against	IN	against
murder	NN	murder
was	VBD	be
observed	VBN	observe
at	IN	at
the	DT	the
fish	NN	fish
harbour	NN	harbour
,	,	,
during	IN	during
which	WDT	which
routine	JJ	routine
business	NN	business
activities	NNS	activity
were	VBD	be
halted	VBN	halt
and	CC	and
angry	JJ	angry
demonstrators	NNS	demonstrator
forced	VBN	force
out	IN	out
fish	NN	fish
cutters	NNS	cutter
from	IN	from
the	DT	the
market	NN	market
.	SENT	.
The	DT	the
administration	NN	administration
dispatched	VBD	dispatch
police	NNS	police
to	TO	to
maintain	VB	maintain
law	NN	law
and	CC	and
order	NN	order
.	SENT	.
<p>
"	''	"
The	DT	the
murder	NN	murder
accused	VBD	accuse
,	,	,
Ali	NP	Ali
Raza	NP	Raza
,	,	,
has	VBZ	have
been	VBN	be
