<h>
Senior	JJ	Senior
UN	NP	UN
official	NN	official
denounces	VBZ	denounce
'	''	'
blatant	JJ	blatant
disregard	NN	disregard
'	''	'
in	IN	in
Israel-Hamas	JJ	<unknown>
war	NN	war
after	IN	after
many	JJ	many
UN	NP	UN
sites	NNS	site
are	VBP	be
hit	VBN	hit
<p>
The	DT	the
Commissioner-General	NN	Commissioner-General
of	IN	of
the	DT	the
U.N	NP	U.N
.	SENT	.
agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
,	,	,
Philippe	NP	Philippe
Lazzarini	NP	<unknown>
,	,	,
speaks	VBZ	speak
during	IN	during
an	DT	an
interview	NN	interview
with	IN	with
The	DT	the
Associated	NP	Associated
Press	NP	Press
at	IN	at
the	DT	the
UNRWA	NP	<unknown>
headquarters	NN	headquarters
in	IN	in
Beirut	NP	Beirut
,	,	,
Lebanon	NP	Lebanon
on	IN	on
Wednesday	NP	Wednesday
,	,	,
Dec.	NP	Dec.
6	CD	@card@
,	,	,
2023	CD	@card@
.	SENT	.
Lazzarini	NP	<unknown>
said	VBD	say
there	EX	there
is	VBZ	be
no	DT	no
haven	NN	haven
in	IN	in
Gaza	NP	Gaza
for	IN	for
civilians	NNS	civilian
,	,	,
including	VBG	include
U.N	NP	U.N
.	SENT	.
shelters	NNS	shelter
and	CC	and
"	``	"
safe	JJ	safe
zones	NNS	zone
"	''	"
designated	VBN	designate
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
BEIRUT	NP	Beirut
--	:	--
The	DT	the
head	NN	head
of	IN	of
the	DT	the
UN	NP	UN
agency	NN	agency
for	IN	for
Palestinian	JJ	Palestinian
refugees	NNS	refugee
told	VBD	tell
The	DT	the
Associated	NP	Associated
Press	NP	Press
on	IN	on
Wednesday	NP	Wednesday
there	EX	there
is	VBZ	be
no	DT	no
safe	JJ	safe
haven	NN	haven
in	IN	in
besieged	JJ	besieged
Gaza	NP	Gaza
for	IN	for
civilians	NNS	civilian
--	:	--
not	RB	not
even	RB	even
in	IN	in
UN	NP	UN
shelters	NNS	shelter
and	CC	and
so-called	JJ	so-called
"	``	"
safe	JJ	safe
zones	NNS	zone
"	''	"
designated	VBN	designate
by	IN	by
Israel	NP	Israel
.	SENT	.
<p>
Philippe	NP	Philippe
Lazzarini	NP	<unknown>
,	,	,
commissioner	NN	commissioner
general	NN	general
of	IN	of
the	DT	the
UN	NP	UN
Relief	NP	Relief
and	CC	and
Works	NP	Works
Agency	NP	Agency
,	,	,
also	RB	also
known	VBN	know
as	IN	as
UNRWA	NP	<unknown>
,	,	,
said	VBD	say
in	IN	in
an	DT	an
interview	NN	interview
with	IN	with
the	DT	the
AP	NP	AP
that	IN	that
since	IN	since
the	DT	the
outbreak	NN	outbreak
of	IN	of
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
more	JJR	more
than	IN	than
80	CD	@card@
UN	NP	UN
facilities	NNS	facility
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
have	VBP	have
been	VBN	be
hit	VBN	hit
.	SENT	.
<p>
During	IN	during
the	DT	the
deadly	JJ	deadly
Hamas-led	JJ	<unknown>
October	NP	October
7	CD	@card@
incursion	NN	incursion
into	IN	into
southern	JJ	southern
Israel	NP	Israel
,	,	,
the	DT	the
militants	NNS	militant
killed	VBD	kill
about	RB	about
1,200	CD	@card@
people	NNS	people
,	,	,
mostly	RB	mostly
civilians	NNS	civilian
,	,	,
and	CC	and
took	VBD	take
captive	JJ	captive
some	RB	some
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
an	DT	an
aerial	JJ	aerial
bombardment	NN	bombardment
and	CC	and
ground	NN	ground
offensive	NN	offensive
inside	IN	inside
Gaza	NP	Gaza
that	WDT	that
has	VBZ	have
so	RB	so
far	RB	far
killed	VBN	kill
more	JJR	more
than	IN	than
16,200	CD	@card@
people	NNS	people
in	IN	in
the	DT	the
enclave	NN	enclave
,	,	,
most	JJS	most
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
