<p>
(	(	(
CLOCKWISE	RB	clockwise
from	IN	from
top	JJ	top
left	NN	left
)	)	)
Pro-Palestinian	NP	Pro-Palestinian
protesters	NNS	protester
hold	VBP	hold
a	DT	a
demonstration	NN	demonstration
in	IN	in
front	NN	front
of	IN	of
the	DT	the
City	NP	City
Hall	NP	Hall
in	IN	in
Orlanda	NP	Orlanda
,	,	,
Florida	NP	Florida
,	,	,
on	IN	on
Saturday	NP	Saturday
and	CC	and
a	DT	a
cop	NN	cop
tries	VBZ	try
to	TO	to
extinguish	VB	extinguish
flames	NNS	flame
after	IN	after
a	DT	a
man	NN	man
set	VBD	set
himself	PP	himself
on	IN	on
fire	NN	fire
during	IN	during
a	DT	a
protest	NN	protest
near	IN	near
the	DT	the
White	NP	White
House	NP	House
in	IN	in
Washington	NP	Washington
,	,	,
DC	NP	DC
;	:	;
people	NNS	people
march	VBP	march
in	IN	in
Taipei	NP	Taipei
and	CC	and
Tokyo	NP	Tokyo
ahead	RB	ahead
of	IN	of
the	DT	the
one-year	JJ	one-year
anniversary	NN	anniversary
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Palestine	NP	Palestine
.	SENT	.
--	:	--
Agencies	NNS	agency
<p>
WASHINGTON/LONDON	NP	WASHINGTON/LONDON
:	:	:
Tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
protesters	NNS	protester
marched	VBN	march
in	IN	in
cities	NNS	city
around	IN	around
the	DT	the
world	NN	world
over	IN	over
the	DT	the
weekend	NN	weekend
calling	VBG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
and	CC	and
Lebanon	NP	Lebanon
as	IN	as
the	DT	the
conflict	NN	conflict
in	IN	in
the	DT	the
Palestinian	JJ	Palestinian
territory	NN	territory
neared	VBD	near
the	DT	the
one-year	JJ	one-year
mark	NN	mark
.	SENT	.
<p>
In	IN	in
Washington	NP	Washington
,	,	,
more	JJR	more
than	IN	than
a	DT	a
thousand	CD	thousand
protesters	NNS	protester
demonstrated	VBN	demonstrate
outside	IN	outside
the	DT	the
White	NP	White
House	NP	House
,	,	,
demanding	VBG	demand
the	DT	the
United	NP	United
States	NPS	States
,	,	,
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
top	JJ	top
military	JJ	military
supplier	NN	supplier
,	,	,
stop	VB	stop
providing	VBG	provide
weapons	NNS	weapon
and	CC	and
aid	NN	aid
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
One	CD	one
man	NN	man
attempted	VBN	attempt
to	TO	to
set	VB	set
himself	PP	himself
on	IN	on
fire	NN	fire
,	,	,
journalists	NNS	journalist
saw	VBD	see
,	,	,
succeeding	VBG	succeed
in	IN	in
lighting	VBG	light
his	PP$	his
left	VBN	leave
arm	NN	arm
ablaze	RB	ablaze
before	IN	before
bystanders	NNS	bystander
and	CC	and
police	NNS	police
extinguished	VBD	extinguish
the	DT	the
flames	NNS	flame
.	SENT	.
<p>
Thousands	NNS	thousand
of	IN	of
pro-Palestinian	NP	pro-Palestinian
supporters	NNS	supporter
also	RB	also
gathered	VBN	gather
in	IN	in
cities	NNS	city
across	IN	across
Europe	NP	Europe
,	,	,
Africa	NP	Africa
,	,	,
Australia	NP	Australia
and	CC	and
the	DT	the
Americas	NPS	America
to	TO	to
demand	VB	demand
an	DT	an
end	NN	end
to	TO	to
the	DT	the
conflict	NN	conflict
,	,	,
which	WDT	which
has	VBZ	have
killed	VBN	kill
nearly	RB	nearly
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	''	'
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
protest	NN	protest
in	IN	in
Rome	NP	Rome
that	WDT	that
drew	VBD	draw
thousands	NNS	thousand
of	IN	of
people	NNS	people
turned	VBD	turn
violent	JJ	violent
,	,	,
as	IN	as
dozens	NNS	dozen
of	IN	of
young	JJ	young
demonstrators	NNS	demonstrator
threw	VBD	throw
bottles	NNS	bottle
and	CC	and
firecrackers	NNS	firecracker
at	IN	at
police	NNS	police
,	,	,
who	WP	who
responded	VBD	respond
with	IN	with
tear	NN	tear
gas	NN	gas
