<h>
Just	RB	just
In	IN	in
<h>
The	DT	the
toll	NN	toll
of	IN	of
Palestinians	NNS	Palestinian
killed	VBN	kill
in	IN	in
Israeli	JJ	Israeli
strikes	NNS	strike
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
since	IN	since
war	NN	war
broke	VBD	break
out	RP	out
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
in	IN	in
October	NP	October
has	VBZ	have
passed	VBN	pass
25,000	CD	@card@
,	,	,
Gaza	NP	Gaza
health	NN	health
officials	NNS	official
said	VBD	say
,	,	,
while	IN	while
Israeli	JJ	Israeli
attacks	NNS	attack
and	CC	and
street	NN	street
battles	NNS	battle
raged	VBN	rage
across	IN	across
the	DT	the
Hamas-run	JJ	<unknown>
enclave	NN	enclave
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
The	DT	the
toll	NN	toll
of	IN	of
Palestinians	NNS	Palestinian
killed	VBN	kill
in	IN	in
Israeli	JJ	Israeli
strikes	NNS	strike
on	IN	on
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
since	IN	since
war	NN	war
broke	VBD	break
out	RP	out
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
in	IN	in
October	NP	October
has	VBZ	have
passed	VBN	pass
25,000	CD	@card@
,	,	,
Gaza	NP	Gaza
health	NN	health
officials	NNS	official
said	VBD	say
,	,	,
while	IN	while
Israeli	JJ	Israeli
attacks	NNS	attack
and	CC	and
street	NN	street
battles	NNS	battle
raged	VBN	rage
across	IN	across
the	DT	the
Hamas-run	JJ	<unknown>
enclave	NN	enclave
on	IN	on
Sunday	NP	Sunday
.	SENT	.
Israeli	JJ	Israeli
forces	NNS	force
and	CC	and
Hamas	JJ	<unknown>
fighters	NNS	fighter
clashed	VBN	clash
in	IN	in
several	JJ	several
places	NNS	place
,	,	,
from	IN	from
Jabalia	NP	<unknown>
in	IN	in
the	DT	the
north	NN	north
to	TO	to
Khan	NP	Khan
Younis	NP	Younis
in	IN	in
the	DT	the
south	NN	south
,	,	,
the	DT	the
focus	NN	focus
of	IN	of
recent	JJ	recent
Israeli	JJ	Israeli
operations	NNS	operation
.	SENT	.
<p>
Israel	NP	Israel
said	VBD	say
its	PP$	its
troops	NNS	troop
had	VBD	have
cleared	VBN	clear
much	RB	much
of	IN	of
northern	JJ	northern
Gaza	NP	Gaza
of	IN	of
Hamas	NP	<unknown>
'	POS	'
military	JJ	military
network	NN	network
and	CC	and
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
residents	NNS	resident
of	IN	of
that	DT	that
part	NN	part
of	IN	of
the	DT	the
enclave	NN	enclave
have	VBP	have
moved	VBN	move
south	RB	south
to	TO	to
flee	VB	flee
the	DT	the
bombardments	NNS	bombardment
.	SENT	.
However	RB	however
fighting	NN	fighting
has	VBZ	have
continued	VBN	continue
in	IN	in
