<p>
Protesters	NNS	protester
call	VBP	call
for	IN	for
an	DT	an
hostage	NN	hostage
deal	NN	deal
with	IN	with
Hamas	NP	<unknown>
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
on	IN	on
the	DT	the
fourth	JJ	fourth
night	NN	night
of	IN	of
Chanukah	NP	<unknown>
(	(	(
Photo	NP	Photo
:	:	:
Getty	NP	Getty
Images	NNS	image
)	)	)
<p>
The	DT	the
Israeli	JJ	Israeli
government	NN	government
has	VBZ	have
not	RB	not
received	VBN	receive
any	DT	any
confirmation	NN	confirmation
that	IN	that
Hamas	NP	<unknown>
is	VBZ	be
willing	JJ	willing
to	TO	to
release	VB	release
as	IN	as
part	NN	part
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
34	CD	@card@
hostages	NNS	hostage
whose	WP$	whose
names	NNS	name
were	VBD	be
on	IN	on
a	DT	a
list	NN	list
published	VBN	publish
by	IN	by
media	NNS	medium
outlets	NNS	outlet
on	IN	on
Monday	NP	Monday
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
'	POS	'
s	NN	S
Office	NN	office
.	SENT	.
<p>
"	''	"
The	DT	the
list	NN	list
of	IN	of
hostages	NNS	hostage
that	WDT	that
has	VBZ	have
been	VBN	be
published	VBN	publish
in	IN	in
the	DT	the
media	NNS	medium
was	VBD	be
not	RB	not
provided	VBN	provide
to	TO	to
Israel	NP	Israel
by	IN	by
Hamas	NP	<unknown>
but	CC	but
was	VBD	be
originally	RB	originally
given	VBN	give
by	IN	by
Israel	NP	Israel
to	TO	to
the	DT	the
mediators	NNS	mediator
in	IN	in
July	NP	July
2024	CD	@card@
,	,	,
"	''	"
the	DT	the
PMO	NP	PMO
said	VBD	say
.	SENT	.
<p>
"	''	"
As	RB	as
yet	RB	yet
,	,	,
Israel	NP	Israel
has	VBZ	have
not	RB	not
received	VBN	receive
any	DT	any
confirmation	NN	confirmation
or	CC	or
comment	NN	comment
by	IN	by
Hamas	NNS	<unknown>
regarding	VBG	regard
the	DT	the
status	NN	status
of	IN	of
the	DT	the
hostages	NNS	hostage
appearing	VBG	appear
on	IN	on
the	DT	the
list	NN	list
.	SENT	.
Israel	NP	Israel
will	MD	will
continue	VB	continue
to	TO	to
act	VB	act
relentlessly	RB	relentlessly
for	IN	for
the	DT	the
return	NN	return
of	IN	of
all	DT	all
of	IN	of
our	PP$	our
hostages	NNS	hostage
,	,	,
"	''	"
added	VBD	add
the	DT	the
statement	NN	statement
.	SENT	.
<p>
Saudi	NP	Saudi
daily	JJ	daily
al-Sharq	NP	<unknown>
had	VBD	have
previously	RB	previously
published	VBN	publish
what	WP	what
it	PP	it
claimed	VBD	claim
are	VBP	be
the	DT	the
names	NNS	name
on	IN	on
the	DT	the
list	NN	list
.	SENT	.
An	DT	an
anonymous	JJ	anonymous
Hamas	NN	<unknown>
official	NN	official
told	VBD	tell
the	DT	the
outlet	NN	outlet
that	IN	that
it	PP	it
would	MD	would
take	VB	take
about	IN	about
a	DT	a
week	NN	week
to	TO	to
determine	VB	determine
the	DT	the
condition	NN	condition
of	IN	of
each	DT	each
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
it	PP	it
will	MD	will
undertake	VB	undertake
only	RB	only
after	IN	after
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
in	IN	in
effect	NN	effect
.	SENT	.
<p>
The	DT	the
list	NN	list
'	POS	'
s	NN	S
publication	NN	publication
had	VBD	have
caused	VBN	cause
distress	NN	distress
among	IN	among
the	DT	the
hostages	NNS	hostage
'	POS	'
families	NNS	family
,	,	,
according	VBG	accord
to	TO	to
Israel	NP	Israel
'	POS	'
s	NN	S
Hostages	NNS	hostage
and	CC	and
Missing	VBG	miss
Families	NNS	family
Forum	NP	Forum
.	SENT	.
<p>
"	``	"
The	DT	the
families	NNS	family
of	IN	of
the	DT	the
hostages	NNS	hostage
are	VBP	be
shaken	VBN	shake
and	CC	and
upset	VBN	upset
by	IN	by
the	DT	the
list	NN	list
published	VBD	publish
this	DT	this
morning	NN	morning
,	,	,
"	''	"
the	DT	the
forum	NN	forum
said	VBD	say
.	SENT	.
"	``	"
We	PP	we
call	VBP	call
on	IN	on
the	DT	the
media	NNS	medium
and	CC	and
the	DT	the
public	NN	public
to	TO	to
show	VB	show
sensitivity	NN	sensitivity
and	CC	and
responsibility	NN	responsibility
regarding	VBG	regard
the	DT	the
publication	NN	publication
of	IN	of
this	DT	this
and	CC	and
other	JJ	other
such	JJ	such
things	NNS	thing
until	IN	until
a	DT	a
deal	NN	deal
is	VBZ	be
signed	VBN	sign
,	,	,
and	CC	and
also	RB	also
during	IN	during
it	PP	it
,	,	,
"	''	"
the	DT	the
statement	NN	statement
continued	VBD	continue
.	SENT	.
<p>
"	''	"
The	DT	the
time	NN	time
is	VBZ	be
ripe	JJ	ripe
for	IN	for
a	DT	a
comprehensive	JJ	comprehensive
agreement	NN	agreement
that	WDT	that
will	MD	will
return	VB	return
all	PDT	all
the	DT	the
hostages	NNS	hostage
--	:	--
the	DT	the
living	NN	living
for	IN	for
healing	NN	healing
,	,	,
and	CC	and
the	DT	the
murdered	VBN	murder
and	CC	and
fallen	VBN	fall
for	IN	for
a	DT	a
proper	JJ	proper
burial	NN	burial
.	SENT	.
We	PP	we
are	VBP	be
leaving	VBG	leave
no	DT	no
one	CD	one
behind	RB	behind
!	SENT	!
"	''	"
<p>
Mossad	NP	Mossad
chief	JJ	chief
David	NP	David
Barnea	NP	<unknown>
was	VBD	be
scheduled	VBN	schedule
to	TO	to
arrive	VB	arrive
in	IN	in
Doha	NP	Doha
on	IN	on
Monday	NP	Monday
for	IN	for
continued	JJ	continued
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
,	,	,
foreign	JJ	foreign
sources	NNS	source
involved	VBN	involve
in	IN	in
the	DT	the
talks	NNS	talk
told	VBD	tell
Israel	NP	Israel
'	POS	'
s	NN	S
Kan	NP	Kan
News	NP	News
public	JJ	public
broadcaster	NN	broadcaster
on	IN	on
Sunday	NP	Sunday
night	NN	night
.	SENT	.
<p>
US	NP	US
Special	JJ	special
Coordinator	NP	Coordinator
for	IN	for
the	DT	the
Middle	NP	Middle
East	NP	East
Brett	NP	Brett
McGurk	NP	McGurk
and	CC	and
other	JJ	other
top	JJ	top
American	JJ	American
officials	NNS	official
were	VBD	be
expected	VBN	expect
to	RB	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
discussion	NN	discussion
included	VBD	include
Defence	NN	defence
Minister	NP	Minister
Israel	NP	Israel
Katz	NP	Katz
,	,	,
National	NP	National
Security	NP	Security
Minister	NP	Minister
Itamar	NP	Itamar
Ben-Gvir	NP	<unknown>
and	CC	and
Finance	NP	Finance
Minister	NP	Minister
Bezalel	NP	<unknown>
Smotrich	NP	Smotrich
and	CC	and
came	VBD	come
amid	IN	amid
reported	VBN	report
progress	NN	progress
in	IN	in
the	DT	the
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
.	SENT	.
<p>
Ben-Gvir	NP	<unknown>
and	CC	and
Smotrich	NP	Smotrich
oppose	VBP	oppose
the	DT	the
proposals	NNS	proposal
being	VBG	be
reported	VBN	report
in	IN	in
recent	JJ	recent
weeks	NNS	week
,	,	,
and	CC	and
Netanyahu	NP	<unknown>
has	VBZ	have
emphasised	VBN	emphasise
that	IN	that
Israeli	JJ	Israeli
forces	NNS	force
will	MD	will
return	VB	return
to	TO	to
fighting	VBG	fight
after	IN	after
any	DT	any
ceasefire	NN	ceasefire
deal	NN	deal
until	IN	until
Jerusalem	NP	Jerusalem
'	POS	'
s	JJ	<unknown>
war	NN	war
goals	NNS	goal
are	VBP	be
achieved	VBN	achieve
.	SENT	.
<p>
According	VBG	accord
to	TO	to
Israeli	JJ	Israeli
estimates	NNS	estimate
,	,	,
there	EX	there
are	VBP	be
100	CD	@card@
hostages	NNS	hostage
still	RB	still
in	IN	in
Hamas	JJ	<unknown>
captivity	NN	captivity
in	IN	in
Gaza	NP	Gaza
,	,	,
including	VBG	include
96	CD	@card@
abducted	VBN	abduct
during	IN	during
the	DT	the
terror	NN	terror
group	NN	group
'	POS	'
s	JJ	<unknown>
massacre	NN	massacre
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
in	IN	in
which	WDT	which
251	CD	@card@
people	NNS	people
were	VBD	be
taken	VBN	take
.	SENT	.
<p>
Of	IN	of
those	DT	those
,	,	,
155	CD	@card@
have	VBP	have
been	VBN	be
returned	VBN	return
or	CC	or
rescued	VBN	rescue
,	,	,
and	CC	and
Hamas	NP	<unknown>
is	VBZ	be
believed	VBN	believe
to	TO	to
be	VB	be
holding	VBG	hold
36	CD	@card@
bodies	NNS	body
,	,	,
34	CD	@card@
of	IN	of
them	PP	them
taken	VBN	take
on	IN	on
October	NP	October
7	CD	@card@
and	CC	and
the	DT	the
remaining	VBG	remain
two	CD	two
being	JJ	being
IDF	NP	IDF
soldiers	NNS	soldier
Hadar	NP	Hadar
Goldin	NP	Goldin
and	CC	and
Oron	NP	<unknown>
Shaul	NP	Shaul
,	,	,
who	WP	who
were	VBD	be
kidnapped	VBN	kidnap
in	IN	in
2014	CD	@card@
.	SENT	.
<p>
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
Blinken	NP	<unknown>
expressed	VBD	express
optimism	NN	optimism
on	IN	on
Monday	NP	Monday
about	IN	about
the	DT	the
likelihood	NN	likelihood
of	IN	of
a	DT	a
ceasefire	NN	ceasefire
agreement	NN	agreement
,	,	,
though	IN	though
it	PP	it
might	MD	might
not	RB	not
materialise	VB	materialise
until	IN	until
after	IN	after
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
'	POS	'
s	NN	S
term	NN	term
ends	VBZ	end
on	IN	on
Jan.	NP	Jan.
20	CD	@card@
.	SENT	.
<p>
Speaking	VBG	speak
to	TO	to
reporters	NNS	reporter
in	RB	in
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
finalise	VB	finalise
it	PP	it
within	IN	within
the	DT	the
next	JJ	next
two	CD	two
weeks	NNS	week
,	,	,
I	PP	I
'	POS	'
m	NN	m
confident	JJ	confident
it	PP	it
will	MD	will
be	VB	be
completed	VBN	complete
eventually	RB	eventually
,	,	,
hopefully	RB	hopefully
sooner	RBR	sooner
rather	RB	rather
than	IN	than
later	RBR	later
.	SENT	.
When	WRB	when
it	PP	it
does	VBZ	do
,	,	,
it	PP	it
will	MD	will
be	VB	be
based	VBN	base
on	IN	on
the	DT	the
plan	NN	plan
President	NP	President
Biden	NP	Biden
proposed	VBD	propose
.	SENT	.
"	``	"
<p>
President-elect	NN	president-elect
Donald	NP	Donald
Trump	NP	Trump
on	IN	on
December	NP	December
31	CD	@card@
reiterated	VBD	reiterate
his	PP$	his
call	NN	call
for	IN	for
the	DT	the
Israelis	NPS	Israelis
in	IN	in
Gaza	NP	Gaza
to	TO	to
be	VB	be
released	VBN	release
before	IN	before
he	PP	he
takes	VBZ	take
office	NN	office
.	SENT	.
<p>
An	DT	an
interlocutor	NN	interlocutor
asked	VBD	ask
Trump	NP	Trump
about	IN	about
the	DT	the
captives	NNS	captive
,	,	,
at	IN	at
his	PP$	his
Mar-A-Lago	NP	<unknown>
resort	NN	resort
in	IN	in
Florida	NP	Florida
,	,	,
noting	VBG	note
that	IN	that
Trump	NP	Trump
had	VBD	have
warned	VBN	warn
"	``	"
there	EX	there
will	MD	will
be	VB	be
hell	NN	hell
to	TO	to
pay	VB	pay
"	``	"
unless	IN	unless
they	PP	they
are	VBP	be
freed	VBN	free
by	IN	by
the	DT	the
time	NN	time
he	PP	he
is	VBZ	be
sworn	VBN	swear
