<p>
Donald	NP	Donald
Trump	NP	Trump
warned	VBD	warn
'	''	'
all	DT	all
hell	NN	hell
will	MD	will
break	VB	break
loose	RB	loose
'	''	'
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
if	IN	if
Hamas	NP	<unknown>
does	VBZ	do
not	RB	not
return	VB	return
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
by	IN	by
the	DT	the
time	NN	time
he	PP	he
takes	VBZ	take
office	NN	office
on	IN	on
January	NP	January
20	CD	@card@
.	SENT	.
<p>
The	DT	the
78-year-old	JJ	78-year-old
made	VBD	make
the	DT	the
remarks	NNS	remark
during	IN	during
a	DT	a
wide-ranging	JJ	wide-ranging
press	NN	press
conference	NN	conference
at	IN	at
his	PP$	his
home	NN	home
in	IN	in
Florida	NP	Florida
on	IN	on
Tuesday	NP	Tuesday
,	,	,
but	CC	but
he	PP	he
did	VBD	do
not	RB	not
elaborate	VB	elaborate
on	IN	on
what	WP	what
his	PP$	his
remarks	NNS	remark
mean	VBP	mean
in	IN	in
terms	NNS	term
of	IN	of
U.S.	NP	U.S.
action	NN	action
in	IN	in
the	DT	the
region	NN	region
when	WRB	when
he	PP	he
takes	VBZ	take
office	NN	office
.	SENT	.
<p>
It	PP	it
is	VBZ	be
the	DT	the
latest	JJS	late
in	IN	in
a	DT	a
series	NN	series
of	IN	of
threats	NNS	threat
Trump	NP	Trump
has	VBZ	have
made	VBN	make
for	IN	for
the	DT	the
return	NN	return
of	IN	of
hostages	NNS	hostage
taken	VBN	take
in	IN	in
the	DT	the
October	NP	October
7th	JJ	7th
attack	NN	attack
on	IN	on
Israel	NP	Israel
more	RBR	more
than	IN	than
a	DT	a
year	NN	year
ago	RB	ago
.	SENT	.
<p>
'	''	'
All	DT	all
hell	NN	hell
will	MD	will
break	VB	break
out	RP	out
,	,	,
'	''	'
the	DT	the
president-elect	NN	president-elect
declared	VBD	declare
again	RB	again
Tuesday	NP	Tuesday
.	SENT	.
<p>
'	''	'
If	IN	if
those	DT	those
hostages	NNS	hostage
are	VBP	be
n't	RB	n't
back	RB	back
,	,	,
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
hurt	VB	hurt
your	PP$	your
negotiation	NN	negotiation
,	,	,
if	IN	if
they	PP	they
'	POS	'
re	NN	re
not	RB	not
back	RB	back
by	IN	by
the	DT	the
time	NN	time
I	PP	I
get	VBP	get
into	IN	into
office	NN	office
,	,	,
all	DT	all
hell	NN	hell
will	MD	will
break	VB	break
out	RP	out
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
'	''	'
Trump	NP	Trump
said	VBD	say
.	SENT	.
<p>
'	''	'
And	CC	and
it	PP	it
will	MD	will
not	RB	not
be	VB	be
good	JJ	good
for	IN	for
Hamas	NP	<unknown>
,	,	,
and	CC	and
it	PP	it
will	MD	will
not	RB	not
be	VB	be
good	JJ	good
frankly	RB	frankly
for	IN	for
anyone	NN	anyone
,	,	,
'	''	'
he	PP	he
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
do	VBP	do
n't	RB	n't
have	VB	have
to	TO	to
say	VB	say
anymore	RB	anymore
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
it	PP	it
is	VBZ	be
.	SENT	.
'	''	'
<p>
He	PP	he
refused	VBD	refuse
to	TO	to
elaborate	VB	elaborate
on	IN	on
what	WP	what
exactly	RB	exactly
would	MD	would
happen	VB	happen
if	IN	if
his	PP$	his
demands	NNS	demand
were	VBD	be
not	RB	not
met	VBN	meet
but	CC	but
said	VBD	say
the	DT	the
hostages	NNS	hostage
should	MD	should
have	VB	have
been	VBN	be
back	RB	back
along	IN	along
time	NN	time
ago	RB	ago
.	SENT	.
<p>
Trump	NP	Trump
speaking	NN	speaking
at	IN	at
his	PP$	his
press	NN	press
conference	NN	conference
on	IN	on
Florida	NP	Florida
on	IN	on
Tuesday	NP	Tuesday
were	VBD	be
he	PP	he
vowed	VBD	vow
'	''	'
all	DT	all
hell	NN	hell
will	MD	will
break	VB	break
out	RP	out
'	''	'
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
if	IN	if
the	DT	the
hostages	NNS	hostage
taken	VBN	take
by	IN	by
Hamas	NNS	<unknown>
are	VBP	be
not	RB	not
released	VBN	release
by	IN	by
the	DT	the
time	NN	time
he	PP	he
takes	VBZ	take
office	NN	office
on	IN	on
January	NP	January
20	CD	@card@
<p>
The	DT	the
president-elect	NN	president-elect
was	VBD	be
being	VBG	be
pressed	VBN	press
by	IN	by
a	DT	a
reporter	NN	reporter
about	IN	about
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
Syria	NP	Syria
at	IN	at
Mar-a-Lago	NP	<unknown>
when	WRB	when
he	PP	he
changed	VBD	change
the	DT	the
subject	NN	subject
and	CC	and
called	VBD	call
his	PP$	his
Middle	NP	Middle
East	NP	East
envoy	NN	envoy
Steve	NP	Steve
Witkoff	NP	<unknown>
to	TO	to
give	VB	give
an	DT	an
update	NN	update
on	IN	on
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
'	''	'
Well	RB	well
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
making	VBG	make
a	DT	a
lot	NN	lot
of	IN	of
progress	NN	progress
,	,	,
'	''	'
Witkoff	NP	<unknown>
said	VBD	say
.	SENT	.
'	''	'
I	PP	I
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
say	VB	say
too	RB	too
much	RB	much
because	IN	because
I	PP	I
think	VBP	think
they	PP	they
'	''	'
re	IN	re
doing	VBG	do
a	DT	a
really	RB	really
good	JJ	good
job	NN	job
back	RB	back
in	IN	in
Doha	NP	Doha
.	SENT	.
'	''	'
<p>
Witkoff	NP	<unknown>
said	VBD	say
he	PP	he
would	MD	would
be	VB	be
leaving	VBG	leave
to	TO	to
go	VB	go
back	RB	back
to	TO	to
Qatar	NP	Qatar
on	IN	on
Wednesday	NP	Wednesday
,	,	,
but	CC	but
he	PP	he
claimed	VBD	claim
they	PP	they
have	VBP	have
had	VBN	have
'	''	'
some	DT	some
really	RB	really
great	RB	great
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
by	IN	by
the	DT	the
inaugural	NN	inaugural
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
some	DT	some
good	JJ	good
things	NNS	thing
to	TO	to
announce	VB	announce
on	IN	on
behalf	NN	behalf
of	IN	of
the	DT	the
president	NN	president
.	SENT	.
'	''	'
<p>
Witkoff	NP	<unknown>
suggested	VBD	suggest
it	PP	it
was	VBD	be
Trump	NP	Trump
'	POS	'
s	NN	S
reputation	NN	reputation
and	CC	and
the	NP	the
'	POS	'
red	JJ	red
lines	NNS	line
he	PP	he
put	VBD	put
out	RP	out
there	RB	there
'	''	'
are	VBP	be
what	WP	what
is	VBZ	be
driving	VBG	drive
the	DT	the
negotiations	NNS	negotiation
.	SENT	.
<p>
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
envoy	NN	envoy
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
Steve	NP	Steve
Witkoff	NP	<unknown>
joined	VBD	join
Trump	NP	Trump
during	IN	during
his	PP$	his
press	NN	press
conference	NN	conference
and	CC	and
said	VBD	say
he	PP	he
believes	VBZ	believe
they	PP	they
are	VBP	be
making	VBG	make
'	POS	'
great	JJ	great
progress	NN	progress
'	''	'
with	IN	with
negotiations	NNS	negotiation
.	SENT	.
Witkoff	NP	<unknown>
said	VBD	say
he	PP	he
would	MD	would
be	VB	be
returning	VBG	return
to	TO	to
Doha	NP	Doha
on	IN	on
Wednesday	NP	Wednesday
<p>
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
Blinken	NP	<unknown>
called	VBD	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
to	TO	to
be	VB	be
finalized	VBN	finalize
before	IN	before
President	NP	President
Biden	NP	Biden
leaves	VBZ	leave
office	NN	office
during	IN	during
a	DT	a
press	NN	press
conference	NN	conference
on	IN	on
Monday	NP	Monday
<p>
A	NP	A
Hamas	NP	<unknown>
official	NN	official
told	VBD	tell
Reuters	NP	Reuters
it	PP	it
has	VBZ	have
cleared	VBN	clear
a	DT	a
list	NN	list
of	IN	of
34	CD	@card@
hostages	NNS	hostage
as	IN	as
the	DT	the
first	JJ	first
to	TO	to
go	VB	go
free	JJ	free
under	IN	under
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
.	SENT	.
<p>
There	EX	there
are	VBP	be
believed	VBN	believe
to	TO	to
be	VB	be
around	RB	around
100	CD	@card@
hostages	NNS	hostage
still	RB	still
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
unclear	JJ	unclear
how	WRB	how
many	JJ	many
of	IN	of
them	PP	them
are	VBP	be
still	RB	still
alive	JJ	alive
.	SENT	.
<p>
Negotiations	NNS	negotiation
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
have	VBP	have
resumed	VBN	resume
in	IN	in
Qatar	NP	Qatar
with	IN	with
talks	NNS	talk
being	VBG	be
mediated	VBN	mediate
by	IN	by
Qatari	JJ	Qatari
and	CC	and
Egyptian	JJ	Egyptian
officials	NNS	official
.	SENT	.
<p>
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
Blinken	NP	<unknown>
on	IN	on
Monday	NP	Monday
called	VBD	call
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
line	NN	line
'	''	'
in	IN	in
the	DT	the
next	JJ	next
two	CD	two
weeks	NNS	week
before	IN	before
President	NP	President
Biden	NP	Biden
leaves	VBZ	leave
office	NN	office
.	SENT	.
<p>
Early	JJ	early
last	JJ	last
month	NN	month
,	,	,
Trump	NP	Trump
warned	VBD	warn
there	EX	there
would	MD	would
be	VB	be
'	POS	'
hell	NN	hell
to	TO	to
pay	VB	pay
'	''	'
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
if	IN	if
Hamas	NP	<unknown>
did	VBD	do
not	RB	not
release	VB	release
the	DT	the
hostages	NNS	hostage
before	IN	before
he	PP	he
was	VBD	be
sworn	VBN	swear
into	IN	into
office	NN	office
on	IN	on
January	NP	January
20	CD	@card@
.	SENT	.
<p>
He	PP	he
wrote	VBD	write
in	IN	in
a	DT	a
social	JJ	social
media	NNS	medium
post	VB	post
that	IN	that
those	DT	those
responsible	JJ	responsible
will	MD	will
be	VB	be
'	''	'
hit	VBN	hit
harder	RBR	harder
than	IN	than
anybody	NN	anybody
has	VBZ	have
been	VBN	be
hit	VBN	hit
in	IN	in
the	DT	the
long	JJ	long
and	CC	and
storied	JJ	storied
History	NN	history
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
of	IN	of
America	NP	America
.	SENT	.
'	''	'
<p>
Relatives	NNS	relative
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
march	NN	march
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
on	IN	on
January	NP	January
7	CD	@card@
,	,	,
2025	CD	@card@
<p>
Palestinians	NNS	Palestinian
walk	VBP	walk
through	IN	through
the	DT	the
destruction	NN	destruction
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
,	,	,
in	IN	in
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
Strip	NP	Strip
on	IN	on
January	NP	January
7	CD	@card@
,	,	,
2025	CD	@card@
<p>
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
a	DT	a
close	JJ	close
Trump	NP	Trump
ally	NN	ally
,	,	,
has	VBZ	have
said	VBN	say
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
war	NN	war
in	IN	in
Gaza	NP	Gaza
will	MD	will
continue	VB	continue
until	IN	until
Hamas	NN	<unknown>
is	VBZ	be
eradicated	VBN	eradicate
and	CC	and
no	RB	no
longer	RBR	longer
a	DT	a
threat	NN	threat
.	SENT	.
<p>
1,200	CD	@card@
people	NNS	people
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attack	NN	attack
on	IN	on
Israel	NP	Israel
,	,	,
and	CC	and
more	JJR	more
than	IN	than
250	CD	@card@
hostages	NNS	hostage
were	VBD	be
captured	VBN	capture
and	CC	and
brought	VBN	bring
into	IN	into
Gaza	NP	Gaza
.	SENT	.
<p>
More	JJR	more
than	IN	than
45,000	CD	@card@
Palestinians	NNS	Palestinian
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
according	VBG	accord
to	TO	to
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
health	NN	health
officials	NNS	official
.	SENT	.
