<h>
Follow	VB	follow
Us	NP	U
<h>
US	NP	US
,	,	,
Qatar	NP	Qatar
say	VBP	say
Israel	NP	Israel
,	,	,
Hamas	NN	<unknown>
at	IN	at
closest	JJS	close
point	NN	point
yet	RB	yet
to	TO	to
ceasefire	NN	ceasefire
deal	NN	deal
<p>
Palestinians	NNS	Palestinian
inspect	VBP	inspect
the	DT	the
site	NN	site
of	IN	of
an	DT	an
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
a	DT	a
beachfront	NN	beachfront
cafe	NN	cafe
,	,	,
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
conflict	NN	conflict
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
,	,	,
in	IN	in
Deir	NP	Deir
Al-Balah	NP	<unknown>
in	IN	in
the	DT	the
central	JJ	central
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
Jan.	NP	Jan.
14	CD	@card@
,	,	,
2025	CD	@card@
.	SENT	.
<p>
Share	NP	Share
<p>
US	NP	US
,	,	,
Qatar	NP	Qatar
say	VBP	say
Israel	NP	Israel
,	,	,
Hamas	NN	<unknown>
at	IN	at
closest	JJS	close
point	NN	point
yet	RB	yet
to	TO	to
ceasefire	NN	ceasefire
deal	NN	deal
<p>
share	NN	share
<p>
The	DT	the
United	NP	United
States	NPS	States
and	CC	and
Qatar	NP	Qatar
said	VBD	say
Tuesday	NP	Tuesday
that	IN	that
negotiations	NNS	negotiation
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
were	VBD	be
nearing	VBG	near
agreement	NN	agreement
after	IN	after
months	NNS	month
of	IN	of
stalemated	VBN	stalemate
talks	NNS	talk
,	,	,
although	IN	although
details	NNS	detail
were	VBD	be
still	RB	still
being	VBG	be
worked	VBN	work
on	RP	on
.	SENT	.
<p>
U.S.	NP	U.S.
Secretary	NP	Secretary
of	IN	of
State	NP	State
Antony	NP	Antony
Blinken	NP	<unknown>
said	VBD	say
in	IN	in
a	DT	a
Washington	NP	Washington
speech	NN	speech
,	,	,
"	``	"
I	PP	I
believe	VBP	believe
we	PP	we
will	MD	will
get	VB	get
a	DT	a
ceasefire	NN	ceasefire
,	,	,
"	''	"
