<p>
Prime	NP	Prime
Minister	NP	Minister
Anthony	NP	Anthony
Albanese	NP	Albanese
has	VBZ	have
welcomed	VBN	welcome
the	DT	the
Israel-Hamas	JJ	<unknown>
ceasefire	NN	ceasefire
agreement	NN	agreement
as	IN	as
a	DT	a
"	``	"
constructive	JJ	constructive
step	NN	step
towards	IN	towards
peace	NN	peace
and	CC	and
stability	NN	stability
"	''	"
in	IN	in
the	DT	the
region	NN	region
,	,	,
and	CC	and
voiced	VBD	voice
his	PP$	his
hopes	NNS	hope
it	PP	it
would	MD	would
help	VB	help
lower	RBR	lower
the	DT	the
temperature	NN	temperature
in	IN	in
Australia	NP	Australia
.	SENT	.
<p>
Downplaying	VBG	downplay
expectations	NNS	expectation
his	PP$	his
Government	NN	government
would	MD	would
recognise	VB	recognise
Palestine	NP	Palestine
before	IN	before
the	DT	the
next	JJ	next
election	NN	election
,	,	,
Mr	NP	Mr
Albanese	NP	Albanese
said	VBD	say
"	``	"
today	NN	today
must	MD	must
mark	VB	mark
a	DT	a
new	JJ	new
chapter	NN	chapter
for	IN	for
the	DT	the
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
people	NNS	people
"	''	"
.	SENT	.
<p>
"	``	"
We	PP	we
hope	VBP	hope
it	PP	it
will	MD	will
allow	VB	allow
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
the	DT	the
opportunity	NN	opportunity
to	TO	to
rebuild	VB	rebuild
,	,	,
reform	VB	reform
their	PP$	their
governance	NN	governance
which	WDT	which
is	VBZ	be
most	RBS	most
necessary	JJ	necessary
to	TO	to
pursue	VB	pursue
self-determination	NN	self-determination
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
He	PP	he
paid	VBD	pay
tribute	NN	tribute
to	TO	to
the	DT	the
outgoing	JJ	outgoing
Biden	NP	Biden
administration	NN	administration
and	CC	and
the	DT	the
incoming	JJ	incoming
Trump	NP	Trump
team	NN	team
,	,	,
who	WP	who
worked	VBD	work
as	IN	as
"	``	"
one	CD	one
team	NN	team
"	''	"
with	IN	with
the	DT	the
Egyptian	NP	Egyptian
and	CC	and
Qatar	NP	Qatar
Governments	NNS	government
to	TO	to
mediate	VB	mediate
the	DT	the
ceasefire	NN	ceasefire
deal	NN	deal
with	IN	with
Israeli	JJ	Israeli
and	CC	and
Hamas	JJ	<unknown>
negotiators	NNS	negotiator
to	TO	to
end	VB	end
the	DT	the
15-month	JJ	<unknown>
war	NN	war
.	SENT	.
<p>
The	DT	the
ceasefire	NN	ceasefire
will	MD	will
be	VB	be
implemented	VBN	implement
in	IN	in
three	CD	three
stages	NNS	stage
,	,	,
beginning	VBG	begin
on	IN	on
Sunday	NP	Sunday
.	SENT	.
<p>
Mr	NP	Mr
Albanese	NP	Albanese
reflected	VBD	reflect
on	IN	on
the	DT	the
horrific	JJ	horrific
loss	NN	loss
of	IN	of
civilian	JJ	civilian
life	NN	life
and	CC	and
displacement	NN	displacement
and	CC	and
said	VBD	say
the	DT	the
deal	NN	deal
was	VBD	be
an	DT	an
"	``	"
important	JJ	important
breakthrough	NN	breakthrough
"	''	"
,	,	,
especially	RB	especially
for	IN	for
the	DT	the
overwhelming	JJ	overwhelming
number	NN	number
of	IN	of
Australians	NNS	Australian
who	WP	who
"	``	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
they	PP	they
do	VBP	do
n't	RB	n't
want	VB	want
the	DT	the
conflict	NN	conflict
brought	VBD	bring
here	RB	here
"	''	"
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
not	RB	not
the	DT	the
end	NN	end
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
a	DT	a
really	RB	really
important	JJ	important
breakthrough	NN	breakthrough
and	CC	and
step	NN	step
forward	RB	forward
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Asked	VBN	ask
if	IN	if
Australia	NP	Australia
would	MD	would
contribute	VB	contribute
to	TO	to
rebuilding	VBG	rebuild
Gaza	NP	Gaza
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
destroyed	VBN	destroy
during	IN	during
the	DT	the
conflict	NN	conflict
,	,	,
Mr	NP	Mr
Albanese	NP	Albanese
said	VBD	say
he	PP	he
did	VBD	do
n't	RB	n't
want	VB	want
to	TO	to
get	VB	get
ahead	RB	ahead
of	IN	of
today	NN	today
'	POS	'
s	NN	S
announcement	NN	announcement
.	SENT	.
<p>
"	``	"
The	DT	the
first	JJ	first
priority	NN	priority
is	VBZ	be
to	TO	to
get	VB	get
food	NN	food
and	CC	and
essentials	NNS	essential
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
the	DT	the
priority	NN	priority
is	VBZ	be
of	IN	of
not	RB	not
just	RB	just
Australia	NP	Australia
,	,	,
but	CC	but
the	DT	the
international	JJ	international
community	NN	community
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
what	WP	what
this	DT	this
agreement	NN	agreement
has	VBZ	have
achieved	VBN	achieve
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
He	PP	he
said	VBD	say
he	PP	he
could	MD	could
n't	RB	n't
"	``	"
see	VB	see
any	DT	any
circumstance	NN	circumstance
"	''	"
where	WRB	where
his	PP$	his
Government	NN	government
could	MD	could
recognise	VB	recognise
Palestinian	JJ	Palestinian
statehood	NN	statehood
before	IN	before
the	DT	the
next	JJ	next
election	NN	election
-	NN	<unknown>
due	JJ	due
by	IN	by
May	NP	May
.	SENT	.
<p>
Mr	NP	Mr
Albanese	NP	Albanese
reiterated	VBD	reiterate
his	PP$	his
position	NN	position
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
role	NN	role
for	IN	for
Hamas	NNS	<unknown>
in	IN	in
a	DT	a
future	JJ	future
Palestinian	JJ	Palestinian
state	NN	state
.	SENT	.
<p>
Mr	NP	Mr
Albanese	NP	Albanese
emphasized	VBD	emphasize
that	IN	that
"	``	"
Australia	NP	Australia
remains	VBZ	remain
unequivocal	JJ	unequivocal
in	IN	in
our	PP$	our
condemnation	NN	condemnation
of	IN	of
Hamas	NP	<unknown>
'	POS	'
atrocities	NNS	atrocity
on	IN	on
7	CD	@card@
October	NP	October
,	,	,
and	CC	and
its	PP$	its
ongoing	JJ	ongoing
acts	NNS	act
of	IN	of
terror	NN	terror
"	''	"
.	SENT	.
<p>
"	''	"
There	RB	there
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
Gaza	NP	Gaza
.	SENT	.
Any	DT	any
future	JJ	future
Palestinian	JJ	Palestinian
state	NN	state
must	MD	must
not	RB	not
be	VB	be
in	IN	in
a	DT	a
position	NN	position
to	TO	to
threaten	VB	threaten
Israel	NP	Israel
'	POS	'
s	NN	S
security	NN	security
,	,	,
"	''	"
he	PP	he
said	VBD	say
in	IN	in
a	DT	a
joint	JJ	joint
statement	NN	statement
with	IN	with
Foreign	NP	Foreign
Minister	NP	Minister
Penny	NP	Penny
Wong	NP	Wong
.	SENT	.
"	``	"
We	PP	we
will	MD	will
continue	VB	continue
to	TO	to
act	VB	act
in	IN	in
partnership	NN	partnership
with	IN	with
the	DT	the
international	JJ	international
community	NN	community
to	TO	to
support	VB	support
the	DT	the
urgent	JJ	urgent
humanitarian	JJ	humanitarian
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
The	DT	the
hostages	NNS	hostage
,	,	,
who	WP	who
were	VBD	be
brutally	RB	brutally
ripped	VBN	rip
from	IN	from
their	PP$	their
homes	NNS	home
on	IN	on
that	DT	that
day	NN	day
and	CC	and
held	JJ	held
captive	NN	captive
in	IN	in
unimaginable	JJ	unimaginable
conditions	NNS	condition
ever	RB	ever
since	RB	since
,	,	,
can	MD	can
now	RB	now
finally	RB	finally
return	VB	return
to	TO	to
their	PP$	their
families	NNS	family
.	SENT	.
<p>
"	''	"
For	IN	for
the	DT	the
innocent	JJ	innocent
Palestinians	NPS	Palestinians
whose	WP$	whose
homes	NNS	home
turned	VBD	turn
into	IN	into
a	DT	a
warzone	NN	<unknown>
overnight	RB	overnight
and	CC	and
the	DT	the
many	JJ	many
who	WP	who
have	VBP	have
lost	VBN	lose
their	PP$	their
lives	NNS	life
,	,	,
this	DT	this
ceasefire	NN	ceasefire
must	MD	must
allow	VB	allow
for	IN	for
a	DT	a
huge	JJ	huge
surge	NN	surge
in	IN	in
humanitarian	JJ	humanitarian
aid	NN	aid
,	,	,
which	WDT	which
is	VBZ	be
so	RB	so
desperately	RB	desperately
needed	VBN	need
to	TO	to
end	VB	end
the	DT	the
suffering	NN	suffering
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Sir	NP	Sir
Starmer	NP	Starmer
added	VBD	add
that	IN	that
leaders	NNS	leader
must	MD	must
now	RB	now
secure	VB	secure
a	DT	a
"	``	"
permanently	RB	permanently
better	JJR	good
future	NN	future
for	IN	for
the	DT	the
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
people	NNS	people
--	:	--
grounded	VBN	ground
in	IN	in
a	DT	a
two-state	NN	two-state
solution	NN	solution
