<p>
Earlier	RBR	earlier
he	PP	he
visited	VBD	visit
the	DT	the
Netzarim	NP	<unknown>
corridor	NN	corridor
in	IN	in
Gaza	NP	Gaza
to	TO	to
see	VB	see
at	IN	at
first-hand	RB	first-hand
how	WRB	how
staff	NN	staff
of	IN	of
a	DT	a
US	NP	US
security	NN	security
company	NN	company
are	VBP	be
participating	VBG	participate
in	IN	in
the	DT	the
monitoring	NN	monitoring
of	IN	of
Gaza	NP	Gaza
war	NN	war
refugees	NNS	refugee
returning	VBG	return
to	TO	to
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
.	SENT	.
<p>
Mr	NP	Mr
Witkoff	NP	<unknown>
arrived	VBD	arrive
in	IN	in
Israel	NP	Israel
from	IN	from
Saudi	NP	Saudi
Arabia	NP	Arabia
where	WRB	where
he	PP	he
held	VBD	hold
talks	NNS	talk
on	IN	on
Mr	NP	Mr
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
plan	NN	plan
for	IN	for
a	DT	a
comprehensive	JJ	comprehensive
deal	NN	deal
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
that	WDT	that
would	MD	would
include	VB	include
the	DT	the
implementation	NN	implementation
of	IN	of
the	DT	the
second	JJ	second
stage	NN	stage
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
agreement	NN	agreement
,	,	,
Gaza	NP	Gaza
'	POS	'
s	NN	S
reconstruction	NN	reconstruction
and	CC	and
a	DT	a
pathway	NN	pathway
to	TO	to
normalisation	NN	normalisation
between	IN	between
Israel	NP	Israel
and	CC	and
the	DT	the
Saudis	NP	Saudis
.	SENT	.
<p>
Israeli	JJ	Israeli
prime	JJ	prime
minister	NN	minister
Binyamin	NP	Binyamin
Netanyahu	NP	<unknown>
will	MD	will
meet	VB	meet
Mr	NP	Mr
Trump	NP	Trump
at	IN	at
the	DT	the
White	NP	White
House	NP	House
next	JJ	next
Tuesday	NP	Tuesday
--	:	--
he	PP	he
is	VBZ	be
the	DT	the
first	JJ	first
foreign	JJ	foreign
leader	NN	leader
to	TO	to
be	VB	be
invited	VBN	invite
in	IN	in
Mr	NP	Mr
Trump	NP	Trump
'	POS	'
