<p>
Mourners	NNS	mourner
carry	VBP	carry
the	DT	the
body	NN	body
of	IN	of
Shatha	NP	<unknown>
Sabbagh	NP	Sabbagh
,	,	,
a	DT	a
Palestinian	JJ	Palestinian
journalism	NN	journalism
student	NN	student
killed	VBN	kill
by	IN	by
a	DT	a
bullet	NN	bullet
to	TO	to
the	DT	the
head	NN	head
in	IN	in
the	DT	the
Jenin	NP	<unknown>
refugee	NN	refugee
camp	NN	camp
,	,	,
during	IN	during
her	PP$	her
funeral	NN	funeral
in	IN	in
Jenin	NP	<unknown>
,	,	,
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
,	,	,
on	IN	on
December	NP	December
29	CD	@card@
,	,	,
2024	CD	@card@
Jaafar	NP	<unknown>
Ashtiyeh/AFP	NP	<unknown>
<p>
On	IN	on
December	NP	December
28	CD	@card@
,	,	,
young	JJ	young
journalism	NN	journalism
student	NN	student
Shatha	NP	<unknown>
Sabbagh	NP	Sabbagh
stepped	VBD	step
out	RP	out
of	IN	of
her	PP$	her
house	NN	house
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
city	NN	city
of	IN	of
Jenin	NP	<unknown>
,	,	,
with	IN	with
her	PP$	her
mother	NN	mother
and	CC	and
the	DT	the
two	CD	two
young	JJ	young
children	NNS	child
of	IN	of
her	PP$	her
sister	NN	sister
.	SENT	.
A	DT	a
moment	NN	moment
later	RBR	later
,	,	,
she	PP	she
was	VBD	be
shot	VBN	shoot
in	IN	in
the	DT	the
head	NN	head
and	CC	and
killed	VBN	kill
by	IN	by
a	DT	a
sniper	NN	sniper
'	POS	'
s	NN	S
bullet	NN	bullet
.	SENT	.
She	PP	she
was	VBD	be
just	RB	just
21	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
<p>
Shatha	NP	<unknown>
was	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
same	JJ	same
refugee	NN	refugee
camp	NN	camp
where	WRB	where
veteran	JJ	veteran
journalist	NN	journalist
Shireen	NP	Shireen
Abu	NP	Abu
Akleh	NP	<unknown>
was	VBD	be
assassinated	VBN	assassinate
by	IN	by
the	DT	the
Israeli	JJ	Israeli
regime	NN	regime
in	IN	in
2022	CD	@card@
.	SENT	.
Yet	RB	yet
,	,	,
Shatha	NP	<unknown>
was	VBD	be
killed	VBN	kill
not	RB	not
by	IN	by
an	DT	an
Israeli	JJ	Israeli
regime	NN	regime
soldier	NN	soldier
.	SENT	.
According	VBG	accord
to	TO	to
her	PP$	her
family	NN	family
,	,	,
the	DT	the
bullet	NN	bullet
that	WDT	that
took	VBD	take
her	PP$	her
life	NN	life
was	VBD	be
fired	VBN	fire
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
Security	NP	Security
Forces	NPS	Forces
(	(	(
PASF	NP	<unknown>
)	)	)
.	SENT	.
<p>
For	IN	for
the	DT	the
last	JJ	last
month	NN	month
,	,	,
the	DT	the
PASF	NP	<unknown>
has	VBZ	have
laid	VBN	lay
siege	NN	siege
to	TO	to
the	DT	the
Jenin	NP	<unknown>
refugee	NN	refugee
camp	NN	camp
,	,	,
in	IN	in
a	DT	a
coordinated	VBN	coordinate
effort	NN	effort
with	IN	with
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
down	RB	down
on	IN	on
armed	JJ	armed
resistance	NN	resistance
in	IN	in
the	DT	the
northern	JJ	northern
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
While	IN	while
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
(	(	(
PA	NN	pa
)	)	)
managed	VBD	manage
to	TO	to
subdue	VB	subdue
resistance	NN	resistance
to	TO	to
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
in	IN	in
many	JJ	many
other	JJ	other
urban	JJ	urban
hubs	NNS	hub
through	IN	through
threats	NNS	threat
and	CC	and
oppression	NN	oppression
,	,	,
in	IN	in
the	DT	the
north	NN	north
there	RB	there
remain	VB	remain
pockets	NNS	pocket
where	WRB	where
armed	JJ	armed
resistance	NN	resistance
groups	NNS	group
are	VBP	be
still	RB	still
present	JJ	present
.	SENT	.
The	DT	the
city	NN	city
of	IN	of
Jenin	NP	<unknown>
,	,	,
and	CC	and
especially	RB	especially
its	PP$	its
refugee	NN	refugee
camp	NN	camp
,	,	,
where	WRB	where
both	DT	both
Shireen	NP	Shireen
and	CC	and
Shatha	NP	<unknown>
were	VBD	be
killed	VBN	kill
,	,	,
is	VBZ	be
one	CD	one
such	JJ	such
pocket	NN	pocket
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
the	DT	the
camp	NN	camp
,	,	,
which	WDT	which
is	VBZ	be
home	NN	home
to	TO	to
more	JJR	more
than	IN	than
15,000	CD	@card@
people	NNS	people
,	,	,
has	VBZ	have
come	VBN	come
to	TO	to
be	VB	be
seen	VBN	see
as	IN	as
a	DT	a
symbol	NN	symbol
of	IN	of
resistance	NN	resistance
and	CC	and
steadfastness	NN	steadfastness
and	CC	and
very	RB	very
much	RB	much
a	DT	a
thorn	NN	thorn
in	IN	in
the	DT	the
PASF	NP	<unknown>
'	POS	'
s	NN	S
side	NN	side
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Indeed	RB	indeed
,	,	,
the	DT	the
PA	NN	pa
'	POS	'
s	JJ	<unknown>
very	JJ	very
existence	NN	existence
is	VBZ	be
reliant	JJ	reliant
on	IN	on
stamping	VBG	stamp
out	RP	out
such	JJ	such
resistance	NN	resistance
to	TO	to
the	DT	the
Israeli	JJ	Israeli
regime	NN	regime
in	IN	in
all	DT	all
areas	NNS	area
under	IN	under
its	PP$	its
supposed	VBN	suppose
control	NN	control
.	SENT	.
As	IN	as
such	JJ	such
,	,	,
it	PP	it
continuously	RB	continuously
coordinates	VBZ	coordinate
its	PP$	its
actions	NNS	action
with	IN	with
the	DT	the
Israeli	JJ	Israeli
army	NN	army
,	,	,
and	CC	and
utilises	VBZ	utilise
tactics	NNS	tactic
of	IN	of
oppression	NN	oppression
that	WDT	that
are	VBP	be
