<p>
Donald	NP	Donald
Trump	NP	Trump
has	VBZ	have
given	VBN	give
the	DT	the
Israeli	JJ	Israeli
government	NN	government
a	DT	a
deadline	NN	deadline
to	TO	to
finalise	VB	finalise
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
hostage	NN	hostage
deal	NN	deal
to	TO	to
end	VB	end
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
before	IN	before
he	PP	he
takes	VBZ	take
office	NN	office
next	JJ	next
week	NN	week
,	,	,
according	VBG	accord
to	TO	to
a	DT	a
senior	JJ	senior
Israeli	JJ	Israeli
official	NN	official
,	,	,
as	IN	as
negotiations	NNS	negotiation
continue	VBP	continue
in	IN	in
Qatar	NP	Qatar
with	IN	with
all	DT	all
sides	NNS	side
claiming	VBG	claim
an	DT	an
agreement	NN	agreement
is	VBZ	be
close	JJ	close
.	SENT	.
<p>
The	DT	the
US	NP	US
president-elect	NN	president-elect
has	VBZ	have
publicly	RB	publicly
warned	VBN	warn
that	IN	that
there	EX	there
would	MD	would
be	VB	be
"	``	"
hell	UH	hell
to	TO	to
pay	VB	pay
"	''	"
unless	IN	unless
Israeli	JJ	Israeli
hostages	NNS	hostage
in	IN	in
Gaza	NP	Gaza
were	VBD	be
freed	VBN	free
by	IN	by
the	DT	the
time	NN	time
of	IN	of
his	PP$	his
inauguration	NN	inauguration
on	IN	on
20	CD	@card@
January	NP	January
,	,	,
which	WDT	which
was	VBD	be
widely	RB	widely
interpreted	VBN	interpret
as	IN	as
a	DT	a
message	NN	message
to	TO	to
Hamas	NP	<unknown>
.	SENT	.
<p>
But	CC	but
a	DT	a
source	NN	source
with	IN	with
knowledge	NN	knowledge
of	IN	of
discussions	NNS	discussion
said	VBD	say
a	DT	a
similar	JJ	similar
message	NN	message
was	VBD	be
also	RB	also
privately	RB	privately
conveyed	VBN	convey
to	TO	to
Israeli	JJ	Israeli
leaders	NNS	leader
,	,	,
with	IN	with
the	DT	the
demand	NN	demand
described	VBN	describe
as	IN	as
a	DT	a
"	``	"
red	JJ	red
line	NN	line
.	SENT	.
"	''	"
<p>
Israeli	JJ	Israeli
leaders	NNS	leader
are	VBP	be
said	VBN	say
to	TO	to
be	VB	be
wary	JJ	wary
of	IN	of
crossing	VBG	cross
the	DT	the
unpredictable	JJ	unpredictable
Trump	NP	Trump
and	CC	and
would	MD	would
try	VB	try
to	TO	to
comply	VB	comply
,	,	,
with	IN	with
Mossad	NP	Mossad
chief	JJ	chief
David	NP	David
Barnea	NP	<unknown>
leading	VBG	lead
negotiations	NNS	negotiation
in	IN	in
Doha	NP	Doha
,	,	,
and	CC	and
a	DT	a
deal	NN	deal
likely	JJ	likely
to	TO	to
be	VB	be
in	IN	in
place	NN	place
by	IN	by
next	JJ	next
week	NN	week
.	SENT	.
<p>
The	DT	the
i	NP	i
Paper	NP	Paper
has	VBZ	have
requested	VBN	request
comment	NN	comment
from	IN	from
Trump	NP	Trump
'	POS	'
s	NN	S
team	NN	team
.	SENT	.
<p>
A	DT	a
Palestinian	JJ	Palestinian
source	NN	source
with	IN	with
connections	NNS	connection
to	TO	to
the	DT	the
mediation	NN	mediation
teams	NNS	team
said	VBD	say
both	CC	both
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
end	NN	end
of	IN	of
the	DT	the
week	NN	week
"	''	"
.	SENT	.
<p>
Israeli	JJ	Israeli
media	NNS	medium
reported	VBN	report
in	IN	in
October	NP	October
before	IN	before
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
election	NN	election
victory	NN	victory
that	IN	that
he	PP	he
had	VBD	have
asked	VBN	ask
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
,	,	,
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
,	,	,
to	TO	to
end	VB	end
the	DT	the
war	NN	war
before	IN	before
he	PP	he
took	VBD	take
office	NN	office
.	SENT	.
<p>
Yossi	NP	Yossi
Melman	NP	Melman
,	,	,
an	DT	an
Israeli	JJ	Israeli
veteran	JJ	veteran
security	NN	security
analyst	NN	analyst
and	CC	and
journalist	NN	journalist
,	,	,
said	VBD	say
the	DT	the
arrival	NN	arrival
of	IN	of
Trump	NP	Trump
was	VBD	be
driving	VBG	drive
progress	NN	progress
in	IN	in
talks	NNS	talk
,	,	,
with	IN	with
Netanyahu	NP	<unknown>
"	``	"
afraid	JJ	afraid
"	''	"
of	IN	of
the	DT	the
former	JJ	former
Republican	JJ	Republican
president	NN	president
.	SENT	.
<p>
"	``	"
If	IN	if
there	EX	there
is	VBZ	be
a	DT	a
deal	NN	deal
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
,	,	,
the	DT	the
only	JJ	only
person	NN	person
in	IN	in
the	DT	the
world	NN	world
to	TO	to
thank	VB	thank
is	VBZ	be
Trump	NP	Trump
,	,	,
"	''	"
he	PP	he
posted	VBD	post
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
"	``	"
The	DT	the
only	JJ	only
person	NN	person
Bibi	NP	Bibi
Netanyahu	NP	<unknown>
is	VBZ	be
afraid	JJ	afraid
of	IN	of
is	VBZ	be
Trump	NP	Trump
.	SENT	.
"	''	"
<p>
"	``	"
When	WRB	when
