<p>
CHICAGO	NP	CHICAGO
(	(	(
CBS	NP	CBS
)	)	)
--	:	--
As	IN	as
Vice	NP	Vice
President	NP	President
Kamala	NP	Kamala
Harris	NP	Harris
prepares	VBZ	prepare
to	TO	to
accept	VB	accept
her	PP$	her
party	NN	party
'	POS	'
s	JJ	<unknown>
nomination	NN	nomination
for	IN	for
president	NN	president
at	IN	at
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
,	,	,
a	DT	a
group	NN	group
of	IN	of
uncommitted	JJ	uncommitted
delegates	NNS	delegate
has	VBZ	have
organized	VBN	organize
a	DT	a
sit-in	NN	sit-in
outside	IN	outside
the	DT	the
United	NP	United
Center	NP	Center
,	,	,
demanding	VBG	demand
that	IN	that
a	DT	a
Palestinian	NP	Palestinian
American	NP	American
be	VB	be
allowed	VBN	allow
to	TO	to
speak	VB	speak
on	IN	on
stage	NN	stage
Thursday	NP	Thursday
evening	NN	evening
.	SENT	.
<p>
The	DT	the
group	NN	group
said	VBD	say
their	PP$	their
request	NN	request
to	TO	to
speak	VB	speak
at	IN	at
the	DT	the
DNC	NN	DNC
this	DT	this
week	NN	week
was	VBD	be
denied	VBN	deny
outright	RB	outright
,	,	,
but	CC	but
they	PP	they
were	VBD	be
continuing	VBG	continue
a	DT	a
sit-in	NN	sit-in
in	IN	in
hopes	NNS	hope
party	NN	party
leadership	NN	leadership
would	MD	would
change	VB	change
their	PP$	their
mind	NN	mind
.	SENT	.
<p>
The	DT	the
uncommitted	JJ	uncommitted
delegates	NNS	delegate
began	VBD	begin
their	PP$	their
sit-in	NN	sit-in
Wednesday	NP	Wednesday
night	NN	night
,	,	,
when	WRB	when
they	PP	they
got	VBD	get
official	JJ	official
word	NN	word
that	IN	that
a	DT	a
Palestinian	JJ	Palestinian
American	JJ	American
speaker	NN	speaker
would	MD	would
not	RB	not
be	VB	be
given	VBN	give
a	DT	a
spot	NN	spot
on	IN	on
the	DT	the
stage	NN	stage
,	,	,
a	DT	a
decision	NN	decision
they	PP	they
called	VBD	call
"	``	"
unacceptable	JJ	unacceptable
"	''	"
and	CC	and
"	``	"
undemocractic	JJ	<unknown>
.	SENT	.
"	''	"
<p>
"	``	"
The	DT	the
exclusion	NN	exclusion
of	IN	of
a	DT	a
Palestinian	NP	Palestinian
American	NP	American
from	IN	from
the	DT	the
stage	NN	stage
felt	VBD	feel
so	RB	so
deeply	RB	deeply
offensive	JJ	offensive
,	,	,
so	RB	so
deeply	RB	deeply
shocking	JJ	shocking
that	IN	that
it	PP	it
left	VBD	leave
us	PP	us
stunned	VBD	stun
,	,	,
"	''	"
said	VBD	say
Abbas	NP	Abbas
Alawieh	NP	<unknown>
,	,	,
an	DT	an
uncommitted	JJ	uncommitted
delegate	NN	delegate
from	IN	from
Michigan	NP	Michigan
.	SENT	.
<p>
Alawieh	NP	<unknown>
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
group	NN	group
of	IN	of
30	CD	@card@
uncommitted	JJ	uncommitted
delegates	NNS	delegate
from	IN	from
across	IN	across
the	DT	the
country	NN	country
sent	VBD	send
to	TO	to
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
by	IN	by
an	DT	an
overwhelming	JJ	overwhelming
number	NN	number
of	IN	of
voters	NNS	voter
who	WP	who
voted	VBD	vote
"	``	"
uncommitted	JJ	uncommitted
"	''	"
in	IN	in
the	DT	the
primaries	NNS	primary
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
States	NPS	States
support	NN	support
of	IN	of
Israel	NP	Israel
.	SENT	.
The	DT	the
movement	NN	movement
started	VBD	start
in	IN	in
Michigan	NP	Michigan
,	,	,
where	WRB	where
more	JJR	more
than	IN	than
100,000	CD	@card@
people	NNS	people
voted	VBD	vote
"	``	"
uncommitted	JJ	uncommitted
"	''	"
during	IN	during
the	DT	the
primary	NN	primary
in	IN	in
protest	NN	protest
of	IN	of
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
'	POS	'
s	JJ	<unknown>
handling	NN	handling
of	IN	of
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
.	SENT	.
<p>
The	DT	the
group	NN	group
'	POS	'
s	JJ	<unknown>
goal	NN	goal
