<p>
Israelis	NPS	Israelis
freed	VBD	free
from	IN	from
Hamas	JJ	<unknown>
captivity	NN	captivity
expressed	VBD	express
their	PP$	their
feelings	NNS	feeling
of	IN	of
distress	NN	distress
and	CC	and
fear	NN	fear
for	IN	for
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
on	IN	on
Tuesday	NP	Tuesday
as	IN	as
the	DT	the
country	NN	country
returned	VBN	return
to	TO	to
fighting	VBG	fight
in	IN	in
Gaza	NP	Gaza
,	,	,
launching	VBG	launch
Operation	NN	operation
Strength	NP	Strength
and	CC	and
Sword	NP	Sword
.	SENT	.
<p>
Eliya	NP	<unknown>
Cohen	NP	Cohen
who	WP	who
was	VBD	be
released	VBN	release
in	IN	in
the	DT	the
recent	JJ	recent
hostage	NN	hostage
deal	NN	deal
called	VBD	call
the	DT	the
return	NN	return
to	TO	to
fighting	VBG	fight
a	DT	a
"	``	"
death	NN	death
sentence	NN	sentence
"	''	"
for	IN	for
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
.	SENT	.
<p>
Yarden	NP	Yarden
Bibas	NP	<unknown>
,	,	,
whose	WP$	whose
wife	NN	wife
Shiri	NP	Shiri
and	CC	and
infant	JJ	infant
children	NNS	child
Ariel	NP	Ariel
and	CC	and
Kfir	NP	<unknown>
were	VBD	be
killed	VBN	kill
in	IN	in
Hamas	JJ	<unknown>
captivity	NN	captivity
,	,	,
also	RB	also
took	VBD	take
to	TO	to
Instagram	NP	<unknown>
to	TO	to
share	VB	share
his	PP$	his
distress	NN	distress
at	IN	at
the	DT	the
resumption	NN	resumption
of	IN	of
warfare	NN	warfare
.	SENT	.
<p>
"	''	"
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
decision	NN	decision
to	TO	to
return	VB	return
to	TO	to
fighting	NN	fighting
brings	VBZ	bring
me	PP	me
back	RB	back
to	TO	to
Gaza	NP	Gaza
to	TO	to
the	DT	the
moments	NNS	moment
when	WRB	when
I	PP	I
heard	VBD	hear
the	DT	the
sounds	NNS	sound
of	IN	of
explosions	NNS	explosion
around	IN	around
me	PP	me
and	CC	and
feared	VBD	fear
for	IN	for
my	PP$	my
life	NN	life
,	,	,
as	IN	as
I	PP	I
was	VBD	be
afraid	JJ	afraid
that	IN	that
the	DT	the
tunnel	NN	tunnel
where	WRB	where
I	PP	I
was	VBD	be
being	VBG	be
held	VBN	hold
would	MD	would
collapse	VB	collapse
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
Released	VBN	release
hostage	NN	hostage
Eliya	NP	<unknown>
Cohen	NP	Cohen
'	POS	'
s	JJ	<unknown>
post	NN	post
on	IN	on
Instagram	NP	<unknown>
against	IN	against
Israeli	JJ	Israeli
strikes	NNS	strike
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
March	NP	March
18	CD	@card@
,	,	,
2025	CD	@card@
(	(	(
credit	NN	credit
:	:	:
**33	NN	<unknown>
;	:	;
2294	CD	@card@
;	:	;
TOOLONG	NP	<unknown>
)	)	)
<p>
"	``	"
My	PP$	my
wife	NN	wife
and	CC	and
children	NNS	child
were	VBD	be
